Entity,Code,Year,"Average working hours of children, study and work, ages 7-14 (hours per week)"
Afghanistan,AFG,2011,13.1
Albania,ALB,2010,13.6
Algeria,DZA,2013,3.6
Angola,AGO,2001,12.5
Armenia,ARM,2010,5.4
Azerbaijan,AZE,2005,14
Bangladesh,BGD,2006,9.8
Bangladesh,BGD,2013,32.03822
Belarus,BLR,2012,2.3
Benin,BEN,2012,10.6
Bolivia,BOL,2009,17.6
Bolivia,BOL,2013,20.11952
Bolivia,BOL,2015,23.44
Bosnia and Herzegovina,BIH,2006,3.7
Brazil,BRA,2011,18.8
Brazil,BRA,2013,16.99434
Brazil,BRA,2014,16.1047744715737
Brazil,BRA,2015,14.77
Burkina Faso,BFA,2010,17.6
Burundi,BDI,2010,12.1
Cambodia,KHM,2012,17.7
Cameroon,CMR,2011,11.4
Central African Republic,CAF,2010,15.7
Chad,TCD,2010,6.3
Chad,TCD,2015,8.82643785827071
Chile,CHL,2012,7.9
Colombia,COL,2012,15.2
Colombia,COL,2014,14.34622
Colombia,COL,2015,14.1
Congo,COG,2012,7.3
Costa Rica,CRI,2011,8
Costa Rica,CRI,2016,10.19
Côte d'Ivoire,CIV,2012,10
Democratic Republic of Congo,COD,2010,9
Democratic Republic of Congo,COD,2014,7.09810224213444
Dominican Republic,DOM,2009,14.1
Dominican Republic,DOM,2012,19.74884
Dominican Republic,DOM,2014,7.63631582781679
Ecuador,ECU,2011,15.1
Ecuador,ECU,2015,10.84399
Egypt,EGY,2009,18.8
El Salvador,SLV,2012,20.2
El Salvador,SLV,2013,20.01278
Ethiopia,ETH,2011,18.8
Gabon,GAB,2012,7.5
Gambia,GMB,2008,13.4
Gambia,GMB,2015,10.3
Georgia,GEO,2006,4.9
Ghana,GHA,2006,13.7
Guatemala,GTM,2012,16.2
Guatemala,GTM,2014,31.0951
Guatemala,GTM,2015,18.5495264756686
Guinea,GIN,2012,15.6
Guinea-Bissau,GNB,2006,12.9
Guinea-Bissau,GNB,2014,5.77446924512712
Haiti,HTI,2012,5.9
Honduras,HND,2013,15.7
Honduras,HND,2014,14.29735
Indonesia,IDN,2010,14.4
Iraq,IRQ,2011,10.3
Jamaica,JAM,2011,1.9
Jordan,JOR,2007,25
Jordan,JOR,2016,15.54
Kazakhstan,KAZ,2006,6.7
Kenya,KEN,2000,9.4
Kenya,KEN,2009,32.708989578835
Kyrgyzstan,KGZ,2007,13.7
Kyrgyzstan,KGZ,2014,12.8310347150613
Laos,LAO,2010,34.4
Lesotho,LSO,2000,8.5
Liberia,LBR,2010,22.4
Macedonia,MKD,2011,2.3
Madagascar,MDG,2007,17.6
Malawi,MWI,2011,9.8
Malawi,MWI,2014,5.571661
Malawi,MWI,2015,10.75
Mali,MLI,2013,16.3
Mauritania,MRT,2007,13
Mauritania,MRT,2011,18.81
Mexico,MEX,2011,14.5
Mexico,MEX,2013,13.65239
Moldova,MDA,2009,7.1
Mongolia,MNG,2012,15.1
Mongolia,MNG,2013,13.6817667179151
Mozambique,MOZ,2008,12.9
Namibia,NAM,1999,34.3
Nepal,NPL,2008,16.4
Nepal,NPL,2014,8.81549206395045
Nicaragua,NIC,2010,16.8
Nicaragua,NIC,2012,14.13476
Niger,NER,2012,7.2
Nigeria,NGA,2010,29.9
Nigeria,NGA,2011,7.029537
Pakistan,PAK,2011,24.9
Panama,PAN,2012,12
Panama,PAN,2014,8.786139
Paraguay,PRY,2005,31.5
Paraguay,PRY,2014,29.33432
Peru,PER,2015,10.9753328191709
Philippines,PHL,2011,7.1
Romania,ROU,2000,10.1
Rwanda,RWA,2010,14.5
Rwanda,RWA,2011,12.26099
Rwanda,RWA,2014,11.8
Senegal,SEN,2011,40.3
Senegal,SEN,2015,19.0794511132144
Serbia,SRB,2005,3.7
Serbia,SRB,2014,4.050813
Sierra Leone,SLE,2013,8.4
Somalia,SOM,2006,26.1
Sri Lanka,LKA,2009,7.9
Sudan,SDN,2014,8.89415350993713
Swaziland,SWZ,2010,4.1
Syrian Arab Republic,,2006,12.2
Tajikistan,TJK,2005,13.1
Tanzania,TZA,2014,14.17376
Thailand,THA,2005,8.3
Timor,TLS,2007,21.3
Togo,TGO,2010,16.2
Togo,TGO,2014,8.11708611976124
Trinidad and Tobago,TTO,2006,6.5
Tunisia,TUN,2012,3.5
Turkey,TUR,2006,14.8
Uganda,UGA,2012,10.6
Ukraine,UKR,2012,3
Uruguay,URY,2009,9.3
Uzbekistan,UZB,2005,4.2
Venezuela,VEN,2006,21.3
Venezuela,VEN,2013,16.28939
Vietnam,VNM,2012,11.6
Yemen,YEM,2010,16.9
Zambia,ZMB,2008,4.2
