"Pollutant_name","Year","Emissions"
"CO",1990,267142.43539452687
"CO",1991,259653.40842085393
"CO",1992,245633.45863915054
"CO",1993,240545.95798555049
"CO",1994,232081.1984041749
"CO",1995,222750.54580228488
"CO",1996,220731.55876873608
"CO",1997,210752.51354039492
"CO",1998,200885.5153192874
"CO",1999,187287.00421084536
"CO",2000,176057.07004382726
"CO",2001,167157.4682310423
"CO",2002,153588.7514825547
"CO",2003,150364.4003946829
"CO",2004,141726.74842386617
"CO",2005,135983.1103814159
"CO",2006,130401.30178295367
"CO",2007,128237.03229608932
"CO",2008,123488.08587275697
"CO",2009,113011.05717822703
"CO",2010,115539.2692802272
"CO",2011,105731.59097372554
"CO",2012,104495.28402867998
"CO",2013,99221.78094938386
"CO",2014,91022.83836381734
"CO",2015,92117.92748073813
"CO",2016,90984.81448851537
"CO",2017,93585.3828048064
"CO",2018,88247.55598173471
"NH3",1990,22227.18473401552
"NH3",1991,21290.759897587563
"NH3",1992,20588.733827942357
"NH3",1993,19799.01285854947
"NH3",1994,19299.46908388127
"NH3",1995,18968.917488021703
"NH3",1996,19206.676150643474
"NH3",1997,19073.47930461149
"NH3",1998,19172.242216826802
"NH3",1999,19067.48812745713
"NH3",2000,18717.480593510594
"NH3",2001,18499.550025011322
"NH3",2002,18207.25155396702
"NH3",2003,18161.33026652829
"NH3",2004,18016.404645786744
"NH3",2005,17820.178862487614
"NH3",2006,17748.167111160266
"NH3",2007,17715.74280353942
"NH3",2008,17197.340422830872
"NH3",2009,16941.92266560238
"NH3",2010,16778.011164824416
"NH3",2011,16836.10219811769
"NH3",2012,16814.234630838473
"NH3",2013,16911.644312184657
"NH3",2014,17006.601700047293
"NH3",2015,17158.22830287963
"NH3",2016,17343.51227440914
"NH3",2017,17508.663578238844
"NH3",2018,17655.55980679506
"NMVOC",1990,84990.31386635329
"NMVOC",1991,81925.83909579738
"NMVOC",1992,79323.896927416
"NMVOC",1993,76511.02571944166
"NMVOC",1994,72458.45169483335
"NMVOC",1995,70166.02667598025
"NMVOC",1996,69073.33848540415
"NMVOC",1997,67461.36426878157
"NMVOC",1998,65374.03477457603
"NMVOC",1999,62576.29835850429
"NMVOC",2000,59750.84945673674
"NMVOC",2001,57352.68302585738
"NMVOC",2002,54858.96277200321
"NMVOC",2003,54140.54361497091
"NMVOC",2004,51674.3039669455
"NMVOC",2005,50924.30431470789
"NMVOC",2006,50029.56831631956
"NMVOC",2007,47851.23732088384
"NMVOC",2008,46291.984701878275
"NMVOC",2009,44151.37457132916
"NMVOC",2010,43725.56892436548
"NMVOC",2011,42155.847909248274
"NMVOC",2012,41583.664599204516
"NMVOC",2013,40344.83055854203
"NMVOC",2014,39493.890756920075
"NMVOC",2015,39626.94428490921
"NMVOC",2016,39273.406480570826
"NMVOC",2017,39948.97157780492
"NMVOC",2018,39200.67684317547
"NOx",1990,77324.2686493812
"NOx",1991,75648.33915661283
"NOx",1992,74366.42499014201
"NOx",1993,71359.0730725384
"NOx",1994,70532.84890598325
"NOx",1995,68689.93227779673
"NOx",1996,68292.3517790855
"NOx",1997,66492.1559092404
"NOx",1998,65479.16555788522
"NOx",1999,63074.586222507154
"NOx",2000,61748.7809586145
"NOx",2001,60649.50538403947
"NOx",2002,58672.45196107004
"NOx",2003,58227.71253691658
"NOx",2004,58542.74635096267
"NOx",2005,57611.381388126356
"NOx",2006,56636.82121662755
"NOx",2007,55224.76634527899
"NOx",2008,51698.858031136486
"NOx",2009,47559.08278942881
"NOx",2010,46481.08913700731
"NOx",2011,44918.74931911376
"NOx",2012,43192.18878572542
"NOx",2013,41226.507838858925
"NOx",2014,39828.837030756964
"NOx",2015,39090.66136279168
"NOx",2016,38104.50394146361
"NOx",2017,37485.44534681511
"NOx",2018,36471.83449279675
"PM10",1990,16210.427949670344
"PM10",1991,15913.753587615583
"PM10",1992,15199.468239831856
"PM10",1993,14993.713566228862
"PM10",1994,14290.004234946506
"PM10",1995,13990.08574048815
"PM10",1996,14135.05777238506
"PM10",1997,13740.344526255796
"PM10",1998,13493.446819025494
"PM10",1999,12815.101869249636
"PM10",2000,12444.774151002024
"PM10",2001,12187.129195032045
"PM10",2002,11699.135835790286
"PM10",2003,12033.312004661431
"PM10",2004,11815.585390548456
"PM10",2005,11660.449272091053
"PM10",2006,11517.387078255864
"PM10",2007,11428.473383846305
"PM10",2008,11221.97978648995
"PM10",2009,10709.671391153764
"PM10",2010,16670.934184043675
"PM10",2011,57160.9404674759
"PM10",2012,10080.128199754516
"PM10",2013,9672.91138062588
"PM10",2014,9126.94341360936
"PM10",2015,9232.316696809416
"PM10",2016,9091.37827200866
"PM10",2017,9233.358503619611
"PM10",2018,8960.178617133452
"PM2.5",1990,10772.485019445605
"PM2.5",1991,10582.328532112802
"PM2.5",1992,10073.781261419876
"PM2.5",1993,9976.539980410602
"PM2.5",1994,9475.146134473967
"PM2.5",1995,9288.307118589768
"PM2.5",1996,9427.245584663417
"PM2.5",1997,9106.095091348416
"PM2.5",1998,8777.15387044368
"PM2.5",1999,8366.165778330504
"PM2.5",2000,8320.852142132724
"PM2.5",2001,8083.6476585586
"PM2.5",2002,7624.279665426396
"PM2.5",2003,7886.19063504655
"PM2.5",2004,7688.742059901265
"PM2.5",2005,7630.951846824756
"PM2.5",2006,7462.436263213492
"PM2.5",2007,7441.799737744225
"PM2.5",2008,7281.868604965232
"PM2.5",2009,6992.231408316953
"PM2.5",2010,8729.495125364048
"PM2.5",2011,19776.485108343957
