"long","lat","order","piece","id","group","name"
-75.6738,24.6294,1,1,1,1.1,"aeroper"
-75.69149,24.63356,2,1,1,1.1,"aeroper"
-75.70917,24.63772,3,1,1,1.1,"aeroper"
-75.72687,24.64187,4,1,1,1.1,"aeroper"
-75.74456,24.64603,5,1,1,1.1,"aeroper"
-75.76225,24.65018,6,1,1,1.1,"aeroper"
-75.77994,24.65433,7,1,1,1.1,"aeroper"
-75.79764,24.65847,8,1,1,1.1,"aeroper"
-75.81534,24.66262,9,1,1,1.1,"aeroper"
-75.83303,24.66676,10,1,1,1.1,"aeroper"
-75.85073,24.6709,11,1,1,1.1,"aeroper"
-75.86843,24.67504,12,1,1,1.1,"aeroper"
-75.88613,24.67918,13,1,1,1.1,"aeroper"
-75.90384,24.68332,14,1,1,1.1,"aeroper"
-75.92154,24.68745,15,1,1,1.1,"aeroper"
-75.93924,24.69158,16,1,1,1.1,"aeroper"
-75.95695,24.69571,17,1,1,1.1,"aeroper"
-75.97466,24.69983,18,1,1,1.1,"aeroper"
-75.99236,24.70396,19,1,1,1.1,"aeroper"
-76.01007,24.70808,20,1,1,1.1,"aeroper"
-76.02778,24.7122,21,1,1,1.1,"aeroper"
-76.0455,24.71632,22,1,1,1.1,"aeroper"
-76.06321,24.72044,23,1,1,1.1,"aeroper"
-76.08092,24.72455,24,1,1,1.1,"aeroper"
-76.09864,24.72866,25,1,1,1.1,"aeroper"
-76.11635,24.73277,26,1,1,1.1,"aeroper"
-76.13407,24.73688,27,1,1,1.1,"aeroper"
-76.15179,24.74099,28,1,1,1.1,"aeroper"
-76.16951,24.74509,29,1,1,1.1,"aeroper"
-76.18723,24.74919,30,1,1,1.1,"aeroper"
-76.20495,24.75329,31,1,1,1.1,"aeroper"
-76.22268,24.75739,32,1,1,1.1,"aeroper"
-76.2404,24.76148,33,1,1,1.1,"aeroper"
-76.25813,24.76558,34,1,1,1.1,"aeroper"
-76.27585,24.76967,35,1,1,1.1,"aeroper"
-76.29358,24.77376,36,1,1,1.1,"aeroper"
-76.31131,24.77784,37,1,1,1.1,"aeroper"
-76.32904,24.78193,38,1,1,1.1,"aeroper"
-76.34677,24.78601,39,1,1,1.1,"aeroper"
-76.36451,24.79009,40,1,1,1.1,"aeroper"
-76.38224,24.79417,41,1,1,1.1,"aeroper"
-76.39998,24.79825,42,1,1,1.1,"aeroper"
-76.41771,24.80232,43,1,1,1.1,"aeroper"
-76.43545,24.8064,44,1,1,1.1,"aeroper"
-76.45319,24.81047,45,1,1,1.1,"aeroper"
-76.47093,24.81453,46,1,1,1.1,"aeroper"
-76.48867,24.8186,47,1,1,1.1,"aeroper"
-76.50641,24.82266,48,1,1,1.1,"aeroper"
-76.52415,24.82673,49,1,1,1.1,"aeroper"
-76.5419,24.83079,50,1,1,1.1,"aeroper"
-76.55964,24.83484,51,1,1,1.1,"aeroper"
-76.57739,24.8389,52,1,1,1.1,"aeroper"
-76.59514,24.84295,53,1,1,1.1,"aeroper"
-76.61289,24.847,54,1,1,1.1,"aeroper"
-76.63064,24.85105,55,1,1,1.1,"aeroper"
-76.64839,24.8551,56,1,1,1.1,"aeroper"
-76.66614,24.85915,57,1,1,1.1,"aeroper"
-76.68389,24.86319,58,1,1,1.1,"aeroper"
-76.70165,24.86723,59,1,1,1.1,"aeroper"
-76.71941,24.87127,60,1,1,1.1,"aeroper"
-76.73716,24.87531,61,1,1,1.1,"aeroper"
-76.75492,24.87934,62,1,1,1.1,"aeroper"
-76.77268,24.88337,63,1,1,1.1,"aeroper"
-76.79044,24.8874,64,1,1,1.1,"aeroper"
-76.8082,24.89143,65,1,1,1.1,"aeroper"
-76.82597,24.89546,66,1,1,1.1,"aeroper"
-76.84373,24.89948,67,1,1,1.1,"aeroper"
-76.8615,24.9035,68,1,1,1.1,"aeroper"
-76.87926,24.90752,69,1,1,1.1,"aeroper"
-76.89703,24.91154,70,1,1,1.1,"aeroper"
-76.9148,24.91556,71,1,1,1.1,"aeroper"
-76.93257,24.91957,72,1,1,1.1,"aeroper"
-76.95034,24.92358,73,1,1,1.1,"aeroper"
-76.96811,24.92759,74,1,1,1.1,"aeroper"
-76.98588,24.9316,75,1,1,1.1,"aeroper"
-77.00366,24.93561,76,1,1,1.1,"aeroper"
-77.02144,24.93961,77,1,1,1.1,"aeroper"
-77.03921,24.94361,78,1,1,1.1,"aeroper"
-77.05699,24.94761,79,1,1,1.1,"aeroper"
-77.07477,24.9516,80,1,1,1.1,"aeroper"
-77.09255,24.9556,81,1,1,1.1,"aeroper"
-77.11033,24.95959,82,1,1,1.1,"aeroper"
-77.12811,24.96358,83,1,1,1.1,"aeroper"
-77.1459,24.96757,84,1,1,1.1,"aeroper"
-77.16368,24.97156,85,1,1,1.1,"aeroper"
-77.18147,24.97554,86,1,1,1.1,"aeroper"
-77.19926,24.97952,87,1,1,1.1,"aeroper"
-77.21704,24.9835,88,1,1,1.1,"aeroper"
-77.23483,24.98748,89,1,1,1.1,"aeroper"
-77.25262,24.99146,90,1,1,1.1,"aeroper"
-77.27042,24.99543,91,1,1,1.1,"aeroper"
-77.28821,24.9994,92,1,1,1.1,"aeroper"
-77.306,25.00337,93,1,1,1.1,"aeroper"
-77.3238,25.00734,94,1,1,1.1,"aeroper"
-77.34159,25.0113,95,1,1,1.1,"aeroper"
-77.35939,25.01527,96,1,1,1.1,"aeroper"
-77.37719,25.01923,97,1,1,1.1,"aeroper"
-77.39499,25.02319,98,1,1,1.1,"aeroper"
-77.41279,25.02714,99,1,1,1.1,"aeroper"
-77.43059,25.0311,100,1,1,1.1,"aeroper"
-77.4484,25.03505,101,1,1,1.1,"aeroper"
-77.4662,25.039,102,1,1,1.1,"aeroper"
-76.6835,25.4749,1,1,2,2.1,"aeroper"
-76.69128,25.4706,2,1,2,2.1,"aeroper"
-76.69906,25.46631,3,1,2,2.1,"aeroper"
-76.70683,25.46201,4,1,2,2.1,"aeroper"
-76.71461,25.45771,5,1,2,2.1,"aeroper"
-76.72238,25.45342,6,1,2,2.1,"aeroper"
-76.73016,25.44912,7,1,2,2.1,"aeroper"
-76.73793,25.44482,8,1,2,2.1,"aeroper"
-76.7457,25.44052,9,1,2,2.1,"aeroper"
-76.75348,25.43622,10,1,2,2.1,"aeroper"
-76.76125,25.43193,11,1,2,2.1,"aeroper"
-76.76902,25.42763,12,1,2,2.1,"aeroper"
-76.77679,25.42333,13,1,2,2.1,"aeroper"
-76.78456,25.41903,14,1,2,2.1,"aeroper"
-76.79233,25.41472,15,1,2,2.1,"aeroper"
-76.8001,25.41042,16,1,2,2.1,"aeroper"
-76.80787,25.40612,17,1,2,2.1,"aeroper"
-76.81564,25.40182,18,1,2,2.1,"aeroper"
-76.82341,25.39752,19,1,2,2.1,"aeroper"
-76.83117,25.39321,20,1,2,2.1,"aeroper"
-76.83894,25.38891,21,1,2,2.1,"aeroper"
-76.84671,25.38461,22,1,2,2.1,"aeroper"
-76.85447,25.3803,23,1,2,2.1,"aeroper"
-76.86224,25.376,24,1,2,2.1,"aeroper"
-76.87,25.37169,25,1,2,2.1,"aeroper"
-76.87776,25.36739,26,1,2,2.1,"aeroper"
-76.88553,25.36308,27,1,2,2.1,"aeroper"
-76.89329,25.35878,28,1,2,2.1,"aeroper"
-76.90105,25.35447,29,1,2,2.1,"aeroper"
-76.90881,25.35016,30,1,2,2.1,"aeroper"
-76.91657,25.34586,31,1,2,2.1,"aeroper"
-76.92434,25.34155,32,1,2,2.1,"aeroper"
-76.93209,25.33724,33,1,2,2.1,"aeroper"
-76.93985,25.33293,34,1,2,2.1,"aeroper"
-76.94761,25.32862,35,1,2,2.1,"aeroper"
-76.95537,25.32431,36,1,2,2.1,"aeroper"
-76.96313,25.32,37,1,2,2.1,"aeroper"
-76.97089,25.31569,38,1,2,2.1,"aeroper"
-76.97864,25.31138,39,1,2,2.1,"aeroper"
-76.9864,25.30707,40,1,2,2.1,"aeroper"
-76.99415,25.30276,41,1,2,2.1,"aeroper"
-77.00191,25.29845,42,1,2,2.1,"aeroper"
-77.00966,25.29414,43,1,2,2.1,"aeroper"
-77.01742,25.28982,44,1,2,2.1,"aeroper"
-77.02517,25.28551,45,1,2,2.1,"aeroper"
-77.03292,25.2812,46,1,2,2.1,"aeroper"
-77.04068,25.27688,47,1,2,2.1,"aeroper"
-77.04843,25.27257,48,1,2,2.1,"aeroper"
-77.05618,25.26825,49,1,2,2.1,"aeroper"
-77.06393,25.26394,50,1,2,2.1,"aeroper"
-77.07168,25.25962,51,1,2,2.1,"aeroper"
-77.07943,25.25531,52,1,2,2.1,"aeroper"
-77.08718,25.25099,53,1,2,2.1,"aeroper"
-77.09493,25.24667,54,1,2,2.1,"aeroper"
-77.10267,25.24236,55,1,2,2.1,"aeroper"
-77.11042,25.23804,56,1,2,2.1,"aeroper"
-77.11817,25.23372,57,1,2,2.1,"aeroper"
-77.12591,25.2294,58,1,2,2.1,"aeroper"
-77.13366,25.22508,59,1,2,2.1,"aeroper"
-77.1414,25.22077,60,1,2,2.1,"aeroper"
-77.14915,25.21645,61,1,2,2.1,"aeroper"
-77.15689,25.21213,62,1,2,2.1,"aeroper"
-77.16464,25.20781,63,1,2,2.1,"aeroper"
-77.17238,25.20349,64,1,2,2.1,"aeroper"
-77.18012,25.19916,65,1,2,2.1,"aeroper"
-77.18786,25.19484,66,1,2,2.1,"aeroper"
-77.1956,25.19052,67,1,2,2.1,"aeroper"
