"long","lat","order","piece","id","group","name"
174.792,-37.0081,1,1,1,1.1,"air-caledonie-international"
174.6925,-36.86278,2,1,1,1.1,"air-caledonie-international"
174.5935,-36.71738,3,1,1,1.1,"air-caledonie-international"
174.4947,-36.5719,4,1,1,1.1,"air-caledonie-international"
174.3964,-36.42634,5,1,1,1.1,"air-caledonie-international"
174.2984,-36.2807,6,1,1,1.1,"air-caledonie-international"
174.2008,-36.13497,7,1,1,1.1,"air-caledonie-international"
174.1036,-35.98917,8,1,1,1.1,"air-caledonie-international"
174.0067,-35.84329,9,1,1,1.1,"air-caledonie-international"
173.9102,-35.69733,10,1,1,1.1,"air-caledonie-international"
173.814,-35.5513,11,1,1,1.1,"air-caledonie-international"
173.7181,-35.40519,12,1,1,1.1,"air-caledonie-international"
173.6227,-35.25901,13,1,1,1.1,"air-caledonie-international"
173.5275,-35.11275,14,1,1,1.1,"air-caledonie-international"
173.4327,-34.96641,15,1,1,1.1,"air-caledonie-international"
173.3383,-34.82,16,1,1,1.1,"air-caledonie-international"
173.2441,-34.67352,17,1,1,1.1,"air-caledonie-international"
173.1504,-34.52697,18,1,1,1.1,"air-caledonie-international"
173.0569,-34.38035,19,1,1,1.1,"air-caledonie-international"
172.9638,-34.23365,20,1,1,1.1,"air-caledonie-international"
172.8709,-34.08689,21,1,1,1.1,"air-caledonie-international"
172.7785,-33.94005,22,1,1,1.1,"air-caledonie-international"
172.6863,-33.79315,23,1,1,1.1,"air-caledonie-international"
172.5944,-33.64618,24,1,1,1.1,"air-caledonie-international"
172.5029,-33.49914,25,1,1,1.1,"air-caledonie-international"
172.4117,-33.35203,26,1,1,1.1,"air-caledonie-international"
172.3207,-33.20486,27,1,1,1.1,"air-caledonie-international"
172.2301,-33.05762,28,1,1,1.1,"air-caledonie-international"
172.1398,-32.91032,29,1,1,1.1,"air-caledonie-international"
172.0498,-32.76295,30,1,1,1.1,"air-caledonie-international"
171.9601,-32.61552,31,1,1,1.1,"air-caledonie-international"
171.8706,-32.46802,32,1,1,1.1,"air-caledonie-international"
171.7815,-32.32046,33,1,1,1.1,"air-caledonie-international"
171.6927,-32.17284,34,1,1,1.1,"air-caledonie-international"
171.6041,-32.02516,35,1,1,1.1,"air-caledonie-international"
171.5158,-31.87741,36,1,1,1.1,"air-caledonie-international"
171.4279,-31.7296,37,1,1,1.1,"air-caledonie-international"
171.3402,-31.58174,38,1,1,1.1,"air-caledonie-international"
171.2527,-31.43381,39,1,1,1.1,"air-caledonie-international"
171.1656,-31.28583,40,1,1,1.1,"air-caledonie-international"
171.0787,-31.13778,41,1,1,1.1,"air-caledonie-international"
170.9921,-30.98968,42,1,1,1.1,"air-caledonie-international"
170.9058,-30.84152,43,1,1,1.1,"air-caledonie-international"
170.8197,-30.69331,44,1,1,1.1,"air-caledonie-international"
170.7339,-30.54503,45,1,1,1.1,"air-caledonie-international"
170.6483,-30.3967,46,1,1,1.1,"air-caledonie-international"
170.563,-30.24832,47,1,1,1.1,"air-caledonie-international"
170.478,-30.09988,48,1,1,1.1,"air-caledonie-international"
170.3932,-29.95139,49,1,1,1.1,"air-caledonie-international"
170.3087,-29.80284,50,1,1,1.1,"air-caledonie-international"
170.2244,-29.65423,51,1,1,1.1,"air-caledonie-international"
170.1404,-29.50558,52,1,1,1.1,"air-caledonie-international"
170.0566,-29.35687,53,1,1,1.1,"air-caledonie-international"
169.9731,-29.20811,54,1,1,1.1,"air-caledonie-international"
169.8898,-29.0593,55,1,1,1.1,"air-caledonie-international"
169.8068,-28.91044,56,1,1,1.1,"air-caledonie-international"
169.724,-28.76152,57,1,1,1.1,"air-caledonie-international"
169.6414,-28.61256,58,1,1,1.1,"air-caledonie-international"
169.559,-28.46354,59,1,1,1.1,"air-caledonie-international"
169.4769,-28.31448,60,1,1,1.1,"air-caledonie-international"
169.395,-28.16537,61,1,1,1.1,"air-caledonie-international"
169.3134,-28.01621,62,1,1,1.1,"air-caledonie-international"
169.232,-27.867,63,1,1,1.1,"air-caledonie-international"
169.1508,-27.71774,64,1,1,1.1,"air-caledonie-international"
169.0698,-27.56844,65,1,1,1.1,"air-caledonie-international"
168.989,-27.41909,66,1,1,1.1,"air-caledonie-international"
168.9085,-27.26969,67,1,1,1.1,"air-caledonie-international"
168.8282,-27.12025,68,1,1,1.1,"air-caledonie-international"
168.748,-26.97076,69,1,1,1.1,"air-caledonie-international"
168.6681,-26.82122,70,1,1,1.1,"air-caledonie-international"
168.5885,-26.67164,71,1,1,1.1,"air-caledonie-international"
168.509,-26.52202,72,1,1,1.1,"air-caledonie-international"
168.4297,-26.37235,73,1,1,1.1,"air-caledonie-international"
168.3506,-26.22264,74,1,1,1.1,"air-caledonie-international"
168.2718,-26.07289,75,1,1,1.1,"air-caledonie-international"
168.1931,-25.92309,76,1,1,1.1,"air-caledonie-international"
168.1146,-25.77325,77,1,1,1.1,"air-caledonie-international"
168.0364,-25.62337,78,1,1,1.1,"air-caledonie-international"
167.9583,-25.47345,79,1,1,1.1,"air-caledonie-international"
167.8804,-25.32349,80,1,1,1.1,"air-caledonie-international"
167.8028,-25.17348,81,1,1,1.1,"air-caledonie-international"
167.7253,-25.02344,82,1,1,1.1,"air-caledonie-international"
167.648,-24.87335,83,1,1,1.1,"air-caledonie-international"
167.5708,-24.72323,84,1,1,1.1,"air-caledonie-international"
167.4939,-24.57306,85,1,1,1.1,"air-caledonie-international"
167.4172,-24.42286,86,1,1,1.1,"air-caledonie-international"
167.3406,-24.27262,87,1,1,1.1,"air-caledonie-international"
167.2642,-24.12234,88,1,1,1.1,"air-caledonie-international"
167.188,-23.97202,89,1,1,1.1,"air-caledonie-international"
167.112,-23.82167,90,1,1,1.1,"air-caledonie-international"
167.0362,-23.67127,91,1,1,1.1,"air-caledonie-international"
166.9605,-23.52084,92,1,1,1.1,"air-caledonie-international"
166.885,-23.37038,93,1,1,1.1,"air-caledonie-international"
166.8097,-23.21988,94,1,1,1.1,"air-caledonie-international"
166.7345,-23.06934,95,1,1,1.1,"air-caledonie-international"
166.6595,-22.91877,96,1,1,1.1,"air-caledonie-international"
166.5847,-22.76816,97,1,1,1.1,"air-caledonie-international"
166.51,-22.61751,98,1,1,1.1,"air-caledonie-international"
166.4355,-22.46684,99,1,1,1.1,"air-caledonie-international"
166.3612,-22.31613,100,1,1,1.1,"air-caledonie-international"
166.287,-22.16538,101,1,1,1.1,"air-caledonie-international"
166.213,-22.0146,102,1,1,1.1,"air-caledonie-international"
153.117,-27.3842,1,1,2,2.1,"air-caledonie-international"
153.2523,-27.33693,2,1,2,2.1,"air-caledonie-international"
153.3875,-27.28953,3,1,2,2.1,"air-caledonie-international"
153.5226,-27.24201,4,1,2,2.1,"air-caledonie-international"
153.6576,-27.19435,5,1,2,2.1,"air-caledonie-international"
153.7924,-27.14657,6,1,2,2.1,"air-caledonie-international"
153.9271,-27.09865,7,1,2,2.1,"air-caledonie-international"
154.0618,-27.05061,8,1,2,2.1,"air-caledonie-international"
154.1963,-27.00244,9,1,2,2.1,"air-caledonie-international"
154.3307,-26.95414,10,1,2,2.1,"air-caledonie-international"
154.4649,-26.90571,11,1,2,2.1,"air-caledonie-international"
154.5991,-26.85716,12,1,2,2.1,"air-caledonie-international"
154.7331,-26.80848,13,1,2,2.1,"air-caledonie-international"
154.8671,-26.75968,14,1,2,2.1,"air-caledonie-international"
155.0009,-26.71074,15,1,2,2.1,"air-caledonie-international"
155.1346,-26.66169,16,1,2,2.1,"air-caledonie-international"
155.2682,-26.61251,17,1,2,2.1,"air-caledonie-international"
155.4016,-26.5632,18,1,2,2.1,"air-caledonie-international"
155.535,-26.51377,19,1,2,2.1,"air-caledonie-international"
155.6682,-26.46422,20,1,2,2.1,"air-caledonie-international"
155.8013,-26.41454,21,1,2,2.1,"air-caledonie-international"
155.9343,-26.36474,22,1,2,2.1,"air-caledonie-international"
156.0672,-26.31482,23,1,2,2.1,"air-caledonie-international"
156.2,-26.26477,24,1,2,2.1,"air-caledonie-international"
156.3327,-26.2146,25,1,2,2.1,"air-caledonie-international"
156.4652,-26.16431,26,1,2,2.1,"air-caledonie-international"
156.5977,-26.1139,27,1,2,2.1,"air-caledonie-international"
156.73,-26.06337,28,1,2,2.1,"air-caledonie-international"
156.8622,-26.01272,29,1,2,2.1,"air-caledonie-international"
156.9943,-25.96195,30,1,2,2.1,"air-caledonie-international"
157.1263,-25.91105,31,1,2,2.1,"air-caledonie-international"
157.2581,-25.86004,32,1,2,2.1,"air-caledonie-international"
157.3899,-25.80891,33,1,2,2.1,"air-caledonie-international"
157.5215,-25.75766,34,1,2,2.1,"air-caledonie-international"
157.653,-25.70629,35,1,2,2.1,"air-caledonie-international"
157.7844,-25.65481,36,1,2,2.1,"air-caledonie-international"
157.9157,-25.60321,37,1,2,2.1,"air-caledonie-international"
158.0469,-25.55149,38,1,2,2.1,"air-caledonie-international"
158.178,-25.49965,39,1,2,2.1,"air-caledonie-international"
158.3089,-25.4477,40,1,2,2.1,"air-caledonie-international"
158.4398,-25.39563,41,1,2,2.1,"air-caledonie-international"
158.5705,-25.34344,42,1,2,2.1,"air-caledonie-international"
158.7011,-25.29114,43,1,2,2.1,"air-caledonie-international"
158.8316,-25.23873,44,1,2,2.1,"air-caledonie-international"
158.962,-25.1862,45,1,2,2.1,"air-caledonie-international"
159.0923,-25.13356,46,1,2,2.1,"air-caledonie-international"
159.2225,-25.0808,47,1,2,2.1,"air-caledonie-international"
159.3525,-25.02793,48,1,2,2.1,"air-caledonie-international"
159.4825,-24.97494,49,1,2,2.1,"air-caledonie-international"
159.6123,-24.92185,50,1,2,2.1,"air-caledonie-international"
159.742,-24.86864,51,1,2,2.1,"air-caledonie-international"
159.8716,-24.81532,52,1,2,2.1,"air-caledonie-international"
160.0011,-24.76188,53,1,2,2.1,"air-caledonie-international"
160.1305,-24.70834,54,1,2,2.1,"air-caledonie-international"
160.2598,-24.65468,55,1,2,2.1,"air-caledonie-international"
160.3889,-24.60092,56,1,2,2.1,"air-caledonie-international"
160.518,-24.54704,57,1,2,2.1,"air-caledonie-international"
160.6469,-24.49306,58,1,2,2.1,"air-caledonie-international"
160.7758,-24.43897,59,1,2,2.1,"air-caledonie-international"
160.9045,-24.38476,60,1,2,2.1,"air-caledonie-international"
161.0331,-24.33045,61,1,2,2.1,"air-caledonie-international"
161.1616,-24.27603,62,1,2,2.1,"air-caledonie-international"
161.29,-24.2215,63,1,2,2.1,"air-caledonie-international"
161.4183,-24.16687,64,1,2,2.1,"air-caledonie-international"
161.5464,-24.11212,65,1,2,2.1,"air-caledonie-international"
161.6745,-24.05727,66,1,2,2.1,"air-caledonie-international"
161.8024,-24.00232,67,1,2,2.1,"air-caledonie-international"
161.9303,-23.94725,68,1,2,2.1,"air-caledonie-international"
162.058,-23.89209,69,1,2,2.1,"air-caledonie-international"
162.1856,-23.83681,70,1,2,2.1,"air-caledonie-international"
162.3131,-23.78143,71,1,2,2.1,"air-caledonie-international"
162.4405,-23.72595,72,1,2,2.1,"air-caledonie-international"
162.5678,-23.67036,73,1,2,2.1,"air-caledonie-international"
162.695,-23.61467,74,1,2,2.1,"air-caledonie-international"
162.8221,-23.55888,75,1,2,2.1,"air-caledonie-international"
162.9491,-23.50298,76,1,2,2.1,"air-caledonie-international"
163.0759,-23.44698,77,1,2,2.1,"air-caledonie-international"
163.2027,-23.39088,78,1,2,2.1,"air-caledonie-international"
163.3293,-23.33467,79,1,2,2.1,"air-caledonie-international"
163.4559,-23.27836,80,1,2,2.1,"air-caledonie-international"
163.5823,-23.22196,81,1,2,2.1,"air-caledonie-international"
163.7086,-23.16545,82,1,2,2.1,"air-caledonie-international"
