"long","lat","order","piece","id","group","name"
-52.3604,4.81981,1,1,1,1.1,"air-caraa-bes"
-51.97973,5.324135,2,1,1,1.1,"air-caraa-bes"
-51.59843,5.828225,3,1,1,1.1,"air-caraa-bes"
-51.21644,6.332059,4,1,1,1.1,"air-caraa-bes"
-50.83371,6.835613,5,1,1,1.1,"air-caraa-bes"
-50.45018,7.338864,6,1,1,1.1,"air-caraa-bes"
-50.06577,7.84179,7,1,1,1.1,"air-caraa-bes"
-49.68044,8.344366,8,1,1,1.1,"air-caraa-bes"
-49.29411,8.846569,9,1,1,1.1,"air-caraa-bes"
-48.90673,9.348375,10,1,1,1.1,"air-caraa-bes"
-48.51822,9.84976,11,1,1,1.1,"air-caraa-bes"
-48.12854,10.3507,12,1,1,1.1,"air-caraa-bes"
-47.73761,10.85117,13,1,1,1.1,"air-caraa-bes"
-47.34537,11.35114,14,1,1,1.1,"air-caraa-bes"
-46.95176,11.8506,15,1,1,1.1,"air-caraa-bes"
-46.5567,12.34951,16,1,1,1.1,"air-caraa-bes"
-46.16013,12.84785,17,1,1,1.1,"air-caraa-bes"
-45.76199,13.34559,18,1,1,1.1,"air-caraa-bes"
-45.3622,13.8427,19,1,1,1.1,"air-caraa-bes"
-44.96071,14.33917,20,1,1,1.1,"air-caraa-bes"
-44.55743,14.83496,21,1,1,1.1,"air-caraa-bes"
-44.1523,15.33004,22,1,1,1.1,"air-caraa-bes"
-43.74525,15.82439,23,1,1,1.1,"air-caraa-bes"
-43.3362,16.31797,24,1,1,1.1,"air-caraa-bes"
-42.92509,16.81077,25,1,1,1.1,"air-caraa-bes"
-42.51183,17.30274,26,1,1,1.1,"air-caraa-bes"
-42.09636,17.79386,27,1,1,1.1,"air-caraa-bes"
-41.6786,18.28411,28,1,1,1.1,"air-caraa-bes"
-41.25848,18.77343,29,1,1,1.1,"air-caraa-bes"
-40.83591,19.26182,30,1,1,1.1,"air-caraa-bes"
-40.41082,19.74923,31,1,1,1.1,"air-caraa-bes"
-39.98312,20.23563,32,1,1,1.1,"air-caraa-bes"
-39.55275,20.72098,33,1,1,1.1,"air-caraa-bes"
-39.11961,21.20526,34,1,1,1.1,"air-caraa-bes"
-38.68362,21.68843,35,1,1,1.1,"air-caraa-bes"
-38.2447,22.17045,36,1,1,1.1,"air-caraa-bes"
-37.80277,22.65129,37,1,1,1.1,"air-caraa-bes"
-37.35773,23.13091,38,1,1,1.1,"air-caraa-bes"
-36.9095,23.60927,39,1,1,1.1,"air-caraa-bes"
-36.458,24.08633,40,1,1,1.1,"air-caraa-bes"
-36.00312,24.56206,41,1,1,1.1,"air-caraa-bes"
-35.54479,25.03641,42,1,1,1.1,"air-caraa-bes"
-35.0829,25.50935,43,1,1,1.1,"air-caraa-bes"
-34.61737,25.98083,44,1,1,1.1,"air-caraa-bes"
-34.14809,26.4508,45,1,1,1.1,"air-caraa-bes"
-33.67497,26.91924,46,1,1,1.1,"air-caraa-bes"
-33.19791,27.38608,47,1,1,1.1,"air-caraa-bes"
-32.71682,27.85128,48,1,1,1.1,"air-caraa-bes"
-32.23159,28.3148,49,1,1,1.1,"air-caraa-bes"
-31.74212,28.77659,50,1,1,1.1,"air-caraa-bes"
-31.2483,29.2366,51,1,1,1.1,"air-caraa-bes"
-30.75004,29.69478,52,1,1,1.1,"air-caraa-bes"
-30.24722,30.15108,53,1,1,1.1,"air-caraa-bes"
-29.73973,30.60545,54,1,1,1.1,"air-caraa-bes"
-29.22747,31.05782,55,1,1,1.1,"air-caraa-bes"
-28.71033,31.50816,56,1,1,1.1,"air-caraa-bes"
-28.18819,31.95639,57,1,1,1.1,"air-caraa-bes"
-27.66095,32.40246,58,1,1,1.1,"air-caraa-bes"
-27.12848,32.84632,59,1,1,1.1,"air-caraa-bes"
-26.59067,33.2879,60,1,1,1.1,"air-caraa-bes"
-26.0474,33.72714,61,1,1,1.1,"air-caraa-bes"
-25.49857,34.16398,62,1,1,1.1,"air-caraa-bes"
-24.94403,34.59835,63,1,1,1.1,"air-caraa-bes"
-24.38369,35.03019,64,1,1,1.1,"air-caraa-bes"
-23.81741,35.45942,65,1,1,1.1,"air-caraa-bes"
-23.24507,35.88598,66,1,1,1.1,"air-caraa-bes"
-22.66656,36.30979,67,1,1,1.1,"air-caraa-bes"
-22.08174,36.73079,68,1,1,1.1,"air-caraa-bes"
-21.49049,37.14889,69,1,1,1.1,"air-caraa-bes"
-20.8927,37.56403,70,1,1,1.1,"air-caraa-bes"
-20.28823,37.97612,71,1,1,1.1,"air-caraa-bes"
-19.67696,38.38508,72,1,1,1.1,"air-caraa-bes"
-19.05877,38.79083,73,1,1,1.1,"air-caraa-bes"
-18.43353,39.19328,74,1,1,1.1,"air-caraa-bes"
-17.80111,39.59235,75,1,1,1.1,"air-caraa-bes"
-17.1614,39.98796,76,1,1,1.1,"air-caraa-bes"
-16.51427,40.38001,77,1,1,1.1,"air-caraa-bes"
-15.8596,40.76841,78,1,1,1.1,"air-caraa-bes"
-15.19727,41.15307,79,1,1,1.1,"air-caraa-bes"
-14.52716,41.53389,80,1,1,1.1,"air-caraa-bes"
-13.84915,41.91077,81,1,1,1.1,"air-caraa-bes"
-13.16314,42.28362,82,1,1,1.1,"air-caraa-bes"
-12.469,42.65233,83,1,1,1.1,"air-caraa-bes"
-11.76663,43.0168,84,1,1,1.1,"air-caraa-bes"
-11.05592,43.37692,85,1,1,1.1,"air-caraa-bes"
-10.33678,43.7326,86,1,1,1.1,"air-caraa-bes"
