"long","lat","order","piece","id","group","name"
-161.838,60.7798,1,1,1,1.1,"airbus-france"
-161.8401,60.7742,2,1,1,1.1,"airbus-france"
-161.8421,60.76859,3,1,1,1.1,"airbus-france"
-161.8442,60.76299,4,1,1,1.1,"airbus-france"
-161.8463,60.75739,5,1,1,1.1,"airbus-france"
-161.8484,60.75178,6,1,1,1.1,"airbus-france"
-161.8504,60.74618,7,1,1,1.1,"airbus-france"
-161.8525,60.74057,8,1,1,1.1,"airbus-france"
-161.8546,60.73497,9,1,1,1.1,"airbus-france"
-161.8566,60.72937,10,1,1,1.1,"airbus-france"
-161.8587,60.72376,11,1,1,1.1,"airbus-france"
-161.8608,60.71816,12,1,1,1.1,"airbus-france"
-161.8628,60.71255,13,1,1,1.1,"airbus-france"
-161.8649,60.70695,14,1,1,1.1,"airbus-france"
-161.867,60.70135,15,1,1,1.1,"airbus-france"
-161.869,60.69574,16,1,1,1.1,"airbus-france"
-161.8711,60.69014,17,1,1,1.1,"airbus-france"
-161.8732,60.68453,18,1,1,1.1,"airbus-france"
-161.8752,60.67893,19,1,1,1.1,"airbus-france"
-161.8773,60.67333,20,1,1,1.1,"airbus-france"
-161.8793,60.66772,21,1,1,1.1,"airbus-france"
-161.8814,60.66212,22,1,1,1.1,"airbus-france"
-161.8835,60.65651,23,1,1,1.1,"airbus-france"
-161.8855,60.65091,24,1,1,1.1,"airbus-france"
-161.8876,60.6453,25,1,1,1.1,"airbus-france"
-161.8896,60.6397,26,1,1,1.1,"airbus-france"
-161.8917,60.6341,27,1,1,1.1,"airbus-france"
-161.8937,60.62849,28,1,1,1.1,"airbus-france"
-161.8958,60.62289,29,1,1,1.1,"airbus-france"
-161.8979,60.61728,30,1,1,1.1,"airbus-france"
-161.8999,60.61168,31,1,1,1.1,"airbus-france"
-161.902,60.60607,32,1,1,1.1,"airbus-france"
-161.904,60.60047,33,1,1,1.1,"airbus-france"
-161.9061,60.59486,34,1,1,1.1,"airbus-france"
-161.9081,60.58926,35,1,1,1.1,"airbus-france"
-161.9102,60.58365,36,1,1,1.1,"airbus-france"
-161.9122,60.57805,37,1,1,1.1,"airbus-france"
-161.9143,60.57244,38,1,1,1.1,"airbus-france"
-161.9163,60.56684,39,1,1,1.1,"airbus-france"
-161.9184,60.56123,40,1,1,1.1,"airbus-france"
-161.9204,60.55563,41,1,1,1.1,"airbus-france"
-161.9224,60.55002,42,1,1,1.1,"airbus-france"
-161.9245,60.54442,43,1,1,1.1,"airbus-france"
-161.9265,60.53881,44,1,1,1.1,"airbus-france"
-161.9286,60.53321,45,1,1,1.1,"airbus-france"
-161.9306,60.5276,46,1,1,1.1,"airbus-france"
-161.9327,60.522,47,1,1,1.1,"airbus-france"
-161.9347,60.51639,48,1,1,1.1,"airbus-france"
-161.9367,60.51079,49,1,1,1.1,"airbus-france"
-161.9388,60.50518,50,1,1,1.1,"airbus-france"
-161.9408,60.49958,51,1,1,1.1,"airbus-france"
-161.9429,60.49397,52,1,1,1.1,"airbus-france"
-161.9449,60.48837,53,1,1,1.1,"airbus-france"
-161.9469,60.48276,54,1,1,1.1,"airbus-france"
-161.949,60.47716,55,1,1,1.1,"airbus-france"
-161.951,60.47155,56,1,1,1.1,"airbus-france"
-161.953,60.46595,57,1,1,1.1,"airbus-france"
-161.9551,60.46034,58,1,1,1.1,"airbus-france"
-161.9571,60.45474,59,1,1,1.1,"airbus-france"
-161.9591,60.44913,60,1,1,1.1,"airbus-france"
-161.9612,60.44353,61,1,1,1.1,"airbus-france"
-161.9632,60.43792,62,1,1,1.1,"airbus-france"
-161.9652,60.43231,63,1,1,1.1,"airbus-france"
-161.9673,60.42671,64,1,1,1.1,"airbus-france"
-161.9693,60.4211,65,1,1,1.1,"airbus-france"
-161.9713,60.4155,66,1,1,1.1,"airbus-france"
-161.9733,60.40989,67,1,1,1.1,"airbus-france"
-161.9754,60.40429,68,1,1,1.1,"airbus-france"
-161.9774,60.39868,69,1,1,1.1,"airbus-france"
-161.9794,60.39307,70,1,1,1.1,"airbus-france"
-161.9815,60.38747,71,1,1,1.1,"airbus-france"
-161.9835,60.38186,72,1,1,1.1,"airbus-france"
-161.9855,60.37626,73,1,1,1.1,"airbus-france"
-161.9875,60.37065,74,1,1,1.1,"airbus-france"
-161.9895,60.36504,75,1,1,1.1,"airbus-france"
-161.9916,60.35944,76,1,1,1.1,"airbus-france"
-161.9936,60.35383,77,1,1,1.1,"airbus-france"
-161.9956,60.34823,78,1,1,1.1,"airbus-france"
-161.9976,60.34262,79,1,1,1.1,"airbus-france"
-161.9996,60.33701,80,1,1,1.1,"airbus-france"
-162.0017,60.33141,81,1,1,1.1,"airbus-france"
-162.0037,60.3258,82,1,1,1.1,"airbus-france"
-162.0057,60.3202,83,1,1,1.1,"airbus-france"
-162.0077,60.31459,84,1,1,1.1,"airbus-france"
-162.0097,60.30898,85,1,1,1.1,"airbus-france"
-162.0117,60.30338,86,1,1,1.1,"airbus-france"
-162.0138,60.29777,87,1,1,1.1,"airbus-france"
-162.0158,60.29216,88,1,1,1.1,"airbus-france"
-162.0178,60.28656,89,1,1,1.1,"airbus-france"
-162.0198,60.28095,90,1,1,1.1,"airbus-france"
-162.0218,60.27535,91,1,1,1.1,"airbus-france"
-162.0238,60.26974,92,1,1,1.1,"airbus-france"
-162.0258,60.26413,93,1,1,1.1,"airbus-france"
-162.0278,60.25853,94,1,1,1.1,"airbus-france"
-162.0298,60.25292,95,1,1,1.1,"airbus-france"
-162.0319,60.24731,96,1,1,1.1,"airbus-france"
-162.0339,60.24171,97,1,1,1.1,"airbus-france"
-162.0359,60.2361,98,1,1,1.1,"airbus-france"
-162.0379,60.23049,99,1,1,1.1,"airbus-france"
-162.0399,60.22489,100,1,1,1.1,"airbus-france"
-162.0419,60.21928,101,1,1,1.1,"airbus-france"
-162.0439,60.21367,102,1,1,1.1,"airbus-france"
-161.838,60.7798,1,1,2,2.1,"airbus-france"
-161.8603,60.7716,2,1,2,2.1,"airbus-france"
-161.8825,60.76339,3,1,2,2.1,"airbus-france"
-161.9048,60.75517,4,1,2,2.1,"airbus-france"
-161.927,60.74696,5,1,2,2.1,"airbus-france"
-161.9493,60.73874,6,1,2,2.1,"airbus-france"
-161.9715,60.73052,7,1,2,2.1,"airbus-france"
-161.9937,60.72229,8,1,2,2.1,"airbus-france"
-162.0159,60.71406,9,1,2,2.1,"airbus-france"
-162.0381,60.70582,10,1,2,2.1,"airbus-france"
-162.0602,60.69759,11,1,2,2.1,"airbus-france"
-162.0824,60.68934,12,1,2,2.1,"airbus-france"
-162.1045,60.6811,13,1,2,2.1,"airbus-france"
-162.1267,60.67285,14,1,2,2.1,"airbus-france"
-162.1488,60.6646,15,1,2,2.1,"airbus-france"
-162.1709,60.65634,16,1,2,2.1,"airbus-france"
-162.193,60.64808,17,1,2,2.1,"airbus-france"
-162.2151,60.63982,18,1,2,2.1,"airbus-france"
-162.2372,60.63155,19,1,2,2.1,"airbus-france"
-162.2593,60.62328,20,1,2,2.1,"airbus-france"
-162.2813,60.61501,21,1,2,2.1,"airbus-france"
-162.3034,60.60673,22,1,2,2.1,"airbus-france"
-162.3254,60.59845,23,1,2,2.1,"airbus-france"
-162.3475,60.59016,24,1,2,2.1,"airbus-france"
-162.3695,60.58187,25,1,2,2.1,"airbus-france"
-162.3915,60.57358,26,1,2,2.1,"airbus-france"
-162.4135,60.56528,27,1,2,2.1,"airbus-france"
-162.4354,60.55698,28,1,2,2.1,"airbus-france"
-162.4574,60.54868,29,1,2,2.1,"airbus-france"
-162.4794,60.54037,30,1,2,2.1,"airbus-france"
-162.5013,60.53206,31,1,2,2.1,"airbus-france"
-162.5233,60.52375,32,1,2,2.1,"airbus-france"
-162.5452,60.51543,33,1,2,2.1,"airbus-france"
-162.5671,60.50711,34,1,2,2.1,"airbus-france"
-162.589,60.49879,35,1,2,2.1,"airbus-france"
-162.6109,60.49046,36,1,2,2.1,"airbus-france"
-162.6328,60.48213,37,1,2,2.1,"airbus-france"
-162.6546,60.47379,38,1,2,2.1,"airbus-france"
-162.6765,60.46545,39,1,2,2.1,"airbus-france"
-162.6983,60.45711,40,1,2,2.1,"airbus-france"
-162.7202,60.44876,41,1,2,2.1,"airbus-france"
-162.742,60.44041,42,1,2,2.1,"airbus-france"
-162.7638,60.43206,43,1,2,2.1,"airbus-france"
-162.7856,60.4237,44,1,2,2.1,"airbus-france"
-162.8074,60.41534,45,1,2,2.1,"airbus-france"
-162.8292,60.40698,46,1,2,2.1,"airbus-france"
-162.8509,60.39861,47,1,2,2.1,"airbus-france"
-162.8727,60.39024,48,1,2,2.1,"airbus-france"
-162.8944,60.38186,49,1,2,2.1,"airbus-france"
-162.9162,60.37348,50,1,2,2.1,"airbus-france"
-162.9379,60.3651,51,1,2,2.1,"airbus-france"
-162.9596,60.35672,52,1,2,2.1,"airbus-france"
-162.9813,60.34833,53,1,2,2.1,"airbus-france"
-163.003,60.33993,54,1,2,2.1,"airbus-france"
-163.0247,60.33154,55,1,2,2.1,"airbus-france"
-163.0463,60.32314,56,1,2,2.1,"airbus-france"
-163.068,60.31474,57,1,2,2.1,"airbus-france"
-163.0896,60.30633,58,1,2,2.1,"airbus-france"
-163.1113,60.29792,59,1,2,2.1,"airbus-france"
-163.1329,60.28951,60,1,2,2.1,"airbus-france"
-163.1545,60.28109,61,1,2,2.1,"airbus-france"
-163.1761,60.27267,62,1,2,2.1,"airbus-france"
-163.1977,60.26424,63,1,2,2.1,"airbus-france"
-163.2193,60.25582,64,1,2,2.1,"airbus-france"
-163.2408,60.24738,65,1,2,2.1,"airbus-france"
-163.2624,60.23895,66,1,2,2.1,"airbus-france"
-163.2839,60.23051,67,1,2,2.1,"airbus-france"
-163.3055,60.22207,68,1,2,2.1,"airbus-france"
-163.327,60.21362,69,1,2,2.1,"airbus-france"
-163.3485,60.20518,70,1,2,2.1,"airbus-france"
-163.37,60.19672,71,1,2,2.1,"airbus-france"
-163.3915,60.18827,72,1,2,2.1,"airbus-france"
-163.413,60.17981,73,1,2,2.1,"airbus-france"
-163.4344,60.17135,74,1,2,2.1,"airbus-france"
-163.4559,60.16288,75,1,2,2.1,"airbus-france"
-163.4773,60.15441,76,1,2,2.1,"airbus-france"
-163.4988,60.14594,77,1,2,2.1,"airbus-france"
-163.5202,60.13746,78,1,2,2.1,"airbus-france"
-163.5416,60.12898,79,1,2,2.1,"airbus-france"
-163.563,60.1205,80,1,2,2.1,"airbus-france"
-163.5844,60.11201,81,1,2,2.1,"airbus-france"
-163.6058,60.10352,82,1,2,2.1,"airbus-france"
-163.6271,60.09503,83,1,2,2.1,"airbus-france"
-163.6485,60.08653,84,1,2,2.1,"airbus-france"
-163.6698,60.07803,85,1,2,2.1,"airbus-france"
-163.6912,60.06953,86,1,2,2.1,"airbus-france"
-163.7125,60.06102,87,1,2,2.1,"airbus-france"
-163.7338,60.05251,88,1,2,2.1,"airbus-france"
-163.7551,60.04399,89,1,2,2.1,"airbus-france"
-163.7764,60.03548,90,1,2,2.1,"airbus-france"
-163.7977,60.02696,91,1,2,2.1,"airbus-france"
-163.8189,60.01843,92,1,2,2.1,"airbus-france"
-163.8402,60.0099,93,1,2,2.1,"airbus-france"
-163.8614,60.00137,94,1,2,2.1,"airbus-france"
-163.8827,59.99284,95,1,2,2.1,"airbus-france"
-163.9039,59.9843,96,1,2,2.1,"airbus-france"
-163.9251,59.97576,97,1,2,2.1,"airbus-france"
-163.9463,59.96721,98,1,2,2.1,"airbus-france"
-163.9675,59.95866,99,1,2,2.1,"airbus-france"
-163.9887,59.95011,100,1,2,2.1,"airbus-france"
-164.0098,59.94156,101,1,2,2.1,"airbus-france"
-164.031,59.933,102,1,2,2.1,"airbus-france"
-161.838,60.7798,1,1,3,3.1,"airbus-france"
-161.8381,60.76965,2,1,3,3.1,"airbus-france"
-161.8381,60.75951,3,1,3,3.1,"airbus-france"
-161.8382,60.74936,4,1,3,3.1,"airbus-france"
-161.8383,60.73922,5,1,3,3.1,"airbus-france"
-161.8384,60.72907,6,1,3,3.1,"airbus-france"
-161.8384,60.71893,7,1,3,3.1,"airbus-france"
-161.8385,60.70878,8,1,3,3.1,"airbus-france"
-161.8386,60.69864,9,1,3,3.1,"airbus-france"
-161.8386,60.68849,10,1,3,3.1,"airbus-france"
-161.8387,60.67834,11,1,3,3.1,"airbus-france"
-161.8388,60.6682,12,1,3,3.1,"airbus-france"
-161.8389,60.65805,13,1,3,3.1,"airbus-france"
-161.8389,60.64791,14,1,3,3.1,"airbus-france"
-161.839,60.63776,15,1,3,3.1,"airbus-france"
-161.8391,60.62762,16,1,3,3.1,"airbus-france"
-161.8391,60.61747,17,1,3,3.1,"airbus-france"
-161.8392,60.60733,18,1,3,3.1,"airbus-france"
-161.8393,60.59718,19,1,3,3.1,"airbus-france"
-161.8393,60.58704,20,1,3,3.1,"airbus-france"
-161.8394,60.57689,21,1,3,3.1,"airbus-france"
