"long","lat","order","piece","id","group","name"
-70.0152,12.5014,1,1,1,1.1,"aserca-airlines"
-69.98505,12.48274,2,1,1,1.1,"aserca-airlines"
-69.95491,12.46409,3,1,1,1.1,"aserca-airlines"
-69.92477,12.44542,4,1,1,1.1,"aserca-airlines"
-69.89464,12.42676,5,1,1,1.1,"aserca-airlines"
-69.86451,12.40809,6,1,1,1.1,"aserca-airlines"
-69.83438,12.38942,7,1,1,1.1,"aserca-airlines"
-69.80426,12.37074,8,1,1,1.1,"aserca-airlines"
-69.77414,12.35206,9,1,1,1.1,"aserca-airlines"
-69.74403,12.33338,10,1,1,1.1,"aserca-airlines"
-69.71392,12.31469,11,1,1,1.1,"aserca-airlines"
-69.68382,12.296,12,1,1,1.1,"aserca-airlines"
-69.65372,12.27731,13,1,1,1.1,"aserca-airlines"
-69.62363,12.25862,14,1,1,1.1,"aserca-airlines"
-69.59354,12.23992,15,1,1,1.1,"aserca-airlines"
-69.56345,12.22121,16,1,1,1.1,"aserca-airlines"
-69.53337,12.20251,17,1,1,1.1,"aserca-airlines"
-69.50329,12.1838,18,1,1,1.1,"aserca-airlines"
-69.47322,12.16509,19,1,1,1.1,"aserca-airlines"
-69.44315,12.14637,20,1,1,1.1,"aserca-airlines"
-69.41308,12.12765,21,1,1,1.1,"aserca-airlines"
-69.38302,12.10893,22,1,1,1.1,"aserca-airlines"
-69.35296,12.09021,23,1,1,1.1,"aserca-airlines"
-69.32291,12.07148,24,1,1,1.1,"aserca-airlines"
-69.29286,12.05275,25,1,1,1.1,"aserca-airlines"
-69.26282,12.03401,26,1,1,1.1,"aserca-airlines"
-69.23278,12.01528,27,1,1,1.1,"aserca-airlines"
-69.20274,11.99653,28,1,1,1.1,"aserca-airlines"
-69.17271,11.97779,29,1,1,1.1,"aserca-airlines"
-69.14268,11.95904,30,1,1,1.1,"aserca-airlines"
-69.11266,11.94029,31,1,1,1.1,"aserca-airlines"
-69.08264,11.92154,32,1,1,1.1,"aserca-airlines"
-69.05262,11.90278,33,1,1,1.1,"aserca-airlines"
-69.02261,11.88402,34,1,1,1.1,"aserca-airlines"
-68.99261,11.86526,35,1,1,1.1,"aserca-airlines"
-68.9626,11.84649,36,1,1,1.1,"aserca-airlines"
-68.9326,11.82772,37,1,1,1.1,"aserca-airlines"
-68.90261,11.80895,38,1,1,1.1,"aserca-airlines"
-68.87262,11.79017,39,1,1,1.1,"aserca-airlines"
-68.84263,11.77139,40,1,1,1.1,"aserca-airlines"
-68.81265,11.75261,41,1,1,1.1,"aserca-airlines"
-68.78267,11.73383,42,1,1,1.1,"aserca-airlines"
-68.7527,11.71504,43,1,1,1.1,"aserca-airlines"
-68.72273,11.69625,44,1,1,1.1,"aserca-airlines"
-68.69276,11.67745,45,1,1,1.1,"aserca-airlines"
-68.6628,11.65865,46,1,1,1.1,"aserca-airlines"
-68.63284,11.63985,47,1,1,1.1,"aserca-airlines"
-68.60289,11.62105,48,1,1,1.1,"aserca-airlines"
-68.57294,11.60224,49,1,1,1.1,"aserca-airlines"
-68.54299,11.58343,50,1,1,1.1,"aserca-airlines"
-68.51305,11.56462,51,1,1,1.1,"aserca-airlines"
-68.48312,11.5458,52,1,1,1.1,"aserca-airlines"
-68.45318,11.52698,53,1,1,1.1,"aserca-airlines"
-68.42325,11.50816,54,1,1,1.1,"aserca-airlines"
-68.39333,11.48934,55,1,1,1.1,"aserca-airlines"
-68.36341,11.47051,56,1,1,1.1,"aserca-airlines"
-68.33349,11.45168,57,1,1,1.1,"aserca-airlines"
-68.30357,11.43284,58,1,1,1.1,"aserca-airlines"
-68.27366,11.414,59,1,1,1.1,"aserca-airlines"
-68.24376,11.39516,60,1,1,1.1,"aserca-airlines"
-68.21386,11.37632,61,1,1,1.1,"aserca-airlines"
-68.18396,11.35747,62,1,1,1.1,"aserca-airlines"
-68.15407,11.33862,63,1,1,1.1,"aserca-airlines"
-68.12418,11.31977,64,1,1,1.1,"aserca-airlines"
-68.09429,11.30091,65,1,1,1.1,"aserca-airlines"
-68.06441,11.28206,66,1,1,1.1,"aserca-airlines"
-68.03453,11.26319,67,1,1,1.1,"aserca-airlines"
-68.00466,11.24433,68,1,1,1.1,"aserca-airlines"
-67.97479,11.22546,69,1,1,1.1,"aserca-airlines"
-67.94492,11.20659,70,1,1,1.1,"aserca-airlines"
-67.91506,11.18772,71,1,1,1.1,"aserca-airlines"
-67.8852,11.16884,72,1,1,1.1,"aserca-airlines"
-67.85534,11.14996,73,1,1,1.1,"aserca-airlines"
-67.82549,11.13108,74,1,1,1.1,"aserca-airlines"
-67.79565,11.11219,75,1,1,1.1,"aserca-airlines"
-67.7658,11.09331,76,1,1,1.1,"aserca-airlines"
-67.73597,11.07441,77,1,1,1.1,"aserca-airlines"
-67.70613,11.05552,78,1,1,1.1,"aserca-airlines"
-67.6763,11.03662,79,1,1,1.1,"aserca-airlines"
-67.64647,11.01772,80,1,1,1.1,"aserca-airlines"
-67.61665,10.99882,81,1,1,1.1,"aserca-airlines"
-67.58683,10.97991,82,1,1,1.1,"aserca-airlines"
-67.55701,10.961,83,1,1,1.1,"aserca-airlines"
-67.5272,10.94209,84,1,1,1.1,"aserca-airlines"
-67.49739,10.92318,85,1,1,1.1,"aserca-airlines"
-67.46759,10.90426,86,1,1,1.1,"aserca-airlines"
-67.43778,10.88534,87,1,1,1.1,"aserca-airlines"
-67.40799,10.86642,88,1,1,1.1,"aserca-airlines"
-67.37819,10.84749,89,1,1,1.1,"aserca-airlines"
-67.3484,10.82856,90,1,1,1.1,"aserca-airlines"
-67.31862,10.80963,91,1,1,1.1,"aserca-airlines"
-67.28884,10.7907,92,1,1,1.1,"aserca-airlines"
-67.25906,10.77176,93,1,1,1.1,"aserca-airlines"
-67.22928,10.75282,94,1,1,1.1,"aserca-airlines"
-67.19951,10.73388,95,1,1,1.1,"aserca-airlines"
-67.16975,10.71493,96,1,1,1.1,"aserca-airlines"
-67.13998,10.69598,97,1,1,1.1,"aserca-airlines"
-67.11022,10.67703,98,1,1,1.1,"aserca-airlines"
-67.08047,10.65807,99,1,1,1.1,"aserca-airlines"
-67.05072,10.63912,100,1,1,1.1,"aserca-airlines"
-67.02097,10.62016,101,1,1,1.1,"aserca-airlines"
-66.99122,10.60119,102,1,1,1.1,"aserca-airlines"
-64.69222,10.11111,1,1,2,2.1,"aserca-airlines"
-64.71495,10.11604,2,1,2,2.1,"aserca-airlines"
-64.73768,10.12097,3,1,2,2.1,"aserca-airlines"
-64.76041,10.1259,4,1,2,2.1,"aserca-airlines"
-64.78314,10.13083,5,1,2,2.1,"aserca-airlines"
-64.80587,10.13575,6,1,2,2.1,"aserca-airlines"
-64.8286,10.14068,7,1,2,2.1,"aserca-airlines"
-64.85133,10.1456,8,1,2,2.1,"aserca-airlines"
-64.87406,10.15052,9,1,2,2.1,"aserca-airlines"
-64.89679,10.15544,10,1,2,2.1,"aserca-airlines"
-64.91953,10.16036,11,1,2,2.1,"aserca-airlines"
-64.94226,10.16527,12,1,2,2.1,"aserca-airlines"
-64.965,10.17019,13,1,2,2.1,"aserca-airlines"
-64.98773,10.1751,14,1,2,2.1,"aserca-airlines"
-65.01047,10.18001,15,1,2,2.1,"aserca-airlines"
-65.0332,10.18492,16,1,2,2.1,"aserca-airlines"
-65.05594,10.18983,17,1,2,2.1,"aserca-airlines"
-65.07868,10.19474,18,1,2,2.1,"aserca-airlines"
-65.10142,10.19964,19,1,2,2.1,"aserca-airlines"
-65.12416,10.20454,20,1,2,2.1,"aserca-airlines"
-65.1469,10.20945,21,1,2,2.1,"aserca-airlines"
-65.16964,10.21435,22,1,2,2.1,"aserca-airlines"
-65.19238,10.21924,23,1,2,2.1,"aserca-airlines"
-65.21513,10.22414,24,1,2,2.1,"aserca-airlines"
-65.23787,10.22904,25,1,2,2.1,"aserca-airlines"
-65.26061,10.23393,26,1,2,2.1,"aserca-airlines"
-65.28336,10.23882,27,1,2,2.1,"aserca-airlines"
-65.3061,10.24371,28,1,2,2.1,"aserca-airlines"
-65.32885,10.2486,29,1,2,2.1,"aserca-airlines"
-65.3516,10.25349,30,1,2,2.1,"aserca-airlines"
-65.37434,10.25838,31,1,2,2.1,"aserca-airlines"
-65.39709,10.26326,32,1,2,2.1,"aserca-airlines"
-65.41984,10.26815,33,1,2,2.1,"aserca-airlines"
-65.44259,10.27303,34,1,2,2.1,"aserca-airlines"
-65.46534,10.27791,35,1,2,2.1,"aserca-airlines"
-65.48809,10.28278,36,1,2,2.1,"aserca-airlines"
-65.51084,10.28766,37,1,2,2.1,"aserca-airlines"
-65.5336,10.29254,38,1,2,2.1,"aserca-airlines"
-65.55635,10.29741,39,1,2,2.1,"aserca-airlines"
-65.5791,10.30228,40,1,2,2.1,"aserca-airlines"
-65.60186,10.30715,41,1,2,2.1,"aserca-airlines"
-65.62461,10.31202,42,1,2,2.1,"aserca-airlines"
-65.64737,10.31689,43,1,2,2.1,"aserca-airlines"
-65.67013,10.32175,44,1,2,2.1,"aserca-airlines"
-65.69288,10.32662,45,1,2,2.1,"aserca-airlines"
-65.71564,10.33148,46,1,2,2.1,"aserca-airlines"
