"long","lat","order","piece","id","group","name"
-82.2508,9.34085,1,1,1,1.1,"cal-cargo-air-lines"
-82.27015,9.347369,2,1,1,1.1,"cal-cargo-air-lines"
-82.2895,9.353887,3,1,1,1.1,"cal-cargo-air-lines"
-82.30885,9.360404,4,1,1,1.1,"cal-cargo-air-lines"
-82.3282,9.36692,5,1,1,1.1,"cal-cargo-air-lines"
-82.34755,9.373435,6,1,1,1.1,"cal-cargo-air-lines"
-82.36691,9.379949,7,1,1,1.1,"cal-cargo-air-lines"
-82.38626,9.386462,8,1,1,1.1,"cal-cargo-air-lines"
-82.40562,9.392973,9,1,1,1.1,"cal-cargo-air-lines"
-82.42497,9.399484,10,1,1,1.1,"cal-cargo-air-lines"
-82.44433,9.405994,11,1,1,1.1,"cal-cargo-air-lines"
-82.46368,9.412502,12,1,1,1.1,"cal-cargo-air-lines"
-82.48304,9.41901,13,1,1,1.1,"cal-cargo-air-lines"
-82.5024,9.425516,14,1,1,1.1,"cal-cargo-air-lines"
-82.52176,9.432022,15,1,1,1.1,"cal-cargo-air-lines"
-82.54112,9.438526,16,1,1,1.1,"cal-cargo-air-lines"
-82.56048,9.445029,17,1,1,1.1,"cal-cargo-air-lines"
-82.57984,9.451532,18,1,1,1.1,"cal-cargo-air-lines"
-82.5992,9.458033,19,1,1,1.1,"cal-cargo-air-lines"
-82.61856,9.464533,20,1,1,1.1,"cal-cargo-air-lines"
-82.63792,9.471032,21,1,1,1.1,"cal-cargo-air-lines"
-82.65729,9.47753,22,1,1,1.1,"cal-cargo-air-lines"
-82.67665,9.484027,23,1,1,1.1,"cal-cargo-air-lines"
-82.69602,9.490523,24,1,1,1.1,"cal-cargo-air-lines"
-82.71538,9.497018,25,1,1,1.1,"cal-cargo-air-lines"
-82.73475,9.503511,26,1,1,1.1,"cal-cargo-air-lines"
-82.75412,9.510004,27,1,1,1.1,"cal-cargo-air-lines"
-82.77349,9.516496,28,1,1,1.1,"cal-cargo-air-lines"
-82.79285,9.522986,29,1,1,1.1,"cal-cargo-air-lines"
-82.81222,9.529476,30,1,1,1.1,"cal-cargo-air-lines"
-82.83159,9.535964,31,1,1,1.1,"cal-cargo-air-lines"
-82.85097,9.542452,32,1,1,1.1,"cal-cargo-air-lines"
-82.87034,9.548938,33,1,1,1.1,"cal-cargo-air-lines"
-82.88971,9.555423,34,1,1,1.1,"cal-cargo-air-lines"
-82.90908,9.561907,35,1,1,1.1,"cal-cargo-air-lines"
-82.92846,9.56839,36,1,1,1.1,"cal-cargo-air-lines"
-82.94783,9.574872,37,1,1,1.1,"cal-cargo-air-lines"
-82.96721,9.581353,38,1,1,1.1,"cal-cargo-air-lines"
-82.98658,9.587833,39,1,1,1.1,"cal-cargo-air-lines"
-83.00596,9.594312,40,1,1,1.1,"cal-cargo-air-lines"
-83.02534,9.600789,41,1,1,1.1,"cal-cargo-air-lines"
-83.04472,9.607266,42,1,1,1.1,"cal-cargo-air-lines"
-83.0641,9.613742,43,1,1,1.1,"cal-cargo-air-lines"
-83.08348,9.620216,44,1,1,1.1,"cal-cargo-air-lines"
-83.10286,9.626689,45,1,1,1.1,"cal-cargo-air-lines"
-83.12224,9.633162,46,1,1,1.1,"cal-cargo-air-lines"
-83.14162,9.639633,47,1,1,1.1,"cal-cargo-air-lines"
-83.161,9.646103,48,1,1,1.1,"cal-cargo-air-lines"
-83.18039,9.652572,49,1,1,1.1,"cal-cargo-air-lines"
-83.19977,9.65904,50,1,1,1.1,"cal-cargo-air-lines"
-83.21916,9.665507,51,1,1,1.1,"cal-cargo-air-lines"
-83.23854,9.671973,52,1,1,1.1,"cal-cargo-air-lines"
-83.25793,9.678437,53,1,1,1.1,"cal-cargo-air-lines"
-83.27732,9.684901,54,1,1,1.1,"cal-cargo-air-lines"
-83.29671,9.691363,55,1,1,1.1,"cal-cargo-air-lines"
-83.3161,9.697825,56,1,1,1.1,"cal-cargo-air-lines"
-83.33548,9.704285,57,1,1,1.1,"cal-cargo-air-lines"
-83.35488,9.710744,58,1,1,1.1,"cal-cargo-air-lines"
-83.37427,9.717203,59,1,1,1.1,"cal-cargo-air-lines"
-83.39366,9.72366,60,1,1,1.1,"cal-cargo-air-lines"
-83.41305,9.730116,61,1,1,1.1,"cal-cargo-air-lines"
-83.43244,9.736571,62,1,1,1.1,"cal-cargo-air-lines"
-83.45184,9.743024,63,1,1,1.1,"cal-cargo-air-lines"
-83.47123,9.749477,64,1,1,1.1,"cal-cargo-air-lines"
-83.49063,9.755929,65,1,1,1.1,"cal-cargo-air-lines"
-83.51003,9.762379,66,1,1,1.1,"cal-cargo-air-lines"
-83.52942,9.768828,67,1,1,1.1,"cal-cargo-air-lines"
-83.54882,9.775277,68,1,1,1.1,"cal-cargo-air-lines"
-83.56822,9.781724,69,1,1,1.1,"cal-cargo-air-lines"
-83.58762,9.78817,70,1,1,1.1,"cal-cargo-air-lines"
-83.60702,9.794615,71,1,1,1.1,"cal-cargo-air-lines"
-83.62642,9.801059,72,1,1,1.1,"cal-cargo-air-lines"
-83.64582,9.807502,73,1,1,1.1,"cal-cargo-air-lines"
-83.66522,9.813944,74,1,1,1.1,"cal-cargo-air-lines"
-83.68463,9.820384,75,1,1,1.1,"cal-cargo-air-lines"
-83.70403,9.826824,76,1,1,1.1,"cal-cargo-air-lines"
-83.72344,9.833262,77,1,1,1.1,"cal-cargo-air-lines"
-83.74284,9.839699,78,1,1,1.1,"cal-cargo-air-lines"
-83.76225,9.846135,79,1,1,1.1,"cal-cargo-air-lines"
-83.78166,9.852571,80,1,1,1.1,"cal-cargo-air-lines"
-83.80106,9.859004,81,1,1,1.1,"cal-cargo-air-lines"
-83.82047,9.865437,82,1,1,1.1,"cal-cargo-air-lines"
-83.83988,9.871869,83,1,1,1.1,"cal-cargo-air-lines"
-83.85929,9.8783,84,1,1,1.1,"cal-cargo-air-lines"
-83.8787,9.884729,85,1,1,1.1,"cal-cargo-air-lines"
-83.89811,9.891158,86,1,1,1.1,"cal-cargo-air-lines"
-83.91753,9.897585,87,1,1,1.1,"cal-cargo-air-lines"
-83.93694,9.904011,88,1,1,1.1,"cal-cargo-air-lines"
-83.95635,9.910436,89,1,1,1.1,"cal-cargo-air-lines"
-83.97577,9.91686,90,1,1,1.1,"cal-cargo-air-lines"
-83.99518,9.923283,91,1,1,1.1,"cal-cargo-air-lines"
