"long","lat","order","piece","id","group","name"
100.747,13.6811,1,1,1,1.1,"cambodia-angkor-air-k6"
100.7879,13.66028,2,1,1,1.1,"cambodia-angkor-air-k6"
100.8288,13.63946,3,1,1,1.1,"cambodia-angkor-air-k6"
100.8697,13.61863,4,1,1,1.1,"cambodia-angkor-air-k6"
100.9106,13.59779,5,1,1,1.1,"cambodia-angkor-air-k6"
100.9515,13.57694,6,1,1,1.1,"cambodia-angkor-air-k6"
100.9923,13.55609,7,1,1,1.1,"cambodia-angkor-air-k6"
101.0332,13.53523,8,1,1,1.1,"cambodia-angkor-air-k6"
101.0741,13.51437,9,1,1,1.1,"cambodia-angkor-air-k6"
101.1149,13.4935,10,1,1,1.1,"cambodia-angkor-air-k6"
101.1558,13.47262,11,1,1,1.1,"cambodia-angkor-air-k6"
101.1966,13.45174,12,1,1,1.1,"cambodia-angkor-air-k6"
101.2374,13.43085,13,1,1,1.1,"cambodia-angkor-air-k6"
101.2782,13.40995,14,1,1,1.1,"cambodia-angkor-air-k6"
101.3191,13.38904,15,1,1,1.1,"cambodia-angkor-air-k6"
101.3599,13.36813,16,1,1,1.1,"cambodia-angkor-air-k6"
101.4007,13.34722,17,1,1,1.1,"cambodia-angkor-air-k6"
101.4415,13.32629,18,1,1,1.1,"cambodia-angkor-air-k6"
101.4823,13.30536,19,1,1,1.1,"cambodia-angkor-air-k6"
101.523,13.28443,20,1,1,1.1,"cambodia-angkor-air-k6"
101.5638,13.26348,21,1,1,1.1,"cambodia-angkor-air-k6"
101.6046,13.24253,22,1,1,1.1,"cambodia-angkor-air-k6"
101.6453,13.22158,23,1,1,1.1,"cambodia-angkor-air-k6"
101.6861,13.20061,24,1,1,1.1,"cambodia-angkor-air-k6"
101.7268,13.17964,25,1,1,1.1,"cambodia-angkor-air-k6"
101.7676,13.15867,26,1,1,1.1,"cambodia-angkor-air-k6"
101.8083,13.13769,27,1,1,1.1,"cambodia-angkor-air-k6"
101.849,13.1167,28,1,1,1.1,"cambodia-angkor-air-k6"
101.8897,13.0957,29,1,1,1.1,"cambodia-angkor-air-k6"
101.9304,13.0747,30,1,1,1.1,"cambodia-angkor-air-k6"
101.9711,13.0537,31,1,1,1.1,"cambodia-angkor-air-k6"
102.0118,13.03268,32,1,1,1.1,"cambodia-angkor-air-k6"
102.0525,13.01166,33,1,1,1.1,"cambodia-angkor-air-k6"
102.0932,12.99064,34,1,1,1.1,"cambodia-angkor-air-k6"
102.1339,12.9696,35,1,1,1.1,"cambodia-angkor-air-k6"
102.1746,12.94856,36,1,1,1.1,"cambodia-angkor-air-k6"
102.2152,12.92752,37,1,1,1.1,"cambodia-angkor-air-k6"
102.2559,12.90647,38,1,1,1.1,"cambodia-angkor-air-k6"
102.2965,12.88541,39,1,1,1.1,"cambodia-angkor-air-k6"
102.3372,12.86434,40,1,1,1.1,"cambodia-angkor-air-k6"
102.3778,12.84327,41,1,1,1.1,"cambodia-angkor-air-k6"
102.4184,12.8222,42,1,1,1.1,"cambodia-angkor-air-k6"
102.459,12.80111,43,1,1,1.1,"cambodia-angkor-air-k6"
102.4997,12.78002,44,1,1,1.1,"cambodia-angkor-air-k6"
