"long","lat","order","piece","id","group","name"
18.6017,-33.9648,1,1,1,1.1,"comair"
18.7314,-33.92801,2,1,1,1.1,"comair"
18.86098,-33.89108,3,1,1,1.1,"comair"
18.99045,-33.85401,4,1,1,1.1,"comair"
19.11981,-33.81681,5,1,1,1.1,"comair"
19.24906,-33.77947,6,1,1,1.1,"comair"
19.37819,-33.742,7,1,1,1.1,"comair"
19.50721,-33.7044,8,1,1,1.1,"comair"
19.63612,-33.66666,9,1,1,1.1,"comair"
19.76492,-33.62878,10,1,1,1.1,"comair"
19.8936,-33.59078,11,1,1,1.1,"comair"
20.02217,-33.55264,12,1,1,1.1,"comair"
20.15062,-33.51436,13,1,1,1.1,"comair"
20.27896,-33.47596,14,1,1,1.1,"comair"
20.40719,-33.43742,15,1,1,1.1,"comair"
20.5353,-33.39875,16,1,1,1.1,"comair"
20.6633,-33.35995,17,1,1,1.1,"comair"
20.79118,-33.32102,18,1,1,1.1,"comair"
20.91895,-33.28196,19,1,1,1.1,"comair"
21.04661,-33.24277,20,1,1,1.1,"comair"
21.17415,-33.20344,21,1,1,1.1,"comair"
21.30157,-33.16399,22,1,1,1.1,"comair"
21.42888,-33.12441,23,1,1,1.1,"comair"
21.55608,-33.08469,24,1,1,1.1,"comair"
21.68316,-33.04485,25,1,1,1.1,"comair"
21.81013,-33.00488,26,1,1,1.1,"comair"
21.93698,-32.96478,27,1,1,1.1,"comair"
22.06371,-32.92456,28,1,1,1.1,"comair"
22.19033,-32.8842,29,1,1,1.1,"comair"
22.31684,-32.84372,30,1,1,1.1,"comair"
22.44323,-32.80311,31,1,1,1.1,"comair"
22.5695,-32.76238,32,1,1,1.1,"comair"
22.69566,-32.72151,33,1,1,1.1,"comair"
22.8217,-32.68053,34,1,1,1.1,"comair"
22.94763,-32.63941,35,1,1,1.1,"comair"
23.07344,-32.59817,36,1,1,1.1,"comair"
23.19913,-32.55681,37,1,1,1.1,"comair"
23.32471,-32.51532,38,1,1,1.1,"comair"
23.45017,-32.4737,39,1,1,1.1,"comair"
23.57552,-32.43196,40,1,1,1.1,"comair"
23.70075,-32.3901,41,1,1,1.1,"comair"
23.82586,-32.34811,42,1,1,1.1,"comair"
23.95086,-32.306,43,1,1,1.1,"comair"
24.07574,-32.26377,44,1,1,1.1,"comair"
24.20051,-32.22141,45,1,1,1.1,"comair"
24.32515,-32.17893,46,1,1,1.1,"comair"
24.44969,-32.13633,47,1,1,1.1,"comair"
24.5741,-32.09361,48,1,1,1.1,"comair"
24.6984,-32.05077,49,1,1,1.1,"comair"
24.82258,-32.0078,50,1,1,1.1,"comair"
