"long","lat","order","piece","id","group","name"
15.253,-4.2517,1,1,1,1.1,"estafeta-carga-aerea"
15.21969,-4.257362,2,1,1,1.1,"estafeta-carga-aerea"
15.18639,-4.263023,3,1,1,1.1,"estafeta-carga-aerea"
15.15308,-4.268682,4,1,1,1.1,"estafeta-carga-aerea"
15.11978,-4.27434,5,1,1,1.1,"estafeta-carga-aerea"
15.08647,-4.279997,6,1,1,1.1,"estafeta-carga-aerea"
15.05316,-4.285652,7,1,1,1.1,"estafeta-carga-aerea"
15.01985,-4.291306,8,1,1,1.1,"estafeta-carga-aerea"
14.98654,-4.296958,9,1,1,1.1,"estafeta-carga-aerea"
14.95323,-4.302609,10,1,1,1.1,"estafeta-carga-aerea"
14.91992,-4.308258,11,1,1,1.1,"estafeta-carga-aerea"
14.88661,-4.313906,12,1,1,1.1,"estafeta-carga-aerea"
14.8533,-4.319552,13,1,1,1.1,"estafeta-carga-aerea"
14.81999,-4.325197,14,1,1,1.1,"estafeta-carga-aerea"
14.78668,-4.330841,15,1,1,1.1,"estafeta-carga-aerea"
14.75337,-4.336483,16,1,1,1.1,"estafeta-carga-aerea"
14.72006,-4.342123,17,1,1,1.1,"estafeta-carga-aerea"
14.68674,-4.347762,18,1,1,1.1,"estafeta-carga-aerea"
14.65343,-4.3534,19,1,1,1.1,"estafeta-carga-aerea"
14.62011,-4.359036,20,1,1,1.1,"estafeta-carga-aerea"
14.5868,-4.364671,21,1,1,1.1,"estafeta-carga-aerea"
14.55348,-4.370304,22,1,1,1.1,"estafeta-carga-aerea"
14.52017,-4.375936,23,1,1,1.1,"estafeta-carga-aerea"
14.48685,-4.381566,24,1,1,1.1,"estafeta-carga-aerea"
14.45354,-4.387195,25,1,1,1.1,"estafeta-carga-aerea"
14.42022,-4.392822,26,1,1,1.1,"estafeta-carga-aerea"
14.3869,-4.398448,27,1,1,1.1,"estafeta-carga-aerea"
14.35358,-4.404072,28,1,1,1.1,"estafeta-carga-aerea"
14.32026,-4.409695,29,1,1,1.1,"estafeta-carga-aerea"
14.28694,-4.415317,30,1,1,1.1,"estafeta-carga-aerea"
14.25362,-4.420937,31,1,1,1.1,"estafeta-carga-aerea"
14.2203,-4.426555,32,1,1,1.1,"estafeta-carga-aerea"
14.18698,-4.432172,33,1,1,1.1,"estafeta-carga-aerea"
14.15366,-4.437787,34,1,1,1.1,"estafeta-carga-aerea"
14.12034,-4.443401,35,1,1,1.1,"estafeta-carga-aerea"
14.08702,-4.449014,36,1,1,1.1,"estafeta-carga-aerea"
14.0537,-4.454625,37,1,1,1.1,"estafeta-carga-aerea"
14.02037,-4.460234,38,1,1,1.1,"estafeta-carga-aerea"
13.98705,-4.465842,39,1,1,1.1,"estafeta-carga-aerea"
13.95372,-4.471449,40,1,1,1.1,"estafeta-carga-aerea"
13.9204,-4.477054,41,1,1,1.1,"estafeta-carga-aerea"
13.88707,-4.482657,42,1,1,1.1,"estafeta-carga-aerea"
13.85375,-4.488259,43,1,1,1.1,"estafeta-carga-aerea"
13.82042,-4.493859,44,1,1,1.1,"estafeta-carga-aerea"
13.78709,-4.499458,45,1,1,1.1,"estafeta-carga-aerea"
13.75377,-4.505056,46,1,1,1.1,"estafeta-carga-aerea"
13.72044,-4.510651,47,1,1,1.1,"estafeta-carga-aerea"
13.68711,-4.516246,48,1,1,1.1,"estafeta-carga-aerea"
13.65378,-4.521839,49,1,1,1.1,"estafeta-carga-aerea"
13.62045,-4.52743,50,1,1,1.1,"estafeta-carga-aerea"
13.58712,-4.53302,51,1,1,1.1,"estafeta-carga-aerea"
13.55379,-4.538608,52,1,1,1.1,"estafeta-carga-aerea"
13.52046,-4.544195,53,1,1,1.1,"estafeta-carga-aerea"
13.48713,-4.54978,54,1,1,1.1,"estafeta-carga-aerea"
13.4538,-4.555363,55,1,1,1.1,"estafeta-carga-aerea"
13.42046,-4.560946,56,1,1,1.1,"estafeta-carga-aerea"
13.38713,-4.566526,57,1,1,1.1,"estafeta-carga-aerea"
13.3538,-4.572105,58,1,1,1.1,"estafeta-carga-aerea"
13.32046,-4.577683,59,1,1,1.1,"estafeta-carga-aerea"
13.28713,-4.583259,60,1,1,1.1,"estafeta-carga-aerea"
13.25379,-4.588833,61,1,1,1.1,"estafeta-carga-aerea"
13.22046,-4.594406,62,1,1,1.1,"estafeta-carga-aerea"
13.18712,-4.599977,63,1,1,1.1,"estafeta-carga-aerea"
13.15379,-4.605547,64,1,1,1.1,"estafeta-carga-aerea"
13.12045,-4.611115,65,1,1,1.1,"estafeta-carga-aerea"
13.08711,-4.616682,66,1,1,1.1,"estafeta-carga-aerea"
13.05377,-4.622247,67,1,1,1.1,"estafeta-carga-aerea"
13.02043,-4.62781,68,1,1,1.1,"estafeta-carga-aerea"
12.98709,-4.633372,69,1,1,1.1,"estafeta-carga-aerea"
12.95375,-4.638933,70,1,1,1.1,"estafeta-carga-aerea"
12.92041,-4.644492,71,1,1,1.1,"estafeta-carga-aerea"
12.88707,-4.650049,72,1,1,1.1,"estafeta-carga-aerea"
12.85373,-4.655605,73,1,1,1.1,"estafeta-carga-aerea"
12.82039,-4.661159,74,1,1,1.1,"estafeta-carga-aerea"
12.78705,-4.666711,75,1,1,1.1,"estafeta-carga-aerea"
12.7537,-4.672262,76,1,1,1.1,"estafeta-carga-aerea"
12.72036,-4.677812,77,1,1,1.1,"estafeta-carga-aerea"
12.68702,-4.68336,78,1,1,1.1,"estafeta-carga-aerea"
12.65367,-4.688906,79,1,1,1.1,"estafeta-carga-aerea"
12.62033,-4.694451,80,1,1,1.1,"estafeta-carga-aerea"
12.58698,-4.699994,81,1,1,1.1,"estafeta-carga-aerea"
12.55364,-4.705535,82,1,1,1.1,"estafeta-carga-aerea"
12.52029,-4.711075,83,1,1,1.1,"estafeta-carga-aerea"
12.48694,-4.716614,84,1,1,1.1,"estafeta-carga-aerea"
12.45359,-4.72215,85,1,1,1.1,"estafeta-carga-aerea"
12.42025,-4.727685,86,1,1,1.1,"estafeta-carga-aerea"
12.3869,-4.733219,87,1,1,1.1,"estafeta-carga-aerea"
12.35355,-4.738751,88,1,1,1.1,"estafeta-carga-aerea"
12.3202,-4.744281,89,1,1,1.1,"estafeta-carga-aerea"
12.28685,-4.74981,90,1,1,1.1,"estafeta-carga-aerea"
12.2535,-4.755337,91,1,1,1.1,"estafeta-carga-aerea"
12.22014,-4.760863,92,1,1,1.1,"estafeta-carga-aerea"
12.18679,-4.766387,93,1,1,1.1,"estafeta-carga-aerea"
12.15344,-4.771909,94,1,1,1.1,"estafeta-carga-aerea"
12.12009,-4.77743,95,1,1,1.1,"estafeta-carga-aerea"
12.08673,-4.782949,96,1,1,1.1,"estafeta-carga-aerea"
12.05338,-4.788467,97,1,1,1.1,"estafeta-carga-aerea"
12.02002,-4.793983,98,1,1,1.1,"estafeta-carga-aerea"
11.98667,-4.799497,99,1,1,1.1,"estafeta-carga-aerea"
11.95331,-4.80501,100,1,1,1.1,"estafeta-carga-aerea"
11.91996,-4.810521,101,1,1,1.1,"estafeta-carga-aerea"
11.8866,-4.81603,102,1,1,1.1,"estafeta-carga-aerea"
11.8866,-4.81603,1,1,2,2.1,"estafeta-carga-aerea"
11.91996,-4.810521,2,1,2,2.1,"estafeta-carga-aerea"
11.95331,-4.80501,3,1,2,2.1,"estafeta-carga-aerea"
11.98667,-4.799497,4,1,2,2.1,"estafeta-carga-aerea"
12.02002,-4.793983,5,1,2,2.1,"estafeta-carga-aerea"
12.05338,-4.788467,6,1,2,2.1,"estafeta-carga-aerea"
12.08673,-4.782949,7,1,2,2.1,"estafeta-carga-aerea"
12.12009,-4.77743,8,1,2,2.1,"estafeta-carga-aerea"
12.15344,-4.771909,9,1,2,2.1,"estafeta-carga-aerea"
12.18679,-4.766387,10,1,2,2.1,"estafeta-carga-aerea"
12.22014,-4.760863,11,1,2,2.1,"estafeta-carga-aerea"
12.2535,-4.755337,12,1,2,2.1,"estafeta-carga-aerea"
12.28685,-4.74981,13,1,2,2.1,"estafeta-carga-aerea"
12.3202,-4.744281,14,1,2,2.1,"estafeta-carga-aerea"
