"long","lat","order","piece","id","group","name"
77.0405,43.3521,1,1,1,1.1,"flightlink-tanzania"
76.81028,43.41547,2,1,1,1.1,"flightlink-tanzania"
76.57958,43.47838,3,1,1,1.1,"flightlink-tanzania"
76.3484,43.54083,4,1,1,1.1,"flightlink-tanzania"
76.11675,43.60281,5,1,1,1.1,"flightlink-tanzania"
75.88462,43.66432,6,1,1,1.1,"flightlink-tanzania"
75.65201,43.72536,7,1,1,1.1,"flightlink-tanzania"
75.41893,43.78593,8,1,1,1.1,"flightlink-tanzania"
75.18539,43.84602,9,1,1,1.1,"flightlink-tanzania"
74.95137,43.90563,10,1,1,1.1,"flightlink-tanzania"
74.71688,43.96477,11,1,1,1.1,"flightlink-tanzania"
74.48193,44.02343,12,1,1,1.1,"flightlink-tanzania"
74.24652,44.0816,13,1,1,1.1,"flightlink-tanzania"
74.01064,44.13929,14,1,1,1.1,"flightlink-tanzania"
73.77431,44.1965,15,1,1,1.1,"flightlink-tanzania"
73.53751,44.25321,16,1,1,1.1,"flightlink-tanzania"
73.30027,44.30944,17,1,1,1.1,"flightlink-tanzania"
73.06256,44.36517,18,1,1,1.1,"flightlink-tanzania"
72.82441,44.42041,19,1,1,1.1,"flightlink-tanzania"
72.58581,44.47515,20,1,1,1.1,"flightlink-tanzania"
72.34677,44.5294,21,1,1,1.1,"flightlink-tanzania"
72.10728,44.58315,22,1,1,1.1,"flightlink-tanzania"
71.86735,44.63639,23,1,1,1.1,"flightlink-tanzania"
71.62698,44.68913,24,1,1,1.1,"flightlink-tanzania"
71.38617,44.74137,25,1,1,1.1,"flightlink-tanzania"
71.14493,44.7931,26,1,1,1.1,"flightlink-tanzania"
70.90326,44.84432,27,1,1,1.1,"flightlink-tanzania"
70.66117,44.89503,28,1,1,1.1,"flightlink-tanzania"
70.41864,44.94523,29,1,1,1.1,"flightlink-tanzania"
70.1757,44.99492,30,1,1,1.1,"flightlink-tanzania"
69.93233,45.04408,31,1,1,1.1,"flightlink-tanzania"
69.68855,45.09273,32,1,1,1.1,"flightlink-tanzania"
