"long","lat","order","piece","id","group","name"
-133.483,68.3042,1,1,1,1.1,"hello"
-133.4309,68.28451,2,1,1,1.1,"hello"
-133.379,68.26481,3,1,1,1.1,"hello"
-133.3271,68.24509,4,1,1,1.1,"hello"
-133.2753,68.22536,5,1,1,1.1,"hello"
-133.2236,68.20561,6,1,1,1.1,"hello"
-133.172,68.18584,7,1,1,1.1,"hello"
-133.1205,68.16606,8,1,1,1.1,"hello"
-133.0691,68.14626,9,1,1,1.1,"hello"
-133.0177,68.12644,10,1,1,1.1,"hello"
-132.9665,68.10661,11,1,1,1.1,"hello"
-132.9153,68.08676,12,1,1,1.1,"hello"
-132.8642,68.0669,13,1,1,1.1,"hello"
-132.8133,68.04702,14,1,1,1.1,"hello"
-132.7624,68.02713,15,1,1,1.1,"hello"
-132.7115,68.00722,16,1,1,1.1,"hello"
-132.6608,67.98729,17,1,1,1.1,"hello"
-132.6102,67.96735,18,1,1,1.1,"hello"
-132.5596,67.9474,19,1,1,1.1,"hello"
-132.5092,67.92743,20,1,1,1.1,"hello"
-132.4588,67.90744,21,1,1,1.1,"hello"
-132.4085,67.88744,22,1,1,1.1,"hello"
-132.3583,67.86742,23,1,1,1.1,"hello"
-132.3082,67.84738,24,1,1,1.1,"hello"
-132.2581,67.82733,25,1,1,1.1,"hello"
-132.2082,67.80727,26,1,1,1.1,"hello"
-132.1583,67.78719,27,1,1,1.1,"hello"
-132.1086,67.7671,28,1,1,1.1,"hello"
-132.0589,67.74699,29,1,1,1.1,"hello"
-132.0093,67.72686,30,1,1,1.1,"hello"
-131.9597,67.70672,31,1,1,1.1,"hello"
-131.9103,67.68657,32,1,1,1.1,"hello"
-131.861,67.6664,33,1,1,1.1,"hello"
-131.8117,67.64622,34,1,1,1.1,"hello"
-131.7625,67.62602,35,1,1,1.1,"hello"
-131.7134,67.6058,36,1,1,1.1,"hello"
-131.6644,67.58557,37,1,1,1.1,"hello"
-131.6155,67.56533,38,1,1,1.1,"hello"
-131.5666,67.54507,39,1,1,1.1,"hello"
-131.5179,67.5248,40,1,1,1.1,"hello"
-131.4692,67.50451,41,1,1,1.1,"hello"
-131.4206,67.48421,42,1,1,1.1,"hello"
-131.3721,67.46389,43,1,1,1.1,"hello"
-131.3237,67.44356,44,1,1,1.1,"hello"
-131.2753,67.42321,45,1,1,1.1,"hello"
-131.2271,67.40285,46,1,1,1.1,"hello"
-131.1789,67.38248,47,1,1,1.1,"hello"
