"long","lat","order","piece","id","group","name"
37.9063,55.4088,1,1,1,1.1,"izavia"
38.05354,55.43221,2,1,1,1.1,"izavia"
38.20095,55.45544,3,1,1,1.1,"izavia"
38.34854,55.47849,4,1,1,1.1,"izavia"
38.4963,55.50137,5,1,1,1.1,"izavia"
38.64423,55.52407,6,1,1,1.1,"izavia"
38.79233,55.54659,7,1,1,1.1,"izavia"
38.9406,55.56893,8,1,1,1.1,"izavia"
39.08904,55.59109,9,1,1,1.1,"izavia"
39.23765,55.61307,10,1,1,1.1,"izavia"
39.38642,55.63488,11,1,1,1.1,"izavia"
39.53535,55.6565,12,1,1,1.1,"izavia"
39.68445,55.67794,13,1,1,1.1,"izavia"
39.83371,55.6992,14,1,1,1.1,"izavia"
39.98314,55.72028,15,1,1,1.1,"izavia"
40.13272,55.74118,16,1,1,1.1,"izavia"
40.28247,55.7619,17,1,1,1.1,"izavia"
40.43237,55.78243,18,1,1,1.1,"izavia"
40.58243,55.80278,19,1,1,1.1,"izavia"
40.73265,55.82295,20,1,1,1.1,"izavia"
40.88302,55.84294,21,1,1,1.1,"izavia"
41.03355,55.86274,22,1,1,1.1,"izavia"
41.18423,55.88236,23,1,1,1.1,"izavia"
41.33506,55.90179,24,1,1,1.1,"izavia"
41.48604,55.92104,25,1,1,1.1,"izavia"
41.63717,55.9401,26,1,1,1.1,"izavia"
41.78845,55.95898,27,1,1,1.1,"izavia"
41.93987,55.97768,28,1,1,1.1,"izavia"
42.09145,55.99619,29,1,1,1.1,"izavia"
42.24316,56.01451,30,1,1,1.1,"izavia"
42.39502,56.03264,31,1,1,1.1,"izavia"
42.54702,56.05059,32,1,1,1.1,"izavia"
42.69916,56.06835,33,1,1,1.1,"izavia"
42.85144,56.08593,34,1,1,1.1,"izavia"
43.00386,56.10332,35,1,1,1.1,"izavia"
43.15642,56.12052,36,1,1,1.1,"izavia"
43.30911,56.13753,37,1,1,1.1,"izavia"
43.46194,56.15435,38,1,1,1.1,"izavia"
43.6149,56.17098,39,1,1,1.1,"izavia"
43.76799,56.18743,40,1,1,1.1,"izavia"
43.92121,56.20368,41,1,1,1.1,"izavia"
44.07456,56.21975,42,1,1,1.1,"izavia"
44.22804,56.23563,43,1,1,1.1,"izavia"
44.38165,56.25131,44,1,1,1.1,"izavia"
44.53538,56.26681,45,1,1,1.1,"izavia"
44.68923,56.28211,46,1,1,1.1,"izavia"
44.84321,56.29723,47,1,1,1.1,"izavia"
44.99731,56.31215,48,1,1,1.1,"izavia"
45.15153,56.32688,49,1,1,1.1,"izavia"
45.30586,56.34142,50,1,1,1.1,"izavia"
45.46032,56.35577,51,1,1,1.1,"izavia"
45.61489,56.36993,52,1,1,1.1,"izavia"
45.76957,56.38389,53,1,1,1.1,"izavia"
45.92436,56.39766,54,1,1,1.1,"izavia"
46.07927,56.41124,55,1,1,1.1,"izavia"
46.23429,56.42462,56,1,1,1.1,"izavia"
46.38941,56.43782,57,1,1,1.1,"izavia"
46.54464,56.45081,58,1,1,1.1,"izavia"
46.69998,56.46362,59,1,1,1.1,"izavia"
46.85542,56.47623,60,1,1,1.1,"izavia"
47.01097,56.48864,61,1,1,1.1,"izavia"
47.16661,56.50086,62,1,1,1.1,"izavia"
47.32235,56.51289,63,1,1,1.1,"izavia"
47.4782,56.52472,64,1,1,1.1,"izavia"
47.63414,56.53636,65,1,1,1.1,"izavia"
47.79017,56.5478,66,1,1,1.1,"izavia"
47.9463,56.55904,67,1,1,1.1,"izavia"
48.10252,56.57009,68,1,1,1.1,"izavia"
48.25883,56.58095,69,1,1,1.1,"izavia"
48.41523,56.5916,70,1,1,1.1,"izavia"
48.57171,56.60207,71,1,1,1.1,"izavia"
48.72828,56.61233,72,1,1,1.1,"izavia"
48.88494,56.6224,73,1,1,1.1,"izavia"
49.04168,56.63227,74,1,1,1.1,"izavia"
49.1985,56.64194,75,1,1,1.1,"izavia"
49.3554,56.65142,76,1,1,1.1,"izavia"
49.51238,56.6607,77,1,1,1.1,"izavia"
49.66943,56.66978,78,1,1,1.1,"izavia"
49.82656,56.67866,79,1,1,1.1,"izavia"
49.98377,56.68735,80,1,1,1.1,"izavia"
50.14104,56.69584,81,1,1,1.1,"izavia"
50.29839,56.70413,82,1,1,1.1,"izavia"
50.4558,56.71222,83,1,1,1.1,"izavia"
50.61328,56.72011,84,1,1,1.1,"izavia"
50.77082,56.72781,85,1,1,1.1,"izavia"
50.92843,56.7353,86,1,1,1.1,"izavia"
51.08611,56.7426,87,1,1,1.1,"izavia"
51.24384,56.7497,88,1,1,1.1,"izavia"
51.40163,56.7566,89,1,1,1.1,"izavia"
51.55947,56.7633,90,1,1,1.1,"izavia"
51.71738,56.7698,91,1,1,1.1,"izavia"
51.87533,56.7761,92,1,1,1.1,"izavia"
52.03334,56.7822,93,1,1,1.1,"izavia"
52.1914,56.7881,94,1,1,1.1,"izavia"
52.34951,56.7938,95,1,1,1.1,"izavia"
52.50767,56.7993,96,1,1,1.1,"izavia"
52.66587,56.8046,97,1,1,1.1,"izavia"
52.82411,56.8097,98,1,1,1.1,"izavia"
52.9824,56.8146,99,1,1,1.1,"izavia"
53.14073,56.8193,100,1,1,1.1,"izavia"
53.2991,56.8238,101,1,1,1.1,"izavia"
53.4575,56.8281,102,1,1,1.1,"izavia"
37.9063,55.4088,1,1,2,2.1,"izavia"
38.17131,55.43947,2,1,2,2.1,"izavia"
38.43673,55.46957,3,1,2,2.1,"izavia"
38.70255,55.4991,4,1,2,2.1,"izavia"
38.96876,55.52805,5,1,2,2.1,"izavia"
39.23536,55.55642,6,1,2,2.1,"izavia"
39.50235,55.58421,7,1,2,2.1,"izavia"
39.7697,55.61142,8,1,2,2.1,"izavia"
40.03743,55.63805,9,1,2,2.1,"izavia"
40.30551,55.6641,10,1,2,2.1,"izavia"
40.57395,55.68956,11,1,2,2.1,"izavia"
40.84274,55.71443,12,1,2,2.1,"izavia"
41.11186,55.73871,13,1,2,2.1,"izavia"
41.38131,55.76241,14,1,2,2.1,"izavia"
41.65109,55.78552,15,1,2,2.1,"izavia"
41.92119,55.80803,16,1,2,2.1,"izavia"
42.19159,55.82996,17,1,2,2.1,"izavia"
42.46229,55.85129,18,1,2,2.1,"izavia"
42.73329,55.87202,19,1,2,2.1,"izavia"
43.00457,55.89216,20,1,2,2.1,"izavia"
43.27613,55.9117,21,1,2,2.1,"izavia"
43.54796,55.93065,22,1,2,2.1,"izavia"
43.82005,55.94899,23,1,2,2.1,"izavia"
44.09239,55.96673,24,1,2,2.1,"izavia"
44.36498,55.98388,25,1,2,2.1,"izavia"
44.63781,56.00042,26,1,2,2.1,"izavia"
44.91086,56.01636,27,1,2,2.1,"izavia"
45.18414,56.03169,28,1,2,2.1,"izavia"
45.45763,56.04643,29,1,2,2.1,"izavia"
45.73133,56.06055,30,1,2,2.1,"izavia"
46.00522,56.07407,31,1,2,2.1,"izavia"
46.2793,56.08698,32,1,2,2.1,"izavia"
46.55356,56.09929,33,1,2,2.1,"izavia"
46.82799,56.11099,34,1,2,2.1,"izavia"
47.10258,56.12208,35,1,2,2.1,"izavia"
47.37733,56.13255,36,1,2,2.1,"izavia"
47.65222,56.14242,37,1,2,2.1,"izavia"
47.92725,56.15168,38,1,2,2.1,"izavia"
48.20241,56.16033,39,1,2,2.1,"izavia"
48.47769,56.16837,40,1,2,2.1,"izavia"
48.75307,56.17579,41,1,2,2.1,"izavia"
49.02856,56.1826,42,1,2,2.1,"izavia"
49.30415,56.1888,43,1,2,2.1,"izavia"
49.57981,56.19439,44,1,2,2.1,"izavia"
49.85556,56.19936,45,1,2,2.1,"izavia"
50.13137,56.20372,46,1,2,2.1,"izavia"
50.40724,56.20747,47,1,2,2.1,"izavia"
50.68316,56.2106,48,1,2,2.1,"izavia"
50.95912,56.21311,49,1,2,2.1,"izavia"
51.23511,56.21502,50,1,2,2.1,"izavia"
51.51112,56.21631,51,1,2,2.1,"izavia"
51.78715,56.21698,52,1,2,2.1,"izavia"
52.06318,56.21704,53,1,2,2.1,"izavia"
52.33921,56.21648,54,1,2,2.1,"izavia"
52.61523,56.21531,55,1,2,2.1,"izavia"
52.89123,56.21353,56,1,2,2.1,"izavia"
53.16719,56.21113,57,1,2,2.1,"izavia"
53.44312,56.20812,58,1,2,2.1,"izavia"
53.719,56.20449,59,1,2,2.1,"izavia"
53.99482,56.20025,60,1,2,2.1,"izavia"
54.27058,56.19539,61,1,2,2.1,"izavia"
54.54626,56.18992,62,1,2,2.1,"izavia"
54.82186,56.18384,63,1,2,2.1,"izavia"
55.09737,56.17715,64,1,2,2.1,"izavia"
55.37278,56.16984,65,1,2,2.1,"izavia"
55.64808,56.16192,66,1,2,2.1,"izavia"
55.92326,56.15339,67,1,2,2.1,"izavia"
56.19831,56.14425,68,1,2,2.1,"izavia"
56.47323,56.1345,69,1,2,2.1,"izavia"
56.74801,56.12414,70,1,2,2.1,"izavia"
57.02263,56.11317,71,1,2,2.1,"izavia"
57.29709,56.10159,72,1,2,2.1,"izavia"
57.57139,56.0894,73,1,2,2.1,"izavia"
57.8455,56.0766,74,1,2,2.1,"izavia"
58.11943,56.0632,75,1,2,2.1,"izavia"
58.39316,56.04919,76,1,2,2.1,"izavia"
58.6667,56.03458,77,1,2,2.1,"izavia"
58.94002,56.01936,78,1,2,2.1,"izavia"
59.21312,56.00353,79,1,2,2.1,"izavia"
59.48599,55.98711,80,1,2,2.1,"izavia"
59.75862,55.97008,81,1,2,2.1,"izavia"
60.03102,55.95245,82,1,2,2.1,"izavia"
60.30316,55.93422,83,1,2,2.1,"izavia"
60.57504,55.91539,84,1,2,2.1,"izavia"
60.84665,55.89597,85,1,2,2.1,"izavia"
61.11798,55.87594,86,1,2,2.1,"izavia"
61.38903,55.85532,87,1,2,2.1,"izavia"
61.65979,55.83411,88,1,2,2.1,"izavia"
61.93026,55.8123,89,1,2,2.1,"izavia"
62.20041,55.7899,90,1,2,2.1,"izavia"
62.47025,55.7669,91,1,2,2.1,"izavia"
62.73976,55.74332,92,1,2,2.1,"izavia"
63.00895,55.71915,93,1,2,2.1,"izavia"
63.2778,55.69439,94,1,2,2.1,"izavia"
63.54631,55.66904,95,1,2,2.1,"izavia"
63.81446,55.64311,96,1,2,2.1,"izavia"
64.08226,55.61659,97,1,2,2.1,"izavia"
64.34969,55.58949,98,1,2,2.1,"izavia"
64.61674,55.56181,99,1,2,2.1,"izavia"
64.88342,55.53355,100,1,2,2.1,"izavia"
65.14971,55.50471,101,1,2,2.1,"izavia"
65.4156,55.4753,102,1,2,2.1,"izavia"
53.4575,56.8281,1,1,3,3.1,"izavia"
53.2991,56.8238,2,1,3,3.1,"izavia"
53.14073,56.8193,3,1,3,3.1,"izavia"
52.9824,56.8146,4,1,3,3.1,"izavia"
52.82411,56.8097,5,1,3,3.1,"izavia"
52.66587,56.8046,6,1,3,3.1,"izavia"
52.50767,56.7993,7,1,3,3.1,"izavia"
52.34951,56.7938,8,1,3,3.1,"izavia"
52.1914,56.7881,9,1,3,3.1,"izavia"
52.03334,56.7822,10,1,3,3.1,"izavia"
51.87533,56.7761,11,1,3,3.1,"izavia"
51.71738,56.7698,12,1,3,3.1,"izavia"
51.55947,56.7633,13,1,3,3.1,"izavia"
51.40163,56.7566,14,1,3,3.1,"izavia"
51.24384,56.7497,15,1,3,3.1,"izavia"
51.08611,56.7426,16,1,3,3.1,"izavia"
50.92843,56.7353,17,1,3,3.1,"izavia"
50.77082,56.72781,18,1,3,3.1,"izavia"
50.61328,56.72011,19,1,3,3.1,"izavia"
50.4558,56.71222,20,1,3,3.1,"izavia"
50.29839,56.70413,21,1,3,3.1,"izavia"
50.14104,56.69584,22,1,3,3.1,"izavia"
49.98377,56.68735,23,1,3,3.1,"izavia"
49.82656,56.67866,24,1,3,3.1,"izavia"
