"long","lat","order","piece","id","group","name"
77.0405,43.3521,1,1,1,1.1,"mahan-air"
76.75655,43.30417,2,1,1,1.1,"mahan-air"
76.47305,43.25555,3,1,1,1.1,"mahan-air"
76.19001,43.20622,4,1,1,1.1,"mahan-air"
75.90743,43.1562,5,1,1,1.1,"mahan-air"
75.62532,43.10548,6,1,1,1.1,"mahan-air"
75.34367,43.05408,7,1,1,1.1,"mahan-air"
75.06251,43.00198,8,1,1,1.1,"mahan-air"
74.78182,42.94919,9,1,1,1.1,"mahan-air"
74.50161,42.89572,10,1,1,1.1,"mahan-air"
74.22189,42.84157,11,1,1,1.1,"mahan-air"
73.94267,42.78674,12,1,1,1.1,"mahan-air"
73.66394,42.73123,13,1,1,1.1,"mahan-air"
73.38572,42.67505,14,1,1,1.1,"mahan-air"
73.108,42.61819,15,1,1,1.1,"mahan-air"
72.83079,42.56067,16,1,1,1.1,"mahan-air"
72.55409,42.50248,17,1,1,1.1,"mahan-air"
72.27791,42.44362,18,1,1,1.1,"mahan-air"
72.00226,42.3841,19,1,1,1.1,"mahan-air"
71.72712,42.32393,20,1,1,1.1,"mahan-air"
71.45252,42.26309,21,1,1,1.1,"mahan-air"
71.17845,42.20161,22,1,1,1.1,"mahan-air"
70.90491,42.13947,23,1,1,1.1,"mahan-air"
70.63192,42.07668,24,1,1,1.1,"mahan-air"
70.35946,42.01325,25,1,1,1.1,"mahan-air"
70.08755,41.94917,26,1,1,1.1,"mahan-air"
69.81619,41.88446,27,1,1,1.1,"mahan-air"
69.54538,41.81911,28,1,1,1.1,"mahan-air"
69.27513,41.75312,29,1,1,1.1,"mahan-air"
69.00544,41.6865,30,1,1,1.1,"mahan-air"
68.7363,41.61925,31,1,1,1.1,"mahan-air"
68.46773,41.55137,32,1,1,1.1,"mahan-air"
68.19972,41.48287,33,1,1,1.1,"mahan-air"
67.93229,41.41375,34,1,1,1.1,"mahan-air"
67.66542,41.34402,35,1,1,1.1,"mahan-air"
67.39913,41.27366,36,1,1,1.1,"mahan-air"
67.13341,41.2027,37,1,1,1.1,"mahan-air"
66.86827,41.13113,38,1,1,1.1,"mahan-air"
66.60372,41.05894,39,1,1,1.1,"mahan-air"
66.33974,40.98616,40,1,1,1.1,"mahan-air"
