"long","lat","order","piece","id","group","name"
30.45194,50.40194,1,1,1,1.1,"motor-sich"
30.50258,50.37787,2,1,1,1.1,"motor-sich"
30.55317,50.35379,3,1,1,1.1,"motor-sich"
30.6037,50.32968,4,1,1,1.1,"motor-sich"
30.65419,50.30555,5,1,1,1.1,"motor-sich"
30.70462,50.28139,6,1,1,1.1,"motor-sich"
30.75501,50.25722,7,1,1,1.1,"motor-sich"
30.80534,50.23302,8,1,1,1.1,"motor-sich"
30.85562,50.2088,9,1,1,1.1,"motor-sich"
30.90585,50.18456,10,1,1,1.1,"motor-sich"
30.95603,50.1603,11,1,1,1.1,"motor-sich"
31.00616,50.13602,12,1,1,1.1,"motor-sich"
31.05624,50.11171,13,1,1,1.1,"motor-sich"
31.10626,50.08739,14,1,1,1.1,"motor-sich"
31.15624,50.06304,15,1,1,1.1,"motor-sich"
31.20616,50.03867,16,1,1,1.1,"motor-sich"
31.25604,50.01428,17,1,1,1.1,"motor-sich"
31.30586,49.98987,18,1,1,1.1,"motor-sich"
31.35563,49.96543,19,1,1,1.1,"motor-sich"
31.40536,49.94098,20,1,1,1.1,"motor-sich"
31.45503,49.9165,21,1,1,1.1,"motor-sich"
31.50465,49.89201,22,1,1,1.1,"motor-sich"
31.55422,49.86749,23,1,1,1.1,"motor-sich"
31.60374,49.84295,24,1,1,1.1,"motor-sich"
31.65321,49.81839,25,1,1,1.1,"motor-sich"
31.70263,49.79381,26,1,1,1.1,"motor-sich"
31.752,49.7692,27,1,1,1.1,"motor-sich"
31.80132,49.74458,28,1,1,1.1,"motor-sich"
31.85059,49.71994,29,1,1,1.1,"motor-sich"
31.89981,49.69527,30,1,1,1.1,"motor-sich"
31.94898,49.67059,31,1,1,1.1,"motor-sich"
31.9981,49.64588,32,1,1,1.1,"motor-sich"
32.04717,49.62115,33,1,1,1.1,"motor-sich"
32.09619,49.5964,34,1,1,1.1,"motor-sich"
32.14517,49.57163,35,1,1,1.1,"motor-sich"
32.19409,49.54685,36,1,1,1.1,"motor-sich"
32.24296,49.52203,37,1,1,1.1,"motor-sich"
32.29178,49.4972,38,1,1,1.1,"motor-sich"
32.34055,49.47235,39,1,1,1.1,"motor-sich"
32.38927,49.44748,40,1,1,1.1,"motor-sich"
32.43795,49.42259,41,1,1,1.1,"motor-sich"
32.48657,49.39768,42,1,1,1.1,"motor-sich"
32.53515,49.37274,43,1,1,1.1,"motor-sich"
32.58367,49.34779,44,1,1,1.1,"motor-sich"
32.63215,49.32282,45,1,1,1.1,"motor-sich"
32.68058,49.29782,46,1,1,1.1,"motor-sich"
32.72895,49.27281,47,1,1,1.1,"motor-sich"
32.77728,49.24777,48,1,1,1.1,"motor-sich"
32.82556,49.22272,49,1,1,1.1,"motor-sich"
32.87379,49.19765,50,1,1,1.1,"motor-sich"
32.92198,49.17255,51,1,1,1.1,"motor-sich"
32.97011,49.14744,52,1,1,1.1,"motor-sich"
33.01819,49.1223,53,1,1,1.1,"motor-sich"
33.06623,49.09715,54,1,1,1.1,"motor-sich"
33.11422,49.07197,55,1,1,1.1,"motor-sich"
33.16215,49.04678,56,1,1,1.1,"motor-sich"
33.21004,49.02156,57,1,1,1.1,"motor-sich"
33.25789,48.99633,58,1,1,1.1,"motor-sich"
33.30568,48.97108,59,1,1,1.1,"motor-sich"
33.35342,48.9458,60,1,1,1.1,"motor-sich"
33.40112,48.92051,61,1,1,1.1,"motor-sich"
33.44877,48.8952,62,1,1,1.1,"motor-sich"
33.49637,48.86987,63,1,1,1.1,"motor-sich"
33.54392,48.84451,64,1,1,1.1,"motor-sich"
33.59142,48.81914,65,1,1,1.1,"motor-sich"
