"long","lat","order","piece","id","group","name"
-71.1423,21.4445,1,1,1,1.1,"pb-air"
-71.1534,21.4478,2,1,1,1.1,"pb-air"
-71.1645,21.45109,3,1,1,1.1,"pb-air"
-71.1756,21.45438,4,1,1,1.1,"pb-air"
-71.18671,21.45768,5,1,1,1.1,"pb-air"
-71.19781,21.46097,6,1,1,1.1,"pb-air"
-71.20891,21.46426,7,1,1,1.1,"pb-air"
-71.22001,21.46755,8,1,1,1.1,"pb-air"
-71.23111,21.47084,9,1,1,1.1,"pb-air"
-71.24222,21.47413,10,1,1,1.1,"pb-air"
-71.25332,21.47742,11,1,1,1.1,"pb-air"
-71.26443,21.48071,12,1,1,1.1,"pb-air"
-71.27553,21.48399,13,1,1,1.1,"pb-air"
-71.28664,21.48728,14,1,1,1.1,"pb-air"
-71.29774,21.49057,15,1,1,1.1,"pb-air"
-71.30885,21.49385,16,1,1,1.1,"pb-air"
-71.31996,21.49714,17,1,1,1.1,"pb-air"
-71.33107,21.50042,18,1,1,1.1,"pb-air"
-71.34217,21.5037,19,1,1,1.1,"pb-air"
-71.35328,21.50698,20,1,1,1.1,"pb-air"
-71.36439,21.51027,21,1,1,1.1,"pb-air"
-71.3755,21.51355,22,1,1,1.1,"pb-air"
-71.38661,21.51683,23,1,1,1.1,"pb-air"
-71.39772,21.52011,24,1,1,1.1,"pb-air"
-71.40883,21.52338,25,1,1,1.1,"pb-air"
-71.41995,21.52666,26,1,1,1.1,"pb-air"
-71.43106,21.52994,27,1,1,1.1,"pb-air"
-71.44217,21.53321,28,1,1,1.1,"pb-air"
-71.45328,21.53649,29,1,1,1.1,"pb-air"
-71.4644,21.53976,30,1,1,1.1,"pb-air"
-71.47551,21.54304,31,1,1,1.1,"pb-air"
-71.48663,21.54631,32,1,1,1.1,"pb-air"
-71.49774,21.54958,33,1,1,1.1,"pb-air"
-71.50886,21.55286,34,1,1,1.1,"pb-air"
-71.51997,21.55613,35,1,1,1.1,"pb-air"
-71.53109,21.5594,36,1,1,1.1,"pb-air"
-71.54221,21.56267,37,1,1,1.1,"pb-air"
-71.55332,21.56594,38,1,1,1.1,"pb-air"
-71.56444,21.5692,39,1,1,1.1,"pb-air"
-71.57556,21.57247,40,1,1,1.1,"pb-air"
-71.58668,21.57574,41,1,1,1.1,"pb-air"
-71.5978,21.579,42,1,1,1.1,"pb-air"
-71.60892,21.58227,43,1,1,1.1,"pb-air"
-71.62004,21.58553,44,1,1,1.1,"pb-air"
-71.63116,21.5888,45,1,1,1.1,"pb-air"
-71.64228,21.59206,46,1,1,1.1,"pb-air"
-71.65341,21.59532,47,1,1,1.1,"pb-air"
-71.66453,21.59858,48,1,1,1.1,"pb-air"
-71.67565,21.60184,49,1,1,1.1,"pb-air"
-71.68678,21.6051,50,1,1,1.1,"pb-air"
-71.6979,21.60836,51,1,1,1.1,"pb-air"
-71.70902,21.61162,52,1,1,1.1,"pb-air"
-71.72015,21.61488,53,1,1,1.1,"pb-air"
-71.73128,21.61814,54,1,1,1.1,"pb-air"
-71.7424,21.62139,55,1,1,1.1,"pb-air"
-71.75353,21.62465,56,1,1,1.1,"pb-air"
-71.76466,21.6279,57,1,1,1.1,"pb-air"
-71.77578,21.63116,58,1,1,1.1,"pb-air"
-71.78691,21.63441,59,1,1,1.1,"pb-air"
-71.79804,21.63766,60,1,1,1.1,"pb-air"
-71.80917,21.64092,61,1,1,1.1,"pb-air"
-71.8203,21.64417,62,1,1,1.1,"pb-air"
-71.83143,21.64742,63,1,1,1.1,"pb-air"
-71.84256,21.65067,64,1,1,1.1,"pb-air"
-71.85369,21.65391,65,1,1,1.1,"pb-air"
-71.86482,21.65716,66,1,1,1.1,"pb-air"
-71.87596,21.66041,67,1,1,1.1,"pb-air"
-71.88709,21.66366,68,1,1,1.1,"pb-air"
-71.89822,21.6669,69,1,1,1.1,"pb-air"
-71.90936,21.67015,70,1,1,1.1,"pb-air"
-71.92049,21.67339,71,1,1,1.1,"pb-air"
-71.93162,21.67664,72,1,1,1.1,"pb-air"
-71.94276,21.67988,73,1,1,1.1,"pb-air"
-71.9539,21.68312,74,1,1,1.1,"pb-air"
-71.96503,21.68636,75,1,1,1.1,"pb-air"
-71.97617,21.6896,76,1,1,1.1,"pb-air"
-71.98731,21.69284,77,1,1,1.1,"pb-air"
-71.99844,21.69608,78,1,1,1.1,"pb-air"
-72.00958,21.69932,79,1,1,1.1,"pb-air"
-72.02072,21.70256,80,1,1,1.1,"pb-air"
-72.03186,21.7058,81,1,1,1.1,"pb-air"
-72.043,21.70903,82,1,1,1.1,"pb-air"
-72.05414,21.71227,83,1,1,1.1,"pb-air"
-72.06528,21.7155,84,1,1,1.1,"pb-air"
-72.07642,21.71874,85,1,1,1.1,"pb-air"
-72.08756,21.72197,86,1,1,1.1,"pb-air"
-72.09871,21.7252,87,1,1,1.1,"pb-air"
-72.10985,21.72843,88,1,1,1.1,"pb-air"
-72.12099,21.73166,89,1,1,1.1,"pb-air"
-72.13214,21.73489,90,1,1,1.1,"pb-air"
-72.14328,21.73812,91,1,1,1.1,"pb-air"
-72.15442,21.74135,92,1,1,1.1,"pb-air"
-72.16557,21.74458,93,1,1,1.1,"pb-air"
-72.17672,21.74781,94,1,1,1.1,"pb-air"
-72.18786,21.75103,95,1,1,1.1,"pb-air"
-72.19901,21.75426,96,1,1,1.1,"pb-air"
-72.21016,21.75749,97,1,1,1.1,"pb-air"
-72.2213,21.76071,98,1,1,1.1,"pb-air"
-72.23245,21.76393,99,1,1,1.1,"pb-air"
-72.2436,21.76716,100,1,1,1.1,"pb-air"
-72.25475,21.77038,101,1,1,1.1,"pb-air"
-72.2659,21.7736,102,1,1,1.1,"pb-air"
-71.1423,21.4445,1,1,2,2.1,"pb-air"
-71.14288,21.4434,2,1,2,2.1,"pb-air"
-71.14345,21.44229,3,1,2,2.1,"pb-air"
-71.14402,21.44119,4,1,2,2.1,"pb-air"
-71.14459,21.44008,5,1,2,2.1,"pb-air"
-71.14516,21.43898,6,1,2,2.1,"pb-air"
-71.14573,21.43788,7,1,2,2.1,"pb-air"
-71.1463,21.43677,8,1,2,2.1,"pb-air"
-71.14688,21.43567,9,1,2,2.1,"pb-air"
-71.14745,21.43457,10,1,2,2.1,"pb-air"
-71.14802,21.43346,11,1,2,2.1,"pb-air"
-71.14859,21.43236,12,1,2,2.1,"pb-air"
-71.14916,21.43125,13,1,2,2.1,"pb-air"
-71.14973,21.43015,14,1,2,2.1,"pb-air"
-71.15031,21.42905,15,1,2,2.1,"pb-air"
-71.15088,21.42794,16,1,2,2.1,"pb-air"
-71.15145,21.42684,17,1,2,2.1,"pb-air"
-71.15202,21.42573,18,1,2,2.1,"pb-air"
-71.15259,21.42463,19,1,2,2.1,"pb-air"
-71.15316,21.42353,20,1,2,2.1,"pb-air"
-71.15373,21.42242,21,1,2,2.1,"pb-air"
-71.15431,21.42132,22,1,2,2.1,"pb-air"
-71.15488,21.42021,23,1,2,2.1,"pb-air"
-71.15545,21.41911,24,1,2,2.1,"pb-air"
-71.15602,21.41801,25,1,2,2.1,"pb-air"
-71.15659,21.4169,26,1,2,2.1,"pb-air"
-71.15716,21.4158,27,1,2,2.1,"pb-air"
-71.15774,21.4147,28,1,2,2.1,"pb-air"
-71.15831,21.41359,29,1,2,2.1,"pb-air"
-71.15888,21.41249,30,1,2,2.1,"pb-air"
-71.15945,21.41138,31,1,2,2.1,"pb-air"
-71.16002,21.41028,32,1,2,2.1,"pb-air"
-71.16059,21.40918,33,1,2,2.1,"pb-air"
-71.16116,21.40807,34,1,2,2.1,"pb-air"
-71.16173,21.40697,35,1,2,2.1,"pb-air"
-71.16231,21.40586,36,1,2,2.1,"pb-air"
-71.16288,21.40476,37,1,2,2.1,"pb-air"
-71.16345,21.40366,38,1,2,2.1,"pb-air"
-71.16402,21.40255,39,1,2,2.1,"pb-air"
-71.16459,21.40145,40,1,2,2.1,"pb-air"
-71.16516,21.40034,41,1,2,2.1,"pb-air"
-71.16573,21.39924,42,1,2,2.1,"pb-air"
-71.16631,21.39814,43,1,2,2.1,"pb-air"
-71.16688,21.39703,44,1,2,2.1,"pb-air"
-71.16745,21.39593,45,1,2,2.1,"pb-air"
-71.16802,21.39482,46,1,2,2.1,"pb-air"
-71.16859,21.39372,47,1,2,2.1,"pb-air"
-71.16916,21.39262,48,1,2,2.1,"pb-air"
-71.16973,21.39151,49,1,2,2.1,"pb-air"
-71.1703,21.39041,50,1,2,2.1,"pb-air"
-71.17088,21.3893,51,1,2,2.1,"pb-air"
-71.17145,21.3882,52,1,2,2.1,"pb-air"
-71.17202,21.3871,53,1,2,2.1,"pb-air"
-71.17259,21.38599,54,1,2,2.1,"pb-air"
-71.17316,21.38489,55,1,2,2.1,"pb-air"
-71.17373,21.38378,56,1,2,2.1,"pb-air"
-71.1743,21.38268,57,1,2,2.1,"pb-air"
-71.17487,21.38158,58,1,2,2.1,"pb-air"
-71.17545,21.38047,59,1,2,2.1,"pb-air"
-71.17602,21.37937,60,1,2,2.1,"pb-air"
-71.17659,21.37826,61,1,2,2.1,"pb-air"
-71.17716,21.37716,62,1,2,2.1,"pb-air"
-71.17773,21.37606,63,1,2,2.1,"pb-air"
-71.1783,21.37495,64,1,2,2.1,"pb-air"
-71.17887,21.37385,65,1,2,2.1,"pb-air"
-71.17944,21.37274,66,1,2,2.1,"pb-air"
-71.18001,21.37164,67,1,2,2.1,"pb-air"
-71.18059,21.37054,68,1,2,2.1,"pb-air"
-71.18116,21.36943,69,1,2,2.1,"pb-air"
-71.18173,21.36833,70,1,2,2.1,"pb-air"
-71.1823,21.36722,71,1,2,2.1,"pb-air"
-71.18287,21.36612,72,1,2,2.1,"pb-air"
-71.18344,21.36502,73,1,2,2.1,"pb-air"
-71.18401,21.36391,74,1,2,2.1,"pb-air"
-71.18458,21.36281,75,1,2,2.1,"pb-air"
-71.18515,21.3617,76,1,2,2.1,"pb-air"
-71.18572,21.3606,77,1,2,2.1,"pb-air"
-71.1863,21.3595,78,1,2,2.1,"pb-air"
-71.18687,21.35839,79,1,2,2.1,"pb-air"
-71.18744,21.35729,80,1,2,2.1,"pb-air"
-71.18801,21.35618,81,1,2,2.1,"pb-air"
-71.18858,21.35508,82,1,2,2.1,"pb-air"
-71.18915,21.35398,83,1,2,2.1,"pb-air"
-71.18972,21.35287,84,1,2,2.1,"pb-air"
-71.19029,21.35177,85,1,2,2.1,"pb-air"
-71.19086,21.35066,86,1,2,2.1,"pb-air"
-71.19143,21.34956,87,1,2,2.1,"pb-air"
-71.19201,21.34846,88,1,2,2.1,"pb-air"
-71.19258,21.34735,89,1,2,2.1,"pb-air"
-71.19315,21.34625,90,1,2,2.1,"pb-air"
-71.19372,21.34514,91,1,2,2.1,"pb-air"
-71.19429,21.34404,92,1,2,2.1,"pb-air"
-71.19486,21.34294,93,1,2,2.1,"pb-air"
-71.19543,21.34183,94,1,2,2.1,"pb-air"
