"long","lat","order","piece","id","group","name"
-66.0018,18.4394,1,1,1,1.1,"reem-air"
-65.99606,18.4362,2,1,1,1.1,"reem-air"
-65.99031,18.43301,3,1,1,1.1,"reem-air"
-65.98457,18.42981,4,1,1,1.1,"reem-air"
-65.97882,18.42662,5,1,1,1.1,"reem-air"
-65.97308,18.42342,6,1,1,1.1,"reem-air"
-65.96734,18.42022,7,1,1,1.1,"reem-air"
-65.96159,18.41703,8,1,1,1.1,"reem-air"
-65.95585,18.41383,9,1,1,1.1,"reem-air"
-65.95011,18.41064,10,1,1,1.1,"reem-air"
-65.94437,18.40744,11,1,1,1.1,"reem-air"
-65.93862,18.40424,12,1,1,1.1,"reem-air"
-65.93288,18.40104,13,1,1,1.1,"reem-air"
-65.92714,18.39785,14,1,1,1.1,"reem-air"
-65.9214,18.39465,15,1,1,1.1,"reem-air"
-65.91566,18.39145,16,1,1,1.1,"reem-air"
-65.90992,18.38825,17,1,1,1.1,"reem-air"
-65.90418,18.38505,18,1,1,1.1,"reem-air"
-65.89844,18.38186,19,1,1,1.1,"reem-air"
-65.8927,18.37866,20,1,1,1.1,"reem-air"
-65.88696,18.37546,21,1,1,1.1,"reem-air"
-65.88122,18.37226,22,1,1,1.1,"reem-air"
-65.87548,18.36906,23,1,1,1.1,"reem-air"
-65.86974,18.36586,24,1,1,1.1,"reem-air"
-65.864,18.36266,25,1,1,1.1,"reem-air"
-65.85826,18.35946,26,1,1,1.1,"reem-air"
-65.85252,18.35626,27,1,1,1.1,"reem-air"
-65.84678,18.35306,28,1,1,1.1,"reem-air"
-65.84104,18.34986,29,1,1,1.1,"reem-air"
-65.8353,18.34666,30,1,1,1.1,"reem-air"
-65.82956,18.34346,31,1,1,1.1,"reem-air"
-65.82383,18.34026,32,1,1,1.1,"reem-air"
-65.81809,18.33706,33,1,1,1.1,"reem-air"
-65.81235,18.33386,34,1,1,1.1,"reem-air"
-65.80661,18.33066,35,1,1,1.1,"reem-air"
-65.80088,18.32746,36,1,1,1.1,"reem-air"
-65.79514,18.32426,37,1,1,1.1,"reem-air"
-65.7894,18.32106,38,1,1,1.1,"reem-air"
-65.78367,18.31785,39,1,1,1.1,"reem-air"
-65.77793,18.31465,40,1,1,1.1,"reem-air"
-65.77219,18.31145,41,1,1,1.1,"reem-air"
-65.76646,18.30825,42,1,1,1.1,"reem-air"
-65.76072,18.30505,43,1,1,1.1,"reem-air"
-65.75499,18.30184,44,1,1,1.1,"reem-air"
-65.74925,18.29864,45,1,1,1.1,"reem-air"
-65.74352,18.29544,46,1,1,1.1,"reem-air"
-65.73778,18.29223,47,1,1,1.1,"reem-air"
-65.73205,18.28903,48,1,1,1.1,"reem-air"
-65.72631,18.28583,49,1,1,1.1,"reem-air"
-65.72058,18.28262,50,1,1,1.1,"reem-air"
-65.71485,18.27942,51,1,1,1.1,"reem-air"
-65.70911,18.27622,52,1,1,1.1,"reem-air"
-65.70338,18.27301,53,1,1,1.1,"reem-air"
-65.69765,18.26981,54,1,1,1.1,"reem-air"
-65.69191,18.2666,55,1,1,1.1,"reem-air"
-65.68618,18.2634,56,1,1,1.1,"reem-air"
-65.68045,18.26019,57,1,1,1.1,"reem-air"
-65.67472,18.25699,58,1,1,1.1,"reem-air"
-65.66898,18.25378,59,1,1,1.1,"reem-air"
