"long","lat","order","piece","id","group","name"
-72.1947,19.733,1,1,1,1.1,"salmon-air"
-72.19568,19.72158,2,1,1,1.1,"salmon-air"
-72.19665,19.71017,3,1,1,1.1,"salmon-air"
-72.19763,19.69875,4,1,1,1.1,"salmon-air"
-72.1986,19.68734,5,1,1,1.1,"salmon-air"
-72.19958,19.67592,6,1,1,1.1,"salmon-air"
-72.20055,19.66451,7,1,1,1.1,"salmon-air"
-72.20152,19.65309,8,1,1,1.1,"salmon-air"
-72.2025,19.64168,9,1,1,1.1,"salmon-air"
-72.20347,19.63026,10,1,1,1.1,"salmon-air"
-72.20445,19.61884,11,1,1,1.1,"salmon-air"
-72.20542,19.60743,12,1,1,1.1,"salmon-air"
-72.20639,19.59601,13,1,1,1.1,"salmon-air"
-72.20737,19.5846,14,1,1,1.1,"salmon-air"
-72.20834,19.57318,15,1,1,1.1,"salmon-air"
-72.20931,19.56177,16,1,1,1.1,"salmon-air"
-72.21029,19.55035,17,1,1,1.1,"salmon-air"
-72.21126,19.53893,18,1,1,1.1,"salmon-air"
-72.21223,19.52752,19,1,1,1.1,"salmon-air"
-72.21321,19.5161,20,1,1,1.1,"salmon-air"
-72.21418,19.50469,21,1,1,1.1,"salmon-air"
-72.21515,19.49327,22,1,1,1.1,"salmon-air"
-72.21612,19.48186,23,1,1,1.1,"salmon-air"
-72.21709,19.47044,24,1,1,1.1,"salmon-air"
-72.21807,19.45902,25,1,1,1.1,"salmon-air"
-72.21904,19.44761,26,1,1,1.1,"salmon-air"
-72.22001,19.43619,27,1,1,1.1,"salmon-air"
-72.22098,19.42478,28,1,1,1.1,"salmon-air"
-72.22195,19.41336,29,1,1,1.1,"salmon-air"
-72.22292,19.40195,30,1,1,1.1,"salmon-air"
-72.2239,19.39053,31,1,1,1.1,"salmon-air"
-72.22487,19.37911,32,1,1,1.1,"salmon-air"
-72.22584,19.3677,33,1,1,1.1,"salmon-air"
-72.22681,19.35628,34,1,1,1.1,"salmon-air"
-72.22778,19.34487,35,1,1,1.1,"salmon-air"
-72.22875,19.33345,36,1,1,1.1,"salmon-air"
-72.22972,19.32204,37,1,1,1.1,"salmon-air"
-72.23069,19.31062,38,1,1,1.1,"salmon-air"
-72.23166,19.2992,39,1,1,1.1,"salmon-air"
-72.23263,19.28779,40,1,1,1.1,"salmon-air"
-72.2336,19.27637,41,1,1,1.1,"salmon-air"
-72.23457,19.26496,42,1,1,1.1,"salmon-air"
-72.23554,19.25354,43,1,1,1.1,"salmon-air"
-72.23651,19.24213,44,1,1,1.1,"salmon-air"
-72.23748,19.23071,45,1,1,1.1,"salmon-air"
-72.23845,19.21929,46,1,1,1.1,"salmon-air"
-72.23941,19.20788,47,1,1,1.1,"salmon-air"
-72.24038,19.19646,48,1,1,1.1,"salmon-air"
-72.24135,19.18505,49,1,1,1.1,"salmon-air"
-72.24232,19.17363,50,1,1,1.1,"salmon-air"
-72.24329,19.16221,51,1,1,1.1,"salmon-air"
-72.24426,19.1508,52,1,1,1.1,"salmon-air"
-72.24523,19.13938,53,1,1,1.1,"salmon-air"
-72.24619,19.12797,54,1,1,1.1,"salmon-air"
-72.24716,19.11655,55,1,1,1.1,"salmon-air"
-72.24813,19.10514,56,1,1,1.1,"salmon-air"
-72.2491,19.09372,57,1,1,1.1,"salmon-air"
-72.25006,19.0823,58,1,1,1.1,"salmon-air"
-72.25103,19.07089,59,1,1,1.1,"salmon-air"
-72.252,19.05947,60,1,1,1.1,"salmon-air"
-72.25297,19.04806,61,1,1,1.1,"salmon-air"
-72.25393,19.03664,62,1,1,1.1,"salmon-air"
-72.2549,19.02522,63,1,1,1.1,"salmon-air"
-72.25587,19.01381,64,1,1,1.1,"salmon-air"
-72.25683,19.00239,65,1,1,1.1,"salmon-air"
-72.2578,18.99098,66,1,1,1.1,"salmon-air"
-72.25877,18.97956,67,1,1,1.1,"salmon-air"
-72.25973,18.96814,68,1,1,1.1,"salmon-air"
-72.2607,18.95673,69,1,1,1.1,"salmon-air"
-72.26166,18.94531,70,1,1,1.1,"salmon-air"
-72.26263,18.9339,71,1,1,1.1,"salmon-air"
-72.2636,18.92248,72,1,1,1.1,"salmon-air"
-72.26456,18.91106,73,1,1,1.1,"salmon-air"
-72.26553,18.89965,74,1,1,1.1,"salmon-air"
-72.26649,18.88823,75,1,1,1.1,"salmon-air"
-72.26746,18.87682,76,1,1,1.1,"salmon-air"
-72.26842,18.8654,77,1,1,1.1,"salmon-air"
-72.26939,18.85398,78,1,1,1.1,"salmon-air"
-72.27035,18.84257,79,1,1,1.1,"salmon-air"
-72.27132,18.83115,80,1,1,1.1,"salmon-air"
-72.27228,18.81974,81,1,1,1.1,"salmon-air"
-72.27324,18.80832,82,1,1,1.1,"salmon-air"
-72.27421,18.7969,83,1,1,1.1,"salmon-air"
-72.27517,18.78549,84,1,1,1.1,"salmon-air"
-72.27614,18.77407,85,1,1,1.1,"salmon-air"
-72.2771,18.76266,86,1,1,1.1,"salmon-air"
-72.27806,18.75124,87,1,1,1.1,"salmon-air"
-72.27903,18.73982,88,1,1,1.1,"salmon-air"
-72.27999,18.72841,89,1,1,1.1,"salmon-air"
-72.28095,18.71699,90,1,1,1.1,"salmon-air"
-72.28192,18.70558,91,1,1,1.1,"salmon-air"
-72.28288,18.69416,92,1,1,1.1,"salmon-air"
-72.28384,18.68274,93,1,1,1.1,"salmon-air"
-72.28481,18.67133,94,1,1,1.1,"salmon-air"
-72.28577,18.65991,95,1,1,1.1,"salmon-air"
-72.28673,18.6485,96,1,1,1.1,"salmon-air"
-72.28769,18.63708,97,1,1,1.1,"salmon-air"
-72.28866,18.62566,98,1,1,1.1,"salmon-air"
-72.28962,18.61425,99,1,1,1.1,"salmon-air"
-72.29058,18.60283,100,1,1,1.1,"salmon-air"
-72.29154,18.59142,101,1,1,1.1,"salmon-air"
-72.2925,18.58,102,1,1,1.1,"salmon-air"
-72.1947,19.733,1,1,2,2.1,"salmon-air"
-72.1954,19.7532,2,1,2,2.1,"salmon-air"
-72.19609,19.77341,3,1,2,2.1,"salmon-air"
-72.19679,19.79361,4,1,2,2.1,"salmon-air"
-72.19749,19.81382,5,1,2,2.1,"salmon-air"
-72.19818,19.83402,6,1,2,2.1,"salmon-air"
-72.19888,19.85422,7,1,2,2.1,"salmon-air"
-72.19958,19.87443,8,1,2,2.1,"salmon-air"
-72.20027,19.89463,9,1,2,2.1,"salmon-air"
-72.20097,19.91484,10,1,2,2.1,"salmon-air"
-72.20167,19.93504,11,1,2,2.1,"salmon-air"
-72.20236,19.95524,12,1,2,2.1,"salmon-air"
-72.20306,19.97545,13,1,2,2.1,"salmon-air"
-72.20376,19.99565,14,1,2,2.1,"salmon-air"
-72.20446,20.01586,15,1,2,2.1,"salmon-air"
-72.20516,20.03606,16,1,2,2.1,"salmon-air"
-72.20585,20.05627,17,1,2,2.1,"salmon-air"
-72.20655,20.07647,18,1,2,2.1,"salmon-air"
-72.20725,20.09667,19,1,2,2.1,"salmon-air"
-72.20795,20.11688,20,1,2,2.1,"salmon-air"
-72.20865,20.13708,21,1,2,2.1,"salmon-air"
-72.20935,20.15729,22,1,2,2.1,"salmon-air"
-72.21005,20.17749,23,1,2,2.1,"salmon-air"
-72.21075,20.19769,24,1,2,2.1,"salmon-air"
-72.21145,20.2179,25,1,2,2.1,"salmon-air"
-72.21215,20.2381,26,1,2,2.1,"salmon-air"
-72.21285,20.25831,27,1,2,2.1,"salmon-air"
-72.21355,20.27851,28,1,2,2.1,"salmon-air"
-72.21425,20.29871,29,1,2,2.1,"salmon-air"
-72.21495,20.31892,30,1,2,2.1,"salmon-air"
-72.21565,20.33912,31,1,2,2.1,"salmon-air"
-72.21635,20.35933,32,1,2,2.1,"salmon-air"
-72.21705,20.37953,33,1,2,2.1,"salmon-air"
-72.21775,20.39973,34,1,2,2.1,"salmon-air"
-72.21846,20.41994,35,1,2,2.1,"salmon-air"
-72.21916,20.44014,36,1,2,2.1,"salmon-air"
-72.21986,20.46035,37,1,2,2.1,"salmon-air"
-72.22056,20.48055,38,1,2,2.1,"salmon-air"
-72.22126,20.50075,39,1,2,2.1,"salmon-air"
-72.22197,20.52096,40,1,2,2.1,"salmon-air"
-72.22267,20.54116,41,1,2,2.1,"salmon-air"
-72.22337,20.56137,42,1,2,2.1,"salmon-air"
-72.22408,20.58157,43,1,2,2.1,"salmon-air"
-72.22478,20.60177,44,1,2,2.1,"salmon-air"
-72.22548,20.62198,45,1,2,2.1,"salmon-air"
-72.22619,20.64218,46,1,2,2.1,"salmon-air"
-72.22689,20.66239,47,1,2,2.1,"salmon-air"
-72.22759,20.68259,48,1,2,2.1,"salmon-air"
-72.2283,20.70279,49,1,2,2.1,"salmon-air"
-72.229,20.723,50,1,2,2.1,"salmon-air"
-72.22971,20.7432,51,1,2,2.1,"salmon-air"
-72.23041,20.76341,52,1,2,2.1,"salmon-air"
-72.23112,20.78361,53,1,2,2.1,"salmon-air"
-72.23182,20.80381,54,1,2,2.1,"salmon-air"
-72.23253,20.82402,55,1,2,2.1,"salmon-air"
-72.23323,20.84422,56,1,2,2.1,"salmon-air"
-72.23394,20.86443,57,1,2,2.1,"salmon-air"
-72.23465,20.88463,58,1,2,2.1,"salmon-air"
-72.23535,20.90483,59,1,2,2.1,"salmon-air"
-72.23606,20.92504,60,1,2,2.1,"salmon-air"
-72.23676,20.94524,61,1,2,2.1,"salmon-air"
-72.23747,20.96544,62,1,2,2.1,"salmon-air"
-72.23818,20.98565,63,1,2,2.1,"salmon-air"
-72.23889,21.00585,64,1,2,2.1,"salmon-air"
-72.23959,21.02606,65,1,2,2.1,"salmon-air"
-72.2403,21.04626,66,1,2,2.1,"salmon-air"
-72.24101,21.06646,67,1,2,2.1,"salmon-air"
-72.24172,21.08667,68,1,2,2.1,"salmon-air"
-72.24242,21.10687,69,1,2,2.1,"salmon-air"
-72.24313,21.12708,70,1,2,2.1,"salmon-air"
-72.24384,21.14728,71,1,2,2.1,"salmon-air"
-72.24455,21.16748,72,1,2,2.1,"salmon-air"
-72.24526,21.18769,73,1,2,2.1,"salmon-air"
-72.24597,21.20789,74,1,2,2.1,"salmon-air"
-72.24668,21.2281,75,1,2,2.1,"salmon-air"
-72.24739,21.2483,76,1,2,2.1,"salmon-air"
-72.2481,21.2685,77,1,2,2.1,"salmon-air"
-72.24881,21.28871,78,1,2,2.1,"salmon-air"
-72.24952,21.30891,79,1,2,2.1,"salmon-air"
-72.25023,21.32912,80,1,2,2.1,"salmon-air"
-72.25094,21.34932,81,1,2,2.1,"salmon-air"
-72.25165,21.36952,82,1,2,2.1,"salmon-air"
-72.25236,21.38973,83,1,2,2.1,"salmon-air"
-72.25307,21.40993,84,1,2,2.1,"salmon-air"
-72.25378,21.43013,85,1,2,2.1,"salmon-air"
-72.25449,21.45034,86,1,2,2.1,"salmon-air"
-72.2552,21.47054,87,1,2,2.1,"salmon-air"
-72.25591,21.49075,88,1,2,2.1,"salmon-air"
-72.25663,21.51095,89,1,2,2.1,"salmon-air"
-72.25734,21.53115,90,1,2,2.1,"salmon-air"
-72.25805,21.55136,91,1,2,2.1,"salmon-air"
-72.25876,21.57156,92,1,2,2.1,"salmon-air"
-72.25948,21.59177,93,1,2,2.1,"salmon-air"
-72.26019,21.61197,94,1,2,2.1,"salmon-air"
-72.2609,21.63217,95,1,2,2.1,"salmon-air"
-72.26162,21.65238,96,1,2,2.1,"salmon-air"
-72.26233,21.67258,97,1,2,2.1,"salmon-air"
-72.26304,21.69278,98,1,2,2.1,"salmon-air"
-72.26376,21.71299,99,1,2,2.1,"salmon-air"
-72.26447,21.73319,100,1,2,2.1,"salmon-air"
-72.26519,21.7534,101,1,2,2.1,"salmon-air"
-72.2659,21.7736,102,1,2,2.1,"salmon-air"
-69.9856,18.5725,1,1,3,3.1,"salmon-air"
-70.00844,18.57271,2,1,3,3.1,"salmon-air"
-70.03128,18.57292,3,1,3,3.1,"salmon-air"
-70.05412,18.57313,4,1,3,3.1,"salmon-air"
-70.07696,18.57333,5,1,3,3.1,"salmon-air"
-70.0998,18.57353,6,1,3,3.1,"salmon-air"
-70.12264,18.57373,7,1,3,3.1,"salmon-air"
-70.14548,18.57392,8,1,3,3.1,"salmon-air"
-70.16832,18.57412,9,1,3,3.1,"salmon-air"
-70.19116,18.57431,10,1,3,3.1,"salmon-air"
-70.214,18.57449,11,1,3,3.1,"salmon-air"
-70.23684,18.57468,12,1,3,3.1,"salmon-air"
-70.25967,18.57486,13,1,3,3.1,"salmon-air"
-70.28251,18.57504,14,1,3,3.1,"salmon-air"
