"long","lat","order","piece","id","group","name"
23.9711,56.9236,1,1,1,1.1,"smartlynx-airlines"
23.32523,56.73333,2,1,1,1.1,"smartlynx-airlines"
22.68593,56.53976,3,1,1,1.1,"smartlynx-airlines"
22.05318,56.34294,4,1,1,1.1,"smartlynx-airlines"
21.42698,56.14293,5,1,1,1.1,"smartlynx-airlines"
20.80732,55.93978,6,1,1,1.1,"smartlynx-airlines"
20.19416,55.73356,7,1,1,1.1,"smartlynx-airlines"
19.5875,55.52432,8,1,1,1.1,"smartlynx-airlines"
18.98731,55.31211,9,1,1,1.1,"smartlynx-airlines"
18.39354,55.09699,10,1,1,1.1,"smartlynx-airlines"
17.80618,54.87902,11,1,1,1.1,"smartlynx-airlines"
17.22517,54.65824,12,1,1,1.1,"smartlynx-airlines"
16.65049,54.43471,13,1,1,1.1,"smartlynx-airlines"
16.08207,54.20849,14,1,1,1.1,"smartlynx-airlines"
15.51989,53.97962,15,1,1,1.1,"smartlynx-airlines"
14.96388,53.74815,16,1,1,1.1,"smartlynx-airlines"
14.414,53.51414,17,1,1,1.1,"smartlynx-airlines"
13.87019,53.27763,18,1,1,1.1,"smartlynx-airlines"
13.3324,53.03868,19,1,1,1.1,"smartlynx-airlines"
12.80057,52.79733,20,1,1,1.1,"smartlynx-airlines"
12.27463,52.55363,21,1,1,1.1,"smartlynx-airlines"
11.75453,52.30762,22,1,1,1.1,"smartlynx-airlines"
11.24021,52.05936,23,1,1,1.1,"smartlynx-airlines"
10.73159,51.80888,24,1,1,1.1,"smartlynx-airlines"
10.22862,51.55623,25,1,1,1.1,"smartlynx-airlines"
9.731235,51.30145,26,1,1,1.1,"smartlynx-airlines"
9.23936,51.0446,27,1,1,1.1,"smartlynx-airlines"
8.752931,50.7857,28,1,1,1.1,"smartlynx-airlines"
8.271881,50.52479,29,1,1,1.1,"smartlynx-airlines"
7.79614,50.26193,30,1,1,1.1,"smartlynx-airlines"
7.32564,49.99715,31,1,1,1.1,"smartlynx-airlines"
6.860312,49.73049,32,1,1,1.1,"smartlynx-airlines"
6.400086,49.46198,33,1,1,1.1,"smartlynx-airlines"
5.944894,49.19167,34,1,1,1.1,"smartlynx-airlines"
5.494664,48.91959,35,1,1,1.1,"smartlynx-airlines"
5.049329,48.64577,36,1,1,1.1,"smartlynx-airlines"
4.608819,48.37026,37,1,1,1.1,"smartlynx-airlines"
4.173063,48.09308,38,1,1,1.1,"smartlynx-airlines"
3.741994,47.81427,39,1,1,1.1,"smartlynx-airlines"
3.315542,47.53387,40,1,1,1.1,"smartlynx-airlines"
2.893639,47.2519,41,1,1,1.1,"smartlynx-airlines"
2.476217,46.9684,42,1,1,1.1,"smartlynx-airlines"
2.063209,46.6834,43,1,1,1.1,"smartlynx-airlines"
1.654545,46.39693,44,1,1,1.1,"smartlynx-airlines"
1.250161,46.10902,45,1,1,1.1,"smartlynx-airlines"
0.8499903,45.8197,46,1,1,1.1,"smartlynx-airlines"
0.4539662,45.52899,47,1,1,1.1,"smartlynx-airlines"
0.06202413,45.23693,48,1,1,1.1,"smartlynx-airlines"
-0.3259006,44.94355,49,1,1,1.1,"smartlynx-airlines"
-0.7098718,44.64886,50,1,1,1.1,"smartlynx-airlines"
-1.089953,44.3529,51,1,1,1.1,"smartlynx-airlines"
-1.466206,44.0557,52,1,1,1.1,"smartlynx-airlines"
-1.838694,43.75727,53,1,1,1.1,"smartlynx-airlines"
-2.207477,43.45764,54,1,1,1.1,"smartlynx-airlines"
-2.572617,43.15684,55,1,1,1.1,"smartlynx-airlines"
-2.934172,42.85489,56,1,1,1.1,"smartlynx-airlines"
-3.292202,42.55181,57,1,1,1.1,"smartlynx-airlines"
-3.646766,42.24763,58,1,1,1.1,"smartlynx-airlines"
-3.997921,41.94237,59,1,1,1.1,"smartlynx-airlines"
-4.345723,41.63605,60,1,1,1.1,"smartlynx-airlines"
-4.69023,41.32869,61,1,1,1.1,"smartlynx-airlines"
-5.031496,41.02031,62,1,1,1.1,"smartlynx-airlines"
-5.369577,40.71094,63,1,1,1.1,"smartlynx-airlines"
-5.704525,40.40059,64,1,1,1.1,"smartlynx-airlines"
-6.036395,40.08928,65,1,1,1.1,"smartlynx-airlines"
-6.365238,39.77703,66,1,1,1.1,"smartlynx-airlines"
-6.691106,39.46386,67,1,1,1.1,"smartlynx-airlines"
-7.014051,39.14979,68,1,1,1.1,"smartlynx-airlines"
-7.334122,38.83484,69,1,1,1.1,"smartlynx-airlines"
-7.651369,38.51902,70,1,1,1.1,"smartlynx-airlines"
-7.965841,38.20236,71,1,1,1.1,"smartlynx-airlines"
-8.277585,37.88486,72,1,1,1.1,"smartlynx-airlines"
-8.586649,37.56655,73,1,1,1.1,"smartlynx-airlines"
-8.893079,37.24743,74,1,1,1.1,"smartlynx-airlines"
-9.196923,36.92754,75,1,1,1.1,"smartlynx-airlines"
-9.498223,36.60688,76,1,1,1.1,"smartlynx-airlines"
-9.797026,36.28546,77,1,1,1.1,"smartlynx-airlines"
-10.09338,35.96331,78,1,1,1.1,"smartlynx-airlines"
-10.38731,35.64044,79,1,1,1.1,"smartlynx-airlines"
-10.67888,35.31686,80,1,1,1.1,"smartlynx-airlines"
