"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Albania","Export","Crustaceans","10","","59","","6","","8","","1","","0","-","10","","3","","0","-","122","","70","","107","","88","","14","","91","F","189",""
"Albania","Export","Fish","1534","","1795","","1971","F","2561","","2693","","511","","547","","300","","360","","3156","","3528","","3031","","3929","","4881","","4575","","5749",""
"Albania","Import","Crustaceans","9","","5","","5","","8","","5","","33","","151","","146","","202","","180","","315","","482","","432","","407","","595","F","635",""
"Albania","Import","Fish","4498","","5377","","6720","","7352","","7807","","7740","","7946","","7944","","8509","","9156","","7972","","8640","","7439","","8101","","8014","F","9990",""
"Andorra","Export","Crustaceans","0","-","0","-","0","-","0","-","0","-","1","F","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","0"
"Andorra","Export","Fish","0","-","0","-","0","-","0","-","0","-","8","F","0","-","0","-","0","-","2","","0","-","2","","1","","0","-","0","-","5","F"
"Andorra","Import","Crustaceans","332","","251","","200","","190","","182","","173","F","181","","194","","239","","206","","194","","185","","171","","161","","171","","378","F"
"Andorra","Import","Fish","1722","","1870","","1927","","1890","","2022","","2080","F","2020","","1996","","1686","","1607","","1626","","1668","","1649","","1671","","1673","","1584","F"
"Austria","Export","Crustaceans","11","","19","","8","","20","","15","","16","","186","","250","","344","","328","","246","","603","","795","","695","","430","","472",""
"Austria","Export","Fish","4311","","3062","","5673","","8240","","10740","","4158","","2821","","3964","","4749","","5445","","6674","","8401","","10083","","10029","","8981","","8787",""
"Austria","Import","Crustaceans","1767","","1988","","1747","","2196","","3393","","4464","","3801","","4160","","4102","","5101","","4963","","4887","","5130","","4814","","5345","","5594",""
"Austria","Import","Fish","39814","","44228","","44874","","50707","","55150","","54011","","53492","","61022","","58835","","55833","","56676","","62169","","64231","","67072","","65798","","65420",""
"Belarus","Export","Crustaceans","522","","188","","166","","301","","254","","376","","339","","338","","287","","751","","1176","","1876","","2163","","1813","","1633","","1483",""
"Belarus","Export","Fish","13475","","10873","","9461","","13818","","17036","","20912","","28132","","33863","","38229","","22120","","24988","","30525","","36246","","49596","","57816","","54642",""
"Belarus","Import","Crustaceans","1637","","616","","648","","937","","1149","","1472","","1319","","1570","","1719","","2115","","3306","","3687","","3630","","3933","","3549","","2058",""
"Belarus","Import","Fish","84179","","109113","","122330","","119605","","127768","","131849","","132597","","138024","","147239","","136158","","130910","","115490","","130596","","153123","","165338","","156394",""
"Belgium","Export","Crustaceans","25085","","26579","","31115","","41583","","45665","","50430","","60880","","62740","","65817","","56486","","56768","","61614","","50231","","48743","","47086","","43418",""
"Belgium","Export","Fish","61262","","75119","","73841","","84568","","86087","","83886","","90379","","82996","","87734","","78778","","80807","","73537","","72052","","74608","","81322","","87561",""
"Belgium","Import","Crustaceans","39965","","39868","","46761","","61680","","64652","","69668","","80857","","83687","","87091","","72444","","75543","","83064","","67983","","61641","","64644","","57351",""
"Belgium","Import","Fish","139166","","148293","","146200","","163373","","166367","","165149","","172489","","167494","","178871","","165483","","168544","","165379","","163273","","166697","","181640","","179707",""
"Bosnia and Herzegovina","Export","Crustaceans","16","F","10","F","0","-","0","0","3","","5","","5","","2","","2","","0","-","0","0","0","0","1","","2","","3","","2",""
"Bosnia and Herzegovina","Export","Fish","60","F","35","F","155","F","468","","2313","","2375","","2795","","2488","","2776","","3033","","3146","","2981","","2332","","1976","","1673","","2105",""
"Bosnia and Herzegovina","Import","Crustaceans","46","F","42","F","169","F","19","","43","","52","","40","","45","","64","","46","","42","","42","","43","","40","","55","","67",""
"Bosnia and Herzegovina","Import","Fish","4479","F","5972","F","6360","F","8149","","12406","","13206","","11027","","11361","","11728","","11378","","10869","","9746","","9241","","9543","","10623","","10309",""
"Bulgaria","Export","Crustaceans","0","-","0","-","0","0","0","0","0","0","1","","0","0","28","","4","","11","","143","","1058","","1293","","1047","","1194","","1414",""
"Bulgaria","Export","Fish","1783","","2054","","2916","","2985","","2979","","1800","","2175","","2499","","3228","","4184","","6398","","5366","","6028","","6748","","5390","","6184",""
"Bulgaria","Import","Crustaceans","74","","64","","47","","112","","119","","172","","225","","315","","461","","418","","415","","494","","435","","1032","","1740","","2499",""
"Bulgaria","Import","Fish","16554","","18244","","17451","","22830","","23221","","24219","","29198","","22122","","29266","","28980","","27666","","26177","","26780","","28436","","27373","","29178",""
"Croatia","Export","Crustaceans","138","","123","","147","","149","","185","","160","","170","","150","","153","","124","","119","","110","","123","","162","","257","","282",""
"Croatia","Export","Fish","17117","","20148","","20959","","21524","","21971","","22719","","27792","","28969","","27570","","30901","","32407","","36980","","31118","","32239","","44289","","49485",""
"Croatia","Import","Crustaceans","363","","492","","463","","578","","626","","673","","720","","926","","1067","","892","","1150","","1113","","1435","","1194","","1312","","1435",""
"Croatia","Import","Fish","20877","","35866","","49591","","50578","","31329","","46080","","43408","","37628","","43631","","34645","","31548","","27220","","22703","","20202","","19247","","22274",""
"Czechia","Export","Crustaceans","35","","59","","32","","51","","26","","37","","40","","102","","58","","84","","74","","96","","165","","355","","298","","150",""
"Czechia","Export","Fish","12130","","13312","","12787","","13374","","14780","","16916","","18801","","19646","","18549","","21523","","23205","","24221","","24663","","24269","","26342","","28196",""
"Czechia","Import","Crustaceans","277","","318","","349","","456","","444","","492","","511","","740","","795","","926","","844","","1011","","1204","","1577","","2409","","2036",""
"Czechia","Import","Fish","49473","","49342","","47427","","49194","","54739","","57518","","56431","","60166","","62863","","60766","","59579","","57780","","55986","","56604","","59397","","62569",""
"Denmark","Export","Crustaceans","108531","","101313","","116350","","126947","","164205","","173056","","178423","","148301","","136458","","127694","","126480","","106894","","103671","","108059","","103413","","89902",""
"Denmark","Export","Fish","637646","","650058","","649867","","662694","","661030","","572849","","550500","","549724","","585764","","596224","","593963","","553339","","588827","","651031","","676476","","678250",""
