"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Australia","Export","Crustaceans","29353","","28925","","24458","","24004","","25430","","23858","","20850","","16082","","16667","","14340","","14396","","13159","","11776","","13941","","16596","","15527",""
"Australia","Export","Fish","29558","","32528","","33459","","29571","","26403","","26100","","24380","","23644","","23162","","24818","","22341","","22196","","18916","","17698","","20663","","31456",""
"Australia","Import","Crustaceans","15943","","18574","","18457","","24757","","28040","","31343","","35451","","33645","","28739","","33435","","35934","","36635","","40657","","38909","","40263","","34964",""
"Australia","Import","Fish","101337","","109051","","112850","","125541","","151767","","125529","","130210","","135254","","140530","","131452","","144639","","143955","","152873","","162312","","162793","","154433",""
"Cook Islands","Export","Fish","14","","6","","631","","771","","464","","1265","","740","","900","F","500","F","400","F","1300","F","1100","F","1774","F","1056","F","1203","F","1378","F"
"Cook Islands","Import","Crustaceans","4","F","5","","3","","3","","2","","6","","6","","10","","24","F","25","F","30","F","34","F","23","F","27","F","19","F","21","F"
"Cook Islands","Import","Fish","135","F","52","","23","","194","","49","","151","","93","","152","","99","F","95","F","129","F","79","F","117","F","110","F","270","F","292","F"
"Fiji","Export","Crustaceans","8","","20","","8","","8","","1","","16","","2","","0","-","0","-","0","-","5","","58","","3","","1","","2","","1",""
"Fiji","Export","Fish","10424","","13120","","15091","","17530","","19452","","21187","","23961","","28892","","36823","","31993","","43782","","36216","","6973","","19150","","20555","","20499",""
"Fiji","Import","Crustaceans","41","","165","","112","","126","","177","","183","","163","","198","","157","","155","","242","","160","","241","","256","","197","","311",""
"Fiji","Import","Fish","8865","","16129","","19515","","35085","","37262","","33738","","23523","","23710","","24446","","22607","","37943","","71989","","80106","","63903","","121406","","67013",""
"French Polynesia","Export","Crustaceans","0","-","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","0","0","-","0","-","0","-","0","0","6","","0","-"
"French Polynesia","Export","Fish","1751","","2801","","1919","","1211","","770","","586","","634","","857","","442","","793","","943","","912","","1556","","1230","","1473","","1776",""
"French Polynesia","Import","Crustaceans","388","","379","","473","","606","","579","","712","","729","","848","","719","","806","","758","","393","","428","","330","","438","","296",""
"French Polynesia","Import","Fish","1526","","1575","","1500","","1574","","1604","","1974","","1543","","1762","","1877","","1784","","1696","","1935","","2120","","1876","","1937","","1756",""
"Kiribati","Export","Crustaceans","2","F","5","F","7","F","5","F","1","F","16","","6","F","0","-","0","-","0","-","0","-","15","F","0","-","0","-","0","-","0","-"
"Kiribati","Export","Fish","7552","F","3511","F","4900","F","4111","F","4531","F","5864","F","5076","F","12241","F","12598","F","23550","F","26819","F","42298","F","54432","F","60870","F","98079","F","101862","F"
"Kiribati","Import","Crustaceans","22","F","0","-","0","-","2","F","0","-","0","0","3","","4","","0","-","0","-","0","0","0","0","4","","0","0","2","F","1","F"
"Kiribati","Import","Fish","372","F","189","F","301","F","550","F","303","F","598","","349","","307","","285","","549","","462","F","687","","241","","141","","220","F","177","F"
"Marshall Islands","Export","Crustaceans","0",".","0","0","22","F","0","-","0","0","0","-","0","-","5","F","0","-","1","F","1","F","3","F","4","F","3","F","15","F","1","F"
"Marshall Islands","Export","Fish","3989","F","11130","F","16476","F","14985","F","21620","F","25528","F","15170","F","20366","F","25489","F","36006","F","40122","F","53219","F","54561","F","57739","F","61576","F","56096","F"
"Marshall Islands","Import","Crustaceans","1","F","2","F","3","F","2","F","18","F","0","-","0","-","0","0","0","-","0","-","100","F","1","F","2","F","10","F","10","F","4","F"
"Marshall Islands","Import","Fish","119","F","101","F","186","F","247","F","339","F","267","F","392","F","410","F","447","F","716","F","1301","F","1150","F","2897","F","1688","F","2702","F","1407","F"
"Micronesia, Fed.States of","Export","Crustaceans","0","-","0","-","2","F","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Micronesia, Fed.States of","Export","Fish","17398","F","14290","F","16975","F","25431","F","23227","F","23233","F","8667","F","12933","F","16481","F","16694","F","19350","F","22428","F","30331","F","19721","F","30934","F","43697","F"
"Micronesia, Fed.States of","Import","Crustaceans","7","F","2","F","0","0","0","-","16","F","4","F","0","-","1","F","1","F","1","F","0","-","2","F","0","-","4","F","0","-","6","F"
"Micronesia, Fed.States of","Import","Fish","1011","F","1412","F","1136","F","1571","F","1506","F","1170","F","928","F","933","F","1064","F","1046","F","1613","F","2097","F","3160","F","2618","F","2315","F","2390","F"
"New Caledonia","Export","Crustaceans","1253","","1755","","1411","","1284","","1516","","1712","","1789","","1307","","1297","","1079","","746","","708","","817","","868","","959","","642",""
"New Caledonia","Export","Fish","967","","1140","","1102","","1650","","1124","","1181","","631","","665","","735","","961","","1139","","861","","809","","805","","655","","611","F"
"New Caledonia","Import","Crustaceans","35","","34","","26","","29","","27","","46","","34","","52","","61","","38","","38","","43","","33","","29","","28","","23",""
"New Caledonia","Import","Fish","1095","","1432","","1134","","1354","","1255","","1309","","1407","","1479","","1822","","1416","","1602","","1529","","1674","","1541","","1387","","1249",""
"New Zealand","Export","Crustaceans","3852","","3043","","3043","","2923","","2575","","3143","","3263","","3089","","3126","","2981","","4110","","3473","","4260","","4260","","3412","","3501",""
"New Zealand","Export","Fish","199170","","196943","","211210","","196075","","198071","","194841","","192943","","190425","","175139","","185387","","222276","","201195","","225498","","223584","","211958","","213938",""
"New Zealand","Import","Crustaceans","2202","","1766","","2261","","2352","","2788","","3773","","3983","","4980","","4336","","3736","","5589","","5067","","6987","","5886","","5243","","4999",""
"New Zealand","Import","Fish","13658","","13931","","12989","","12523","","13182","","15708","","16276","","18764","","20411","","19385","","25897","","22694","","23110","","21183","","21108","","21316",""
"Palau","Export","Fish","58","F","74","F","40","F","17","F","14","F","109","F","221","F","292","F","151","F","124","F","212","F","102","F","90","","106","F","159","F","135",""
"Palau","Import","Crustaceans","2","F","4","F","2","F","0","-","11","F","1","F","33","F","53","","35","","36","","48","","59","","60","F","59","F","98","F","97",""
"Palau","Import","Fish","62","F","86","F","109","F","100","F","107","F","110","F","187","F","341","","371","","346","","257","","261","","279","","323","F","276","","413",""
"Papua New Guinea","Export","Crustaceans","1012","","1151","","739","","811","F","478","F","689","F","450","F","521","F","474","F","239","F","460","F","360","F","192","","164","F","448","F","611","F"
"Papua New Guinea","Export","Fish","27462","F","37058","","43133","","58373","","39598","","36751","F","52804","F","59480","F","49821","F","45974","","59265","F","59205","","60372","","55019","F","51649","F","61669","F"
"Papua New Guinea","Import","Crustaceans","1","","183","","25","","6","","9","","3","F","4","F","4","F","5","F","17","F","9","F","10","","31","","79","F","25","F","69","F"
"Papua New Guinea","Import","Fish","8538","","7025","","10763","","12244","","13716","","14183","F","14496","F","19067","F","17837","F","18411","F","15803","F","10461","","12845","","16463","F","19461","F","26099","F"
"Samoa","Export","Crustaceans","0","0","1","","0","0","0","0","0","0","0","-","0","-","0","-","1","","0","-","0","-","0","-","0","-","1","","0","0","0","-"
"Samoa","Export","Fish","2154","F","1538","","1573","","874","","1959","","1191","","1769","","2711","","3713","","3364","","4097","","1455","","2397","","3184","","1364","","5462",""
"Samoa","Import","Crustaceans","0","-","11","","11","","41","","47","","39","","124","","107","","116","","59","","79","","29","","34","","90","","176","","158",""
"Samoa","Import","Fish","7674","F","4451","","4310","","5545","","3325","","2165","","2761","","3283","","4478","","3445","","4253","","2999","","3974","","2769","","3524","","4634",""
"Solomon Islands","Export","Crustaceans","3","","4","F","0","0","1","","0","0","1","","1","","4","","6","","3","","2","","0","-","0","-","0","-","0","-","0","0"
"Solomon Islands","Export","Fish","13567","F","12521","F","12199","F","20721","F","17487","F","13929","F","21373","","13793","","12144","F","13851","F","14255","F","16096","F","22254","","21647","","34012","F","25024","F"
"Solomon Islands","Import","Crustaceans","16","F","1","F","2","","1","","6","","3","","20","","13","","0","-","0","-","0","-","6","","9","","9","","25","","14","F"
"Solomon Islands","Import","Fish","101","F","334","F","587","","213","","508","","475","","1300","","1778","","1204","F","1024","F","1488","F","851","","721","","1464","","802","","521","F"
"Tonga","Export","Crustaceans","131","","0","-","36","","12","","23","","0","-","1","","0","-","2","","0","-","9","","0","0","0","-","0","0","0","0","0","-"
"Tonga","Export","Fish","993","","346","","2550","","2363","","826","","746","","1036","","1004","","434","","224","","366","","480","","634","","517","","878","","618","F"
"Tonga","Import","Crustaceans","39","","23","","15","","19","","15","","19","","16","","24","","61","","66","","52","","64","","40","","62","","58","","22","F"
"Tonga","Import","Fish","628","","837","","800","","858","","1041","","873","","620","","1126","","774","","1087","","699","","805","","431","","716","","675","","640","F"
"Tuvalu","Export","Crustaceans","3","F","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Tuvalu","Export","Fish","100","F","100","F","395","F","640","F","1501","F","1640","F","1980","F","2320","F","2674","F","2970","F","8812","F","4879","F","5308","F","9687","F","5325","F","4337","F"
"Tuvalu","Import","Crustaceans","0",".","0",".","0","0","0",".","0","0","0","0","0","0","0","-","1","","0","-","2","F","3","F","1","F","0","-","1","F","2","F"
"Tuvalu","Import","Fish","5","F","0","0","19","","12","","36","","36","","16","","29","F","44","","21","F","74","F","62","F","10","F","41","F","10","F","99","F"
