"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Australia","Export","Crustaceans","526335","","449185","","433929","","422722","","461796","","465285","","481745","","437915","","471572","","388895","","442081","","463107","","484039","","565442","","701459","","635745",""
"Australia","Export","Fish","269080","","267243","","288397","","274653","","234399","","233641","","216797","","270104","","251692","","236323","","265120","","306394","","277912","","216830","","216893","","243733",""
"Australia","Import","Crustaceans","134996","","135362","","129594","","165568","","183458","","208941","","245875","","259264","","236254","","254438","","302080","","364809","","389475","","412424","","503517","","359092",""
"Australia","Import","Fish","289245","","292242","","325909","","376995","","399631","","468628","","492222","","628762","","674487","","617870","","703398","","824891","","880861","","931663","","939817","","802564",""
"Cook Islands","Export","Fish","115","","41","","1182","","2558","","2014","","2470","","785","","1116","F","794","F","632","F","1859","F","1617","F","3473","F","2330","F","2931","F","2615","F"
"Cook Islands","Import","Crustaceans","22","F","66","","37","","55","","38","","72","","78","","137","","179","F","180","F","220","F","245","F","323","F","335","F","424","F","300","F"
"Cook Islands","Import","Fish","243","F","351","","286","","618","","310","","578","","449","","538","","429","F","437","F","604","F","371","F","400","F","489","F","945","F","741","F"
"Fiji","Export","Crustaceans","27","","33","","49","","57","","2","","14","F","25","","6","","0","-","2","","12","","675","","23","","18","","19","","16",""
"Fiji","Export","Fish","27111","","34016","","30717","","40150","","45151","","46026","","51293","","57489","","79080","","71568","","93487","","93310","","23564","","40279","","41441","","39956",""
"Fiji","Import","Crustaceans","369","","470","","457","","627","","852","","1053","","920","","925","","1041","","1057","","1771","","1037","","1603","","1392","","1232","","1405",""
"Fiji","Import","Fish","7736","","20502","F","16368","","38942","","38023","","35723","","33546","","32420","","39017","","35310","","56790","","125763","","154474","","110074","","203217","","102218",""
"French Polynesia","Export","Crustaceans","0","-","0","0","8","","0","-","0","-","0","-","0","-","0","-","0","-","0","0","0","-","0","-","0","-","0","0","64","","0","-"
"French Polynesia","Export","Fish","5762","","10866","","9095","","6269","","4095","","4393","","5235","","5604","","3322","","5995","","7048","","6962","","14225","","11639","","12933","","13977",""
"French Polynesia","Import","Crustaceans","4073","","3864","","4091","","5283","","4918","","6276","","7543","","7409","","6875","","6868","","6773","","4197","","4526","","3351","","5238","","2825",""
"French Polynesia","Import","Fish","4032","","4398","","4908","","5638","","6166","","7575","","8155","","7974","","8942","","8348","","7731","","8146","","9507","","8309","","8931","","7422",""
"Kiribati","Export","Crustaceans","42","F","93","F","110","F","61","F","28","F","161","","120","F","3","","0","-","0","-","0","-","216","F","0","-","0","-","0","-","0","-"
"Kiribati","Export","Fish","5571","F","3262","F","3622","F","3489","F","3994","F","4524","F","5198","F","13087","F","15526","F","25470","F","28503","F","46973","F","63010","F","72449","F","133276","F","121362","F"
"Kiribati","Import","Crustaceans","57","F","0","-","1","","11","F","3","","6","","14","","7","","0","-","4","","0","0","0","0","25","","0","0","16","F","19","F"
"Kiribati","Import","Fish","312","F","128","F","309","F","798","F","389","F","1113","","784","","1103","","642","","566","","534","F","1082","","876","","650","","676","F","424","F"
"Marshall Islands","Export","Crustaceans","0",".","2","","9","F","0","-","3","","1","","1","","18","F","0","-","14","F","13","F","29","F","41","F","33","F","90","F","12","F"
"Marshall Islands","Export","Fish","2696","F","8090","F","16055","F","16098","F","28866","F","30041","F","17761","F","27602","F","44614","F","44857","F","53684","F","89134","F","126088","F","119719","F","96006","F","72163","F"
"Marshall Islands","Import","Crustaceans","3","F","4","F","21","","42","","95","F","1","","1","","12","","3","","4","","364","F","11","F","21","F","134","F","188","F","50","F"
"Marshall Islands","Import","Fish","188","F","184","F","328","F","665","F","728","F","617","F","526","F","922","F","1392","F","1612","F","1958","F","1906","F","5314","F","3605","F","5598","F","2634","F"
"Micronesia, Fed.States of","Export","Crustaceans","0","-","0","-","12","F","1","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1","F","0","-","0","-"
"Micronesia, Fed.States of","Export","Fish","27137","F","27040","F","26112","F","28017","F","29338","F","24910","F","9995","F","20638","F","26566","F","24178","F","27932","F","39180","F","63045","F","36024","F","54070","F","67294","F"
"Micronesia, Fed.States of","Import","Crustaceans","125","F","5","F","1","","5","","126","F","6","","3","","7","","8","","10","","11","","14","","7","F","34","F","20","F","84","F"
"Micronesia, Fed.States of","Import","Fish","2103","F","2149","F","2439","F","3275","F","3686","F","2656","F","1893","F","1781","F","3137","F","3932","F","5223","F","7940","F","15406","F","13160","F","9143","F","7803","F"
"New Caledonia","Export","Crustaceans","12757","","14610","","16500","","17006","","23365","","24800","","27466","","17544","","19727","","15487","","11906","","10556","","12331","","14509","","15938","","11198",""
"New Caledonia","Export","Fish","4675","","6204","","4528","","7615","","4538","","4196","","2740","","2620","","3624","","5228","","5416","","4780","","4839","","3380","","3195","","4417","F"
"New Caledonia","Import","Crustaceans","193","","168","","153","","208","","207","","481","","300","","410","","574","","367","","285","","433","","320","","379","","393","","246",""
"New Caledonia","Import","Fish","3143","","3767","","3830","","5000","","5579","","6177","","7762","","7667","","10088","","6809","","9564","","8866","","10180","","10059","","9826","","9258",""
"New Zealand","Export","Crustaceans","70358","","64732","","71454","","77515","","75450","","94851","","98492","","105824","","135006","","128457","","177664","","192504","","200412","","222214","","241942","","232042",""
"New Zealand","Export","Fish","424194","","410396","","445010","","433816","","474463","","471946","","492095","","525337","","496589","","513625","","598151","","644104","","709000","","682628","","653591","","590946",""
"New Zealand","Import","Crustaceans","12485","","10074","","12735","","14024","","16909","","22229","","22042","","29114","","28692","","24135","","32127","","38234","","40443","","46382","","56265","","45060",""
"New Zealand","Import","Fish","28772","","32903","","31522","","30534","","36386","","45133","","50324","","57258","","73832","","66562","","72263","","85642","","86079","","86427","","107315","","101488",""
"Palau","Export","Fish","341","F","388","F","302","F","206","","188","","386","F","652","F","689","F","203","F","131","F","238","F","95","F","159","","295","F","503","F","458",""
"Palau","Import","Crustaceans","7","F","11","F","14","F","11","","95","F","28","F","232","F","399","","284","","319","","387","","459","","480","F","516","F","790","F","789",""
"Palau","Import","Fish","159","F","214","F","233","F","199","F","252","F","278","F","409","F","828","","1011","","968","","839","","900","","1249","","1172","F","1096","","1283",""
"Papua New Guinea","Export","Crustaceans","9384","","9563","","8118","","8796","F","5801","F","7337","F","4789","F","7535","F","7217","F","2233","F","4452","F","4397","F","2142","","3525","F","7183","F","8776","F"
"Papua New Guinea","Export","Fish","45446","F","67622","","79470","","107060","","76945","","68339","F","84529","F","114519","F","137403","F","146457","","120995","F","160257","","113595","","146828","F","125222","F","138717","F"
"Papua New Guinea","Import","Crustaceans","14","","78","","48","","52","","41","","19","F","24","F","32","F","45","F","122","F","79","F","169","","219","","600","F","348","F","766","F"
"Papua New Guinea","Import","Fish","10983","","5961","","8823","","9729","","12418","","10655","F","17703","F","21415","F","27793","F","26689","F","24765","F","25023","","21985","","31579","F","37648","F","44424","F"
"Samoa","Export","Crustaceans","4","","10","","2","","1","","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1","","0","0","0","-"
"Samoa","Export","Fish","7418","F","14916","","12793","","7084","","10548","","9419","","8126","","8735","","5581","","7624","","13147","","7793","","7989","","5542","","2520","","13428",""
"Samoa","Import","Crustaceans","4","","37","","64","","61","","98","","112","","129","","151","","145","","110","","134","","178","","121","","268","F","347","","256",""
"Samoa","Import","Fish","8182","F","3501","","3797","","4649","","4406","","4412","","5869","","6294","","6384","","4746","","5576","","6255","","6676","","7097","","6159","","8198",""
"Solomon Islands","Export","Crustaceans","36","","65","F","4","","5","","6","","6","","6","","45","","89","","46","","24","","0","-","0","-","0","-","0","-","0","0"
"Solomon Islands","Export","Fish","11616","F","12758","F","8409","F","13916","F","13756","F","11184","F","22379","","20792","","19342","F","18321","F","18374","F","21969","F","39439","","34594","","48511","F","37307","F"
"Solomon Islands","Import","Crustaceans","226","F","10","F","31","","18","","25","","36","","110","","83","","0","-","0","-","0","-","60","","124","","177","","264","","131","F"
"Solomon Islands","Import","Fish","109","F","263","F","1057","","311","","527","","591","","1691","","2235","","2426","F","2185","F","3572","F","2444","","1842","","4433","","2129","","1974","F"
"Tonga","Export","Crustaceans","661","","6","","57","","23","","60","","2","","5","","0","-","8","","0","-","16","","1","","0","-","0","0","0","0","1","F"
"Tonga","Export","Fish","2915","","1184","","5151","","4399","","2919","","2158","","3466","","2198","","2200","","1991","","2530","","3998","","2572","","1448","","3328","","4112","F"
"Tonga","Import","Crustaceans","89","","51","","21","","20","","28","","59","","51","","75","","181","","204","","226","","261","","186","","265","","200","","134","F"
"Tonga","Import","Fish","908","","1127","","1126","","1243","","1333","","1376","","1201","","2062","","1071","","1362","","1247","","1859","","1141","","1409","","1619","","1611","F"
"Tuvalu","Export","Crustaceans","12","F","0","-","0","-","0","-","0","-","0","-","0","-","0","-","2","","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Tuvalu","Export","Fish","300","F","300","F","623","F","1121","F","1282","F","1786","F","2910","F","3437","F","2923","F","2937","F","11667","F","8890","F","14378","F","18561","F","8317","F","5486","F"
"Tuvalu","Import","Crustaceans","0",".","0",".","0","0","0",".","2","","0","0","0","0","1","","15","","0","-","7","F","16","F","7","F","3","F","9","F","8","F"
"Tuvalu","Import","Fish","11","F","2","","29","","14","","76","","95","","57","","102","F","105","","46","F","158","F","174","F","53","F","168","F","77","F","300","F"
"Vanuatu","Export","Crustaceans","13","","16","F","2","","9","F","3","","2","","3","","0","-","0","-","0","-","14","","1","","0","-","78","F","26","F","3","F"
"Vanuatu","Export","Fish","58712","F","33678","F","44922","F","51715","F","74624","F","83313","F","72455","F","84101","F","67370","F","69117","F","60119","F","45197","F","67653","F","60596","F","73608","F","89568","F"
"Vanuatu","Import","Crustaceans","79","","35","F","36","F","32","F","74","F","77","F","53","","142","","166","","274","","278","","288","","205","F","505","F","681","F","230","F"
"Vanuatu","Import","Fish","1354","","388","F","660","F","1563","F","1244","F","1601","F","2148","","2439","","2933","","2993","","2877","","4463","","4022","F","4523","F","4753","F","4796","F"
