country,state,county,lat,lng,type,measure,beds,population,year,source,source_url
IN,AN,,11.7401,92.6586,TOTAL,1000HAB,2.825081,380520,2016,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,AP,,15.9129,79.74,TOTAL,1000HAB,0.436072,53060000,2017,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,AR,,28.218,94.7278,TOTAL,1000HAB,1.427893,1683600,2018,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,AS,,26.2006,92.9376,TOTAL,1000HAB,0.497753,34438756,2017,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,BR,,25.0961,85.3131,TOTAL,1000HAB,0.094838,122988691,2018,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,CH,,30.7333,76.7794,TOTAL,1000HAB,3.305227,1136382,2018,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,CT,,21.2787,81.8661,TOTAL,1000HAB,0.333759,28200000,2016,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,DN,,20.1809,73.0169,TOTAL,1000HAB,1.501793,412174,2018,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,DD,,20.4283,72.8397,TOTAL,1000HAB,0.81519,294410,2015,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,DL,,28.7041,77.1025,TOTAL,1000HAB,0.92711,26300000,2015,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,GA,,15.2993,74.124,TOTAL,1000HAB,1.996611,1508556,2018,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,GJ,,22.2587,71.1924,TOTAL,1000HAB,0.29642,68052000,2018,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,HR,,29.0588,76.0856,TOTAL,1000HAB,0.396725,28332000,2016,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,HP,,31.1048,77.1734,TOTAL,1000HAB,1.699184,7297034,2017,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,JK,,33.7782,76.5762,TOTAL,1000HAB,0.509006,14324000,2018,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,JH,,23.6102,85.2799,TOTAL,1000HAB,0.298536,36122977,2015,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,KA,,15.3173,75.7139,TOTAL,1000HAB,1.031376,67600000,2018,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,KL,,10.8505,76.2711,TOTAL,1000HAB,1.018546,37312000,2017,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,LD,,8.295441,73.048973,TOTAL,1000HAB,3.614458,83000,2016,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,MP,,22.9734,78.6569,TOTAL,1000HAB,0.39061,79634400,2018,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,MH,,19.7515,75.7139,TOTAL,1000HAB,0.433412,118700000,2015,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,MN,,24.6637,93.9063,TOTAL,1000HAB,0.492069,2900000,2014,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,ML,,25.467,91.3662,TOTAL,1000HAB,1.284438,3470000,2017,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,MZ,,23.1645,92.9376,TOTAL,1000HAB,1.322517,1510000,2017,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,NL,,26.1584,94.5624,TOTAL,1000HAB,0.643836,2920000,2015,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,OR,,20.9517,85.0985,TOTAL,1000HAB,0.402674,45990000,2018,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,PY,,11.9416,79.8083,TOTAL,1000HAB,2.605109,1370000,2016,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,PB,,31.1471,75.3412,TOTAL,1000HAB,0.599285,29924000,2017,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,RJ,,27.0238,74.2179,TOTAL,1000HAB,0.621999,75649600,2018,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,SK,,27.533,88.5122,TOTAL,1000HAB,2.427396,642664,2017,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,TN,,11.1271,78.6569,TOTAL,1000HAB,971.725071,79788,2017,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,TG,,18.1124,79.0193,TOTAL,1000HAB,0.536375,39120000,2017,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,TR,,23.9408,91.9882,TOTAL,1000HAB,1.206473,3671032,2018,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,UP,,26.8467,80.9462,TOTAL,1000HAB,0.344954,221073168,2017,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,UT,,30.0668,79.0193,TOTAL,1000HAB,0.832877,10220000,2015,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,WB,,22.9868,87.855,TOTAL,1000HAB,0.83492,94100000,2015,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
IN,IN,,20.5937,78.9629,TOTAL,1000HAB,0.527706,1353000000,2018,nhp,http://www.cbhidghs.nic.in/showfile.php?lid=1147
