country,state,county,lat,lng,type,measure,beds,population,year,source,source_url
ES,AN,,37.5443,4.7278,ICU,1000HAB,0.076332,8332000,2011,medintensiva.org,https://www.medintensiva.org/en-pdf-S2173572713000878
ES,AR,,41.5976,0.9057,ICU,1000HAB,0.113095,1344000,2011,medintensiva.org,https://www.medintensiva.org/en-pdf-S2173572713000878
ES,AS,,43.3614,5.8593,ICU,1000HAB,0.168216,1076000,2011,medintensiva.org,https://www.medintensiva.org/en-pdf-S2173572713000878
ES,IB,,39.710358,2.995148,ICU,1000HAB,0.07967,1092000,2011,medintensiva.org,https://www.medintensiva.org/en-pdf-S2173572713000878
ES,CN,,28.2916,16.6291,ICU,1000HAB,0.09217,2104800,2011,medintensiva.org,https://www.medintensiva.org/en-pdf-S2173572713000878
ES,CB,,43.1828,3.9878,ICU,1000HAB,0.093084,590867,2011,medintensiva.org,https://www.medintensiva.org/en-pdf-S2173572713000878
ES,CM,,39.2796,3.0977,ICU,1000HAB,0.075274,2099000,2011,medintensiva.org,https://www.medintensiva.org/en-pdf-S2173572713000878
ES,CL,,41.8357,4.3976,ICU,1000HAB,0.090373,2545000,2011,medintensiva.org,https://www.medintensiva.org/en-pdf-S2173572713000878
ES,CT,,41.5912,1.5209,ICU,1000HAB,0.098225,7493000,2011,medintensiva.org,https://www.medintensiva.org/en-pdf-S2173572713000878
ES,MD,,40.4168,3.7038,ICU,1000HAB,0.140444,6394000,2011,medintensiva.org,https://www.medintensiva.org/en-pdf-S2173572713000878
ES,VC,,39.4699,0.3763,ICU,1000HAB,0.182884,2559000,2011,medintensiva.org,https://www.medintensiva.org/en-pdf-S2173572713000878
ES,EX,,39.4937,6.0679,ICU,1000HAB,0.108893,1102000,2011,medintensiva.org,https://www.medintensiva.org/en-pdf-S2173572713000878
ES,GA,,42.5751,8.1339,ICU,1000HAB,0.170213,2773000,2011,medintensiva.org,https://www.medintensiva.org/en-pdf-S2173572713000878
ES,RI,,42.2871,2.5396,ICU,1000HAB,0.052931,321173,2011,medintensiva.org,https://www.medintensiva.org/en-pdf-S2173572713000878
ES,MC,,37.9922,1.1307,ICU,1000HAB,0.082248,1459000,2011,medintensiva.org,https://www.medintensiva.org/en-pdf-S2173572713000878
ES,NC,,30.4109,86.9123,ICU,1000HAB,0.086329,637100,2011,medintensiva.org,https://www.medintensiva.org/en-pdf-S2173572713000878
ES,PV,,42.9896,2.6189,ICU,1000HAB,0.106276,2183000,2011,medintensiva.org,https://www.medintensiva.org/en-pdf-S2173572713000878
