Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank
Norway,0.957,82.4,18.1,12.9,"66,494",7,1
Ireland,0.955,82.3,18.7,12.7,"68,371",4,3
Switzerland,0.955,83.8,16.3,13.4,"69,394",3,2
"Hong Kong, China (SAR)",0.949,84.9,16.9,12.3,"62,985",7,4
Iceland,0.949,83,19.1,12.8,"54,682",14,4
Germany,0.947,81.3,17,14.2,"55,314",11,4
Sweden,0.945,82.8,19.5,12.5,"54,508",12,7
Australia,0.944,83.4,22,12.7,"48,085",15,7
Netherlands,0.944,82.3,18.5,12.4,"57,707",6,9
Denmark,0.94,80.9,18.9,12.6,"58,662",2,10
Finland,0.938,81.9,19.4,12.8,"48,511",11,11
Singapore,0.938,83.6,16.4,11.6,"88,155",-8,12
United Kingdom,0.932,81.3,17.5,13.2,"46,071",13,14
Belgium,0.931,81.6,19.8,12.1,"52,085",6,13
New Zealand,0.931,82.3,18.8,12.8,"40,799",18,14
Canada,0.929,82.4,16.2,13.4,"48,527",5,14
United States,0.926,78.9,16.3,13.4,"63,826",-7,17
Austria,0.922,81.5,16.1,12.5,"56,197",-3,18
Israel,0.919,83,16.2,13,"40,187",14,21
Japan,0.919,84.6,15.2,12.9,"42,932",9,20
Liechtenstein,0.919,80.7,14.9,12.5,"131,032",-18,19
Slovenia,0.917,81.3,17.6,12.7,"38,080",15,24
Korea (Republic of),0.916,83,16.5,12.2,"43,044",4,22
Luxembourg,0.916,82.3,14.3,12.3,"72,712",-19,23
Spain,0.904,83.6,17.6,10.3,"40,975",6,25
France,0.901,82.7,15.6,11.5,"47,173",-1,26
Czechia,0.9,79.4,16.8,12.7,"38,109",9,26
Malta,0.895,82.5,16.1,11.3,"39,555",6,28
Estonia,0.892,78.8,16,13.1,"36,019",9,30
Italy,0.892,83.5,16.1,10.4,"42,776",0,29
United Arab Emirates,0.89,78,14.3,12.1,"67,462",-24,30
Greece,0.888,82.2,17.9,10.6,"30,155",14,33
Cyprus,0.887,81,15.2,12.2,"38,207",2,32
Lithuania,0.882,75.9,16.6,13.1,"35,799",5,35
Poland,0.88,78.7,16.3,12.5,"31,623",8,34
Andorra,0.868,81.9,13.3,10.5,"56,000",-20,36
Latvia,0.866,75.3,16.2,13,"30,282",8,37
Portugal,0.864,82.1,16.5,9.3,"33,967",2,38
Slovakia,0.86,77.5,14.5,12.7,"32,113",3,39
Hungary,0.854,76.9,15.2,12,"31,329",4,42
Saudi Arabia,0.854,75.1,16.1,10.2,"47,495",-16,40
Bahrain,0.852,77.3,16.3,9.5,"42,522",-12,41
Chile,0.851,80.2,16.4,10.6,"23,261",16,43
Croatia,0.851,78.5,15.2,11.4,"28,070",6,44
Qatar,0.848,80.2,12,9.7,"92,418",-43,45
Argentina,0.845,76.7,17.7,10.9,"21,190",16,46
Brunei Darussalam,0.838,75.9,14.3,9.1,"63,965",-38,47
Montenegro,0.829,76.9,15,11.6,"21,399",13,48
Romania,0.828,76.1,14.3,11.1,"29,497",-1,49
Palau,0.826,73.9,15.8,12.5,"19,317",15,52
Kazakhstan,0.825,73.6,15.6,11.9,"22,857",9,53
Russian Federation,0.824,72.6,15,12.2,"26,157",2,49
Belarus,0.823,74.8,15.4,12.3,"18,546",14,49
Turkey,0.82,77.7,16.6,8.1,"27,701",-4,54
Uruguay,0.817,77.9,16.8,8.9,"20,064",9,56
Bulgaria,0.816,75.1,14.4,11.4,"23,325",2,55
Panama,0.815,78.5,12.9,10.2,"29,558",-10,58
Bahamas,0.814,73.9,12.9,11.4,"33,747",-17,58
Barbados,0.814,79.2,15.4,10.6,"14,936",20,60
Oman,0.813,77.9,14.2,9.7,"25,944",-5,56
Georgia,0.812,73.8,15.3,13.1,"14,429",22,63
Costa Rica,0.81,80.3,15.7,8.7,"18,486",6,61
Malaysia,0.81,76.2,13.7,10.4,"27,534",-11,63
Kuwait,0.806,75.5,14.2,7.3,"58,590",-51,62
Serbia,0.806,76,14.7,11.2,"17,192",8,65
Mauritius,0.804,75,15.1,9.5,"25,266",-10,66
Seychelles,0.796,73.4,14.1,10,"26,903",-15,69
Trinidad and Tobago,0.796,73.5,13,11,"26,231",-14,67
Albania,0.795,78.6,14.7,10.1,"13,998",18,68
Cuba,0.783,78.8,14.3,11.8,"8,621",45,71
Iran (Islamic Republic of),0.783,76.7,14.8,10.3,"12,447",26,70
Sri Lanka,0.782,77,14.1,10.6,"12,707",23,73
Bosnia and Herzegovina,0.78,77.4,13.8,9.8,"14,872",7,76
Grenada,0.779,72.4,16.9,9,"15,641",3,74
Mexico,0.779,75.1,14.8,8.8,"19,160",-8,76
Saint Kitts and Nevis,0.779,74.8,13.8,8.7,"25,038",-17,75
Ukraine,0.779,72.1,15.1,11.4,"13,216",19,78
Antigua and Barbuda,0.778,77,12.8,9.3,"20,895",-15,80
Peru,0.777,76.7,15,9.7,"12,252",19,78
Thailand,0.777,77.2,15,7.9,"17,781",-10,80
Armenia,0.776,75.1,13.1,11.3,"13,894",9,72
North Macedonia,0.774,75.8,13.6,9.8,"15,865",-7,82
Colombia,0.767,77.3,14.4,8.5,"14,257",3,83
Brazil,0.765,75.9,15.4,8,"14,263",1,84
China,0.761,76.9,14,8.1,"16,057",-11,87
Ecuador,0.759,77,14.6,8.9,"11,044",19,84
Saint Lucia,0.759,76.2,14,8.5,"14,616",-4,86
Azerbaijan,0.756,73,12.9,10.6,"13,784",3,88
Dominican Republic,0.756,74.1,14.2,8.1,"17,591",-18,89
Moldova (Republic of),0.75,71.9,11.5,11.7,"13,664",2,91
Algeria,0.748,76.9,14.6,8,"11,174",13,91
Lebanon,0.744,78.9,11.3,8.7,"14,655",-11,90
Fiji,0.743,67.4,14.4,10.9,"13,009",1,93
Dominica,0.742,78.2,13,8.1,"11,884",7,94
Maldives,0.74,78.9,12.2,7,"17,417",-24,98
Tunisia,0.74,76.7,15.1,7.2,"10,414",14,94
Saint Vincent and the Grenadines,0.738,72.5,14.1,8.8,"12,378",0,96
Suriname,0.738,71.7,13.2,9.3,"14,324",-13,98
Mongolia,0.737,69.9,14.2,10.3,"10,839",7,97
Botswana,0.735,69.6,12.8,9.6,"16,437",-27,102
Jamaica,0.734,74.5,13.1,9.7,"9,319",13,98
Jordan,0.729,74.5,11.4,10.5,"9,858",8,103
Paraguay,0.728,74.3,12.7,8.5,"12,224",-4,104
Tonga,0.725,70.9,14.4,11.2,"6,365",25,105
Libya,0.724,72.9,12.9,7.6,"15,688",-29,106
Uzbekistan,0.72,71.7,12.1,11.8,"7,142",17,107
Bolivia (Plurinational State of),0.718,71.5,14.2,9,"8,554",9,108
Indonesia,0.718,71.7,13.6,8.2,"11,459",-4,110
Philippines,0.718,71.2,13.1,9.4,"9,778",4,111
Belize,0.716,74.6,13.1,9.9,"6,382",18,108
Samoa,0.715,73.3,12.7,10.8,"6,309",19,113
Turkmenistan,0.715,68.2,11.2,10.3,"14,909",-32,112
Venezuela (Bolivarian Republic of),0.711,72.1,12.8,10.3,"7,045",11,101
South Africa,0.709,64.1,13.8,10.2,"12,129",-14,115
"Palestine, State of",0.708,74.1,13.4,9.2,"6,417",12,114
Egypt,0.707,72,13.3,7.4,"11,466",-14,117
Marshall Islands,0.704,74.1,12.4,10.9,"5,039",21,116
Viet Nam,0.704,75.4,12.7,8.3,"7,433",3,118
Gabon,0.703,66.5,13,8.7,"13,930",-30,119
Kyrgyzstan,0.697,71.5,13,11.1,"4,864",23,120
Morocco,0.686,76.7,13.7,5.6,"7,368",1,121
Guyana,0.682,69.9,11.4,8.5,"9,455",-10,121
Iraq,0.674,70.6,11.3,7.3,"10,801",-16,123
El Salvador,0.673,73.3,11.7,6.9,"8,359",-6,124
