Name,Reign start,Reign end,Branch
Sabah I bin Jaber,1752,1776,Before Mubarak Al-Sabah
Abdullah I Al-Sabah,1776,1814,Before Mubarak Al-Sabah
Jaber I Al-Sabah,1814,1859,Before Mubarak Al-Sabah
Sabah II Al-Sabah,1859,1866,Before Mubarak Al-Sabah
Abdullah II Al-Sabah,1866,1892,Before Mubarak Al-Sabah
Muhammad Al-Sabah,1892,1896,Before Mubarak Al-Sabah
Mubarak Al-Sabah,1896,1915,Before Mubarak Al-Sabah
Jaber II Al-Sabah,1915,1917,Before Mubarak Al-Sabah
Salim Al-Mubarak Al-Sabah,1917,1921,Al Salim
Ahmad Al-Jaber Al-Sabah,1921,1950,Al Ahmad
Abdullah Al-Salim Al-Sabah,1950,1965,Al Salim
Sabah Al-Salim Al-Sabah,1965,1977,Al Salim
Jaber Al-Ahmad Al-Sabah,1977,2006,Al Ahmad
Saad Al-Salim Al-Sabah,2005,2006,Al Salim
Sabah Al-Ahmad Al-Jaber Al-Sabah,2006,2020,Al Ahmad
Nawaf Al-Ahmad Al-Jaber Al-Sabah,2020,2021,Al Ahmad
