Country name,Regional indicator,Avg Ladder Score,Dystopia + residual,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Healthy life expectancy,Explained by: Log GDP per capita,Explained by: Perceptions of corruption,Explained by: Social support,Freedom to make life choices,Generosity,Healthy life expectancy,Ladder score,Ladder score in Dystopia,Logged GDP per capita,Lowerwhisker,Number of Records,Perceptions of corruption,Social support,Standard error of ladder score,Upperwhisker
Finland,Western Europe,7.81,2.762835026,0.66,0.159670442,0.961271405,1.285189509,0.477857262,1.499525905,0.949172199,-0.059482019,71.900825500,7.81,1.972316742,10.639266968,7.747633934,1,0.195444584,0.954329729,0.031156305,7.869766235
Denmark,Western Europe,7.65,2.432740688,0.67,0.242793396,0.979332566,1.326948524,0.495260328,1.503449202,0.951444268,0.066201776,72.402503967,7.65,1.972316742,10.774001122,7.579955101,1,0.168489456,0.955990791,0.033492286,7.711244583
Switzerland,Western Europe,7.56,2.350267410,0.63,0.269055754,1.040533185,1.390774250,0.407945901,1.472403407,0.921336651,0.105911039,74.102447510,7.56,1.972316742,10.979932785,7.491271973,1,0.303728431,0.942846596,0.035014171,7.628527641
Iceland,Western Europe,7.50,2.460688114,0.66,0.362330228,1.000843406,1.326501608,0.144540772,1.547567487,0.948891878,0.246944219,73,7.50,1.972316742,10.772559166,7.387652874,1,0.711709738,0.974669576,0.059615862,7.621346951
Norway,Western Europe,7.49,2.168266296,0.67,0.287985086,1.008071899,1.424207330,0.434100568,1.495172501,0.955750287,0.134532630,73.200782776,7.49,1.972316742,11.087803841,7.419718742,1,0.263218194,0.952486575,0.034837384,7.556281090
Netherlands,Western Europe,7.45,2.352117062,0.61,0.336317569,0.975675344,1.338946342,0.368569762,1.463645935,0.908547819,0.207612440,72.300918579,7.45,1.972316742,10.812711716,7.394428253,1,0.364717126,0.939138830,0.027791750,7.503372192
Sweden,Western Europe,7.35,2.246299267,0.65,0.272827893,0.986470461,1.322235227,0.442066371,1.433347702,0.939144194,0.111614622,72.600769043,7.35,1.972316742,10.758793831,7.282480717,1,0.250880182,0.926311195,0.036234196,7.424519062
New Zealand,North America and ANZ,7.30,2.128108025,0.65,0.325726211,1.008138299,1.242317915,0.461268276,1.487218380,0.936217487,0.191598073,73.202629089,7.30,1.972316742,10.500943184,7.222247601,1,0.221138850,0.949118972,0.039465468,7.376952648
Austria,Western Europe,7.29,2.398446083,0.60,0.255509764,1.000933528,1.317285538,0.281256139,1.437444925,0.899989486,0.085429221,73.002502441,7.29,1.972316742,10.742823601,7.228804111,1,0.499954879,0.928045869,0.033365164,7.359595776
Luxembourg,Western Europe,7.24,2.153700352,0.61,0.195953920,0.986442685,1.536676049,0.367041469,1.387528419,0.905636430,-0.004620588,72.599998474,7.24,1.972316742,11.450680733,7.177030563,1,0.367084295,0.906912208,0.030851794,7.297969818
Canada,North America and ANZ,7.23,2.195269108,0.64,0.281528920,1.022501945,1.301647663,0.351701856,1.435391903,0.933913231,0.124770768,73.601600647,7.23,1.972316742,10.692368507,7.152905464,1,0.390843362,0.927176654,0.040405460,7.311294556
Australia,North America and ANZ,7.22,2.129804134,0.62,0.324973613,1.022607684,1.310396433,0.335996419,1.477146268,0.915431738,0.190460160,73.604537964,7.22,1.972316742,10.720596313,7.140791416,1,0.415169120,0.944854617,0.041841116,7.304808140
United Kingdom,Western Europe,7.16,2.236721992,0.53,0.373433441,0.975700080,1.273061037,0.322601646,1.457844973,0.834743679,0.263732493,72.301605225,7.16,1.972316742,10.600134850,7.091662884,1,0.435915917,0.936682820,0.037161909,7.237337589
Israel,Middle East and North Africa,7.13,2.713358402,0.42,0.266861796,1.008052945,1.216463685,0.099898450,1.403256774,0.747580588,0.102593720,73.200256348,7.13,1.972316742,10.417525291,7.045270443,1,0.780855060,0.913571239,0.042515181,7.211929798
Costa Rica,Latin America and Caribbean,7.12,2.953135014,0.65,0.131266311,0.939635336,0.981107712,0.096362092,1.374853611,0.934738934,-0.102429710,71.299850464,7.12,1.972316742,9.658156395,7.033560276,1,0.786332428,0.901545942,0.044816118,7.209239483
Ireland,Western Europe,7.09,1.943878174,0.59,0.295426995,0.975670695,1.446886778,0.373433262,1.470596433,0.886982977,0.145784974,72.300788879,7.09,1.972316742,11.160978317,7.015567780,1,0.357184172,0.942081571,0.039863452,7.171832085
Germany,Western Europe,7.08,2.295249462,0.56,0.252037704,0.972114801,1.314184546,0.309362292,1.368543744,0.867371082,0.080179386,72.202018738,7.08,1.972316742,10.732818604,7.006004810,1,0.456422031,0.898874462,0.035609804,7.145595074
United States,North America and ANZ,6.94,2.344124794,0.53,0.298143059,0.831618011,1.373986840,0.152284741,1.404786706,0.842619538,0.149891734,68.299499512,6.94,1.972316742,10.925768852,6.846860409,1,0.699715316,0.914219022,0.047316168,7.032339573
Czech Republic,Central & Eastern Europe,6.91,2.796808243,0.51,0.046325929,0.894564450,1.212322354,0.049803223,1.405286670,0.818537354,-0.230861515,70.047935486,6.91,1.972316742,10.404163361,6.826833248,1,0.858446240,0.914430678,0.042891297,6.994966984
Belgium,Western Europe,6.86,2.348626614,0.50,0.146966159,0.964901149,1.295842767,0.208724052,1.398677588,0.813582063,-0.078691199,72.001647949,6.86,1.972316742,10.673639297,6.796133995,1,0.612297952,0.911632538,0.034370355,6.930866241
United Arab Emirates,Middle East and North Africa,6.79,2.166965961,0.65,0.280655980,0.787814438,1.431086421,0.220213518,1.251170993,0.941345513,0.123450845,67.082786560,6.79,1.972316742,11.109998703,6.711031437,1,0.594502211,0.849181116,0.040698379,6.870568752
Malta,Western Europe,6.77,1.952012062,0.63,0.341180831,0.972042024,1.252513289,0.178864077,1.442956924,0.924911439,0.214965805,72.199996948,6.77,1.972316742,10.533838272,6.688601971,1,0.658547282,0.930379510,0.042958103,6.856997967
France,Western Europe,6.66,2.053198338,0.51,0.112607703,1.029714227,1.268129349,0.227303237,1.458839178,0.825467646,-0.130641967,73.801933289,6.66,1.972316742,10.584222794,6.590149403,1,0.583521128,0.937103748,0.037576791,6.737450123
Mexico,Latin America and Caribbean,6.47,2.662540197,0.55,0.083094485,0.831601024,1.024387479,0.083133668,1.226333499,0.858709276,-0.175266623,68.299026489,6.47,1.972316742,9.797797203,6.370680332,1,0.806821585,0.838665426,0.048122469,6.559319973
