year,new cases,source,URL
1995,"529,376",Leprosy Review,https://pdfs.semanticscholar.org/8764/dca28755d40bf6a158d6b837b0b31c1b435d.pdf
1996,"566,567",Leprosy Review,https://pdfs.semanticscholar.org/8764/dca28755d40bf6a158d6b837b0b31c1b435d.pdf
1997,"684,961",Leprosy Review,https://pdfs.semanticscholar.org/8764/dca28755d40bf6a158d6b837b0b31c1b435d.pdf
1998,"804,347",Leprosy Review,https://pdfs.semanticscholar.org/8764/dca28755d40bf6a158d6b837b0b31c1b435d.pdf
1999,"738,112",Leprosy Review,https://pdfs.semanticscholar.org/8764/dca28755d40bf6a158d6b837b0b31c1b435d.pdf
2000,"719,219",Leprosy Review,https://pdfs.semanticscholar.org/8764/dca28755d40bf6a158d6b837b0b31c1b435d.pdf
2001,"763,262",Leprosy Review,https://pdfs.semanticscholar.org/8764/dca28755d40bf6a158d6b837b0b31c1b435d.pdf
2002,"620,638",Leprosy Review,https://pdfs.semanticscholar.org/8764/dca28755d40bf6a158d6b837b0b31c1b435d.pdf
2003,"514,718",Leprosy Review,https://pdfs.semanticscholar.org/8764/dca28755d40bf6a158d6b837b0b31c1b435d.pdf
2004,"407,791",Leprosy Review,https://pdfs.semanticscholar.org/8764/dca28755d40bf6a158d6b837b0b31c1b435d.pdf
2005,"296,479",WHO,http://apps.who.int/gho/data/node.main.A1639?lang=en
2006,"258,980",WHO,http://apps.who.int/gho/data/node.main.A1639?lang=en
2007,"252,541",WHO,http://apps.who.int/gho/data/node.main.A1639?lang=en
2008,"249,018",WHO,http://apps.who.int/gho/data/node.main.A1639?lang=en
2009,"244,797",WHO,http://apps.who.int/gho/data/node.main.A1639?lang=en
2010,"228,488",WHO,http://apps.who.int/gho/data/node.main.A1639?lang=en
2011,"224,344",WHO,http://apps.who.int/gho/data/node.main.A1639?lang=en
2012,"232,847",WHO,http://apps.who.int/gho/data/node.main.A1639?lang=en
2013,"215,636",WHO,http://apps.who.int/gho/data/node.main.A1639?lang=en
2014,"213,861",WHO,http://apps.who.int/gho/data/node.main.A1639?lang=en
2015,"211,945",WHO,http://apps.who.int/gho/data/node.main.A1639?lang=en
2016,"217,927",WHO,http://apps.who.int/gho/data/node.main.A1639?lang=en
2017,"210,973",WHO,http://apps.who.int/gho/data/node.main.A1639?lang=en
2018,"208,613",WHO,http://apps.who.int/gho/data/node.main.A1639?lang=en
