"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAMATH","BOY","MEANSCORE","A","2003",527,
"AUS","PISAMATH","BOY","MEANSCORE","A","2006",527,
"AUS","PISAMATH","BOY","MEANSCORE","A","2009",519,
"AUS","PISAMATH","BOY","MEANSCORE","A","2012",510.115,
"AUS","PISAMATH","BOY","MEANSCORE","A","2015",497,
"AUS","PISAMATH","BOY","MEANSCORE","A","2018",494,
"AUS","PISAMATH","GIRL","MEANSCORE","A","2003",522,
"AUS","PISAMATH","GIRL","MEANSCORE","A","2006",513,
"AUS","PISAMATH","GIRL","MEANSCORE","A","2009",509,
"AUS","PISAMATH","GIRL","MEANSCORE","A","2012",497.821,
"AUS","PISAMATH","GIRL","MEANSCORE","A","2015",491,
"AUS","PISAMATH","GIRL","MEANSCORE","A","2018",488,
"AUT","PISAMATH","BOY","MEANSCORE","A","2003",509,
"AUT","PISAMATH","BOY","MEANSCORE","A","2006",517,
"AUT","PISAMATH","BOY","MEANSCORE","A","2012",516.682,
"AUT","PISAMATH","BOY","MEANSCORE","A","2015",510,
"AUT","PISAMATH","BOY","MEANSCORE","A","2018",505,
"AUT","PISAMATH","GIRL","MEANSCORE","A","2003",502,
"AUT","PISAMATH","GIRL","MEANSCORE","A","2006",494,
"AUT","PISAMATH","GIRL","MEANSCORE","A","2012",494.462,
"AUT","PISAMATH","GIRL","MEANSCORE","A","2015",483,
"AUT","PISAMATH","GIRL","MEANSCORE","A","2018",492,
"BEL","PISAMATH","BOY","MEANSCORE","A","2003",533,
"BEL","PISAMATH","BOY","MEANSCORE","A","2006",524,
"BEL","PISAMATH","BOY","MEANSCORE","A","2009",526,
"BEL","PISAMATH","BOY","MEANSCORE","A","2012",520.081,
"BEL","PISAMATH","BOY","MEANSCORE","A","2015",514,
"BEL","PISAMATH","BOY","MEANSCORE","A","2018",514,
"BEL","PISAMATH","GIRL","MEANSCORE","A","2003",525,
"BEL","PISAMATH","GIRL","MEANSCORE","A","2006",517,
"BEL","PISAMATH","GIRL","MEANSCORE","A","2009",504,
"BEL","PISAMATH","GIRL","MEANSCORE","A","2012",508.935,
"BEL","PISAMATH","GIRL","MEANSCORE","A","2015",500,
