Country_Name,Country_Code,Indicator_Name,2017,2018,2019,2020
Aruba,ABW,"GDP per capita, PPP (constant 2017 international $)",38897.12267,,,
Africa Eastern and Southern,AFE,"GDP per capita, PPP (constant 2017 international $)",3569.667028,3579.271917,3568.597017,3387.59467
Afghanistan,AFG,"GDP per capita, PPP (constant 2017 international $)",2058.400221,2033.804389,2065.036235,1978.961579
Africa Western and Central,AFW,"GDP per capita, PPP (constant 2017 international $)",4099.559666,4115.235801,4142.398382,4003.158913
Angola,AGO,"GDP per capita, PPP (constant 2017 international $)",7310.896589,6933.499934,6670.331458,6198.083841
Albania,ALB,"GDP per capita, PPP (constant 2017 international $)",12770.97504,13323.75336,13671.48842,13295.41088
Andorra,AND,"GDP per capita, PPP (constant 2017 international $)",,,,
Arab World,ARB,"GDP per capita, PPP (constant 2017 international $)",14529.31372,14608.97425,14599.70789,13753.70731
United Arab Emirates,ARE,"GDP per capita, PPP (constant 2017 international $)",67183.60531,66968.22118,67119.15324,
Argentina,ARG,"GDP per capita, PPP (constant 2017 international $)",23597.11775,22759.39856,22063.90437,19686.52366
Armenia,ARM,"GDP per capita, PPP (constant 2017 international $)",12115.13929,12715.10895,13653.76338,12592.63537
American Samoa,ASM,"GDP per capita, PPP (constant 2017 international $)",,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2017 international $)",19840.28404,21030.39507,21548.72501,17956.31572
Australia,AUS,"GDP per capita, PPP (constant 2017 international $)",48482.64746,49151.68871,49455.53851,48697.83703
Austria,AUT,"GDP per capita, PPP (constant 2017 international $)",54169.96399,55297.61829,55833.31569,51935.60386
Azerbaijan,AZE,"GDP per capita, PPP (constant 2017 international $)",14121.40694,14209.64941,14439.3014,13699.66559
Burundi,BDI,"GDP per capita, PPP (constant 2017 international $)",773.5728587,761.5241252,751.6641528,731.0632297
Belgium,BEL,"GDP per capita, PPP (constant 2017 international $)",50442.27054,51110.95847,51742.72638,48210.03311
Benin,BEN,"GDP per capita, PPP (constant 2017 international $)",3044.517156,3160.78067,3287.309538,3323.144451
Burkina Faso,BFA,"GDP per capita, PPP (constant 2017 international $)",2044.386987,2120.330268,2178.322879,2160.51153
Bangladesh,BGD,"GDP per capita, PPP (constant 2017 international $)",4160.703325,4440.85547,4753.726597,4818.094737
Bulgaria,BGR,"GDP per capita, PPP (constant 2017 international $)",21387.27664,22208.45228,23191.57458,22383.80554
Bahrain,BHR,"GDP per capita, PPP (constant 2017 international $)",47709.77802,46200.44558,45060.42374,40933.35266
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2017 international $)",36298.448,37019.99505,37100.36296,30764.11597
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (constant 2017 international $)",13753.83205,14386.73185,14896.79004,14339.83118
Belarus,BLR,"GDP per capita, PPP (constant 2017 international $)",18280.19892,18885.2355,19283.11715,19148.1751
Belize,BLZ,"GDP per capita, PPP (constant 2017 international $)",7193.63431,7261.870287,7251.921351,6119.887687
Bermuda,BMU,"GDP per capita, PPP (constant 2017 international $)",81834.95587,81422.1346,81804.26568,
Bolivia,BOL,"GDP per capita, PPP (constant 2017 international $)",8423.69756,8655.531498,8724.474187,7931.754309
Brazil,BRA,"GDP per capita, PPP (constant 2017 international $)",14524.61354,14668.25616,14763.8717,14063.98251
Barbados,BRB,"GDP per capita, PPP (constant 2017 international $)",15789.04116,15674.90432,15639.04784,12870.0425
