"trend","url","promoted_content","query","tweet_volume","place","woeid","as_of","created_at"
"#ShameOnKuria","http://twitter.com/search?q=%23ShameOnKuria",,"%23ShameOnKuria",13264,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"#iyd2021","http://twitter.com/search?q=%23iyd2021",,"%23iyd2021",27816,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"TAKATAKA","http://twitter.com/search?q=TAKATAKA",,"TAKATAKA",11458,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"#InternationalYouthDay","http://twitter.com/search?q=%23InternationalYouthDay",,"%23InternationalYouthDay",127374,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"#EmbraceHoliness","http://twitter.com/search?q=%23EmbraceHoliness",,"%23EmbraceHoliness",,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"#SuperCup","http://twitter.com/search?q=%23SuperCup",,"%23SuperCup",66046,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"duale","http://twitter.com/search?q=duale",,"duale",,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"Catholic","http://twitter.com/search?q=Catholic",,"Catholic",25921,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"Martha Karua","http://twitter.com/search?q=%22Martha+Karua%22",,"%22Martha+Karua%22",,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"Chelsea","http://twitter.com/search?q=Chelsea",,"Chelsea",304150,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"Kepa","http://twitter.com/search?q=Kepa",,"Kepa",41065,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"Nadia Mukami","http://twitter.com/search?q=%22Nadia+Mukami%22",,"%22Nadia+Mukami%22",,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"Varane","http://twitter.com/search?q=Varane",,"Varane",40714,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"Mwangi Kiunjuri","http://twitter.com/search?q=%22Mwangi+Kiunjuri%22",,"%22Mwangi+Kiunjuri%22",,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"chalobah","http://twitter.com/search?q=chalobah",,"chalobah",18070,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"Tuchel","http://twitter.com/search?q=Tuchel",,"Tuchel",48105,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"gatundu","http://twitter.com/search?q=gatundu",,"gatundu",,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"Taliban","http://twitter.com/search?q=Taliban",,"Taliban",314967,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"mama mboga","http://twitter.com/search?q=%22mama+mboga%22",,"%22mama+mboga%22",,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"zainab chidzuga","http://twitter.com/search?q=%22zainab+chidzuga%22",,"%22zainab+chidzuga%22",,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"Mendy","http://twitter.com/search?q=Mendy",,"Mendy",16593,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
"Afghanistan","http://twitter.com/search?q=Afghanistan",,"Afghanistan",357627,"Nairobi",1528488,2021-08-13 01:12:02,2021-07-27 19:58:24
