,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Taylor Swift,0.6316379310344827,0.6215862068965519,4.741379310344827,-6.544258620689656,0.8620689655172413,0.07308103448275863,0.18857793103448278,0.00039964344827586205,0.14719137931034484,0.4572965517241379,120.42717241379312,224017.2931034483,3.9827586206896552
Ariana Grande,0.6434000000000001,0.5717,5.06,-6.18144,0.58,0.110232,0.2460112,0.0012193082,0.163158,0.4225399999999999,116.32135999999998,208419.92,3.94
Shawn Mendes,0.62512,0.5455000000000001,5.66,-6.91542,0.68,0.086182,0.37929880000000005,5.389e-06,0.181864,0.491788,118.50446000000002,207729.62,3.96
Maroon 5,0.6682400000000002,0.69872,5.16,-5.2678199999999995,0.62,0.054754,0.14628112,0.0012098036000000002,0.1698,0.527222,115.96699999999998,233145.76,3.98
Adele,0.51948,0.47980000000000006,4.8,-6.98612,0.48,0.040184,0.46446972000000003,0.006508662000000001,0.15579600000000002,0.304104,117.89251999999999,254334.0,3.8
Twenty One Pilots,0.663475,0.6643,5.2,-6.369225,0.55,0.0661675,0.12945250000000003,0.013065990999999999,0.16315,0.509925,118.679675,236135.125,3.95
Ed Sheeran,0.6888163265306122,0.5422040816326531,5.551020408163265,-7.080673469387754,0.7142857142857143,0.08150816326530613,0.37180010204081626,0.0003550302040816326,0.1887734693877551,0.5598775510204081,106.82577551020408,229303.8775510204,3.938775510204082
Justin Timberlake,0.6737968750000001,0.626640625,5.265625,-6.829640625,0.5,0.09456250000000001,0.203949375,0.0228580078125,0.2352265625,0.5607640625,113.95310937500001,305793.46875,3.984375
Charlie Puth,0.6506363636363637,0.5582666666666666,4.818181818181818,-6.838727272727272,0.42424242424242425,0.09377272727272727,0.4411848484848485,0.02734387606060606,0.1325969696969697,0.5386060606060606,120.9060303030303,202223.30303030304,3.878787878787879
Mumford & Sons,0.44356756756756754,0.5826486486486486,3.5405405405405403,-8.670891891891891,0.7567567567567568,0.04172972972972973,0.2083015675675676,0.09203499513513513,0.20966486486486485,0.2934702702702703,122.75432432432432,257742.83783783784,3.8378378378378377
Lorde,0.5856451612903226,0.46461290322580645,4.741935483870968,-9.103516129032256,0.6451612903225806,0.08130967741935484,0.34865451612903225,0.030188941290322586,0.1520709677419355,0.2820806451612903,117.74035483870969,218896.74193548388,4.0
