,2009 H1N1 flu pandemic timeline,,,
date,event,highlights,source,URL
Wed 15 Apr,First human infection with new influenza A H1N1 virus detected in California.,First infection detected - California,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Fri 17 Apr,"Second human infection with the new influenza A H1N1 virus detected in California about 130 miles away from first infection, with no known connection to previous patient.",,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Sat 18 Apr,First novel 2009 H1N1 flu infections were reported by CDC to the World Health Organization (WHO) through the U.S. International Health Regulations Program.,,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Tue 21 Apr,"CDC publicly reported the first two U.S. infections with the new H1N1 virus.
CDC began working to develop a candidate vaccine virus.",CDC starts work on a vaccine,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Wed 22 Apr,CDC activated it’s Emergency Operations Center (EOC).,,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Thu 23 Apr,"Two additional human infections with 2009 H1N1 were detected in Texas, transforming the investigation into a multistate outbreak and response.",,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Fri 24 Apr,CDC uploaded complete gene sequences of new H1N1 2009 virus to a publically-accessible international influenza database.,"CDC publishes full H1N1 gene sequence online, for free",CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Sat 25 Apr,The World Health Organization (WHO) declared a public health emergency of international concern.,WHO declares public health emergency,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Sun 26 Apr,The United States Government declared 2009 H1N1 a Public Health Emergency of International Concern and CDC began releasing 25% of antiviral drugs needed to treat this new influenza virus from the federal stockpile.,,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Mon 27 Apr,"WHO Director-General raised the level of influenza pandemic alert from phase 3 to phase 4, based on data showing person-to-person spread and the ability of the virus to cause community-level outbreaks.",,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Tue 28 Apr,"The Food and Drug Administration (FDA) approved a new CDC test to detect 2009 H1N1 infections
CDC issued the first CDC Interim Guidance on Closing Schools and Childcare Facilities, recommending a 7-day dismissal in affected schools and childcare facilities with laboratory-confirmed cases of influenza A H1N1 virus.",FDA approves test to detect infections,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Wed 29 Apr,"WHO raised the level of influenza pandemic alert from phase 4 to phase 5, signaling that a pandemic was imminent, and requested all countries to immediately activate their pandemic preparedness plans and be on high alert for unusual outbreaks of influenza-like illness and severe pneumonia.",WHO warns of imminent pandemic,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
May,2009 H1N1 influenza summer activity peaked in the United States during May and June.,,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Fri 1 May,"Domestic and global shipments of new CDC test to detect 2009 H1N1 began.
CDC updated the CDC Interim Guidance on Closing Schools and Childcare Facilities, recommending affected communities with lab-confirmed cases of influenza A H1N1 consider adopting school dismissal and childcare closing measures, including closing for up to 14 days depending on the extent and severity of influenza illness.",Domestic and global test kit shipments begin,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Mon 4 May,CDC shifted from reporting confirmed cases of 2009 H1N1 to reporting both confirmed and probable cases of 2009 H1N1.,,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Tue 5 May,"Peak school dismissal day in the spring phase of the pandemic. 980 schools were dismissed, affecting 607,778 students.",,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Wed 6 May,CDC distributed updated recommendations for the use of influenza antiviral medicines to provide guidance for clinicians in prescribing antiviral medicines for treatment and prevention (chemoprophylaxis) of 2009 H1N1 influenza.,,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Fri 8 May,"CDC issued an MMWR updating the 2009 H1N1 influenza situations in Mexico, the United States, and worldwide.",,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Tue 12 May,CDC reported early data on 2009 H1N1 illness among pregnant women in an MMWR.,,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Wed 10 Jun,"CDC reported findings in an MMWR that indicated a large prevalence of obesity in intensive care patients with confirmed 2009 H1N1 influenza infection.
After mid-July, 2009 H1N1 influenza activity declined in most countries.",,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Thu 11 Jun,"The World Health Organization (WHO) declared a pandemic and raised the worldwide pandemic alert level to phase 6, which means the virus was spreading to other parts of the world.
CDC held its first press conference with new CDC Director Thomas Frieden, MD, MPH. The press conference had 2,355 participants.",WHO declares a pandemic,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
