Title,Year,Rating,Votes,Genre
Aspirants,2021,9.7,"287,665",Drama
Scam 1992: The Harshad Mehta Story,2020,9.5,"133,320","Crime, Drama"
Breaking Bad,2008,9.4,"1,609,522","Crime, Drama"
Avatar: The Last Airbender,2005,9.3,"276,865","Animation, Adventure"
The Wire,2002,9.3,"309,559","Crime, Drama"
Rick and Morty,2013,9.2,"443,055","Animation, Adventure"
Game of Thrones,2011,9.2,"1,902,212","Action, Adventure"
The Sopranos,1999,9.2,"347,254","Crime, Drama"
Sherlock,2010,9.1,"859,563","Crime, Drama"
Fullmetal Alchemist: Brotherhood,2009,9.1,"142,527","Animation, Adventure"
Attack on Titan,2013,9,"259,760","Animation, Adventure"
Death Note,2006,9,"276,091","Animation, Crime"
Firefly,2002,9,"253,266",SciFi
Fargo,2014,8.9,"350,039","Crime, Drama"
True Detective,2014,8.9,"527,660","Crime, Drama"
The Office,2005,8.9,"486,401",Comedy
Cowboy Bebop,1998,8.9,"102,051","Animation, Adventure"
The Mandalorian,2019,8.8,"368,773",SciFi
Dark,2017,8.8,"330,311","Crime, Drama"
One Punch Man,2015,8.8,"135,804","Animation, Action"
Better Call Saul,2015,8.8,"364,475","Crime, Drama"
Narcos,2015,8.8,"387,682","Crime, Drama"
Peaky Blinders,2013,8.8,"425,344","Crime, Drama"
Black Mirror,2011,8.8,"488,193",SciFi
Ted Lasso,2020,8.8,"136,413","Comedy, Drama"
It's Always Sunny in Philadelphia,2005,8.8,"204,075",Comedy
Friends,1994,8.8,"912,210","Comedy, Romance"
Twin Peaks,1990,8.8,"186,581","Crime, Drama"
Seinfeld,1989,8.8,"280,213",Comedy
Fleabag,2016,8.7,"125,877","Comedy, Drama"
Stranger Things,2016,8.7,"932,982","Drama, Fantasy"
BoJack Horseman,2014,8.7,"132,121","Animation, Comedy"
House of Cards,2013,8.7,"483,820",Drama
Downton Abbey,2010,8.7,"184,166","Drama, Romance"
The Boys,2019,8.7,"323,878","Crime, Drama"
House,2004,8.7,"435,269","Drama, Mystery"
Battlestar Galactica,2004,8.7,"159,242","Action, Adventure"
Rome,2005,8.7,"162,596","Action, Drama"
Arrested Development,2003,8.7,"289,743",Comedy
Curb Your Enthusiasm,2000,8.7,"114,582",Comedy
Six Feet Under,2001,8.7,"127,954","Comedy, Drama"
Dragon Ball Z,1989,8.7,"121,005","Animation, Adventure"
Freaks and Geeks,1999,8.7,"135,965","Comedy, Drama"
South Park,1997,8.7,"346,991","Animation, Comedy"
Cobra Kai,2018,8.6,"129,270","Action, Comedy"
This Is Us,2016,8.6,"120,590","Comedy, Drama"
Mindhunter,2017,8.6,"248,962","Crime, Drama"
The Crown,2016,8.6,"179,062","Biography, Drama"
Daredevil,2015,8.6,"384,866","Crime, Drama"
The Newsroom,2012,8.6,"110,011",Drama
Top Gear,2002,8.6,"113,172","Adventure, Comedy"
Archer,2009,8.6,"146,023","Animation, Comedy"
Parks and Recreation,2009,8.6,"235,884",Comedy
Naruto: Shippûden,2007,8.6,"102,782","Animation, Adventure"
Mad Men,2007,8.6,"222,329",Drama
Dexter,2006,8.6,"686,492","Crime, Drama"
Westworld,2016,8.6,"456,683",SciFi
Doctor Who,2005,8.6,"210,431","Adventure, Drama"
Deadwood,2004,8.6,"100,516","Crime, Drama"
The XFiles,1993,8.6,"211,198","Crime, Drama"
The Simpsons,1989,8.6,"384,300","Animation, Comedy"
Star Trek: The Next Generation,1987,8.6,"110,762","Action, Adventure"
"Love, Death & Robots",2019,8.5,"126,614","Animation, Action"
The Punisher,2017,8.5,"203,344","Crime, Drama"
Mr. Robot,2015,8.5,"358,875","Crime, Drama"
Big Little Lies,2017,8.5,"177,078","Crime, Drama"
Schitt's Creek,2015,8.5,"100,820",Comedy
The Expanse,2015,8.5,"126,189",SciFi
Silicon Valley,2014,8.5,"137,114",Comedy
Vikings,2013,8.5,"477,625","Action, Adventure"
Hannibal,2013,8.5,"240,988","Crime, Drama"
Shameless,2011,8.5,"220,785","Comedy, Drama"
Spartacus,2010,8.5,"232,052","Action, Adventure"
Community,2009,8.5,"240,085",Comedy
Sons of Anarchy,2008,8.5,"277,874","Crime, Drama"
Boardwalk Empire,2010,8.5,"180,307","Crime, Drama"
The IT Crowd,2006,8.5,"142,445",Comedy
The Office,2001,8.5,"105,201","Comedy, Drama"
Mr. Bean,1990,8.5,"109,984","Comedy, Family"
The Handmaid's Tale,2017,8.4,"206,808",SciFi
