GEO_Codes,GEO_Labels,Total,Solid_fossil_fuels,Manufactured_gases,Peat_and_peat products,Oil_shale_and_oil_sands,Natural_gas,Oil_and_petroleum_products_excl_biofuel,Renewables_and_biofuels,Non_renewable_waste,Electricity,Heat,Nuclear_heat
BE,Belgium,"55,072.839","3,079.063",0.000,0.000,0.000,"15,200.540","20,264.934","4,373.578",664.164,-159.467,309.551,"11,340.477"
BG,Bulgaria,"18,604.517","5,248.812",0.000,0.000,6.432,"2,441.818","4,508.895","2,471.585",66.527,-499.586,58.272,"4,301.762"
CZ,Czechia,"42,576.940","14,239.265",0.000,0.000,0.000,"7,172.274","9,449.146","4,913.088",359.446,"-1,126.105",21.622,"7,548.204"
DK,Denmark,"16,268.148",872.696,0.000,0.000,0.000,"2,561.511","5,880.138","6,026.168",425.443,499.644,2.547,0.000
DE,Germany (until 1990 former territory of the FRG),"298,401.223","56,465.035",0.000,0.000,0.000,"75,620.410","100,230.039","45,314.506","4,248.089","-2,808.856",0.000,"19,332.000"
EE,Estonia,"4,755.644",14.129,0.000,23.059,"2,948.483",380.173,-17.002,"1,179.117",42.217,185.469,0.000,0.000
IE,Ireland,"13,867.450",391.623,0.000,758.494,0.000,"4,560.102","6,324.543","1,631.949",145.319,55.420,0.000,0.000
EL,Greece,"22,420.967","3,196.088",0.000,0.000,0.000,"4,489.252","10,667.856","3,170.762",41.978,855.030,0.000,0.000
ES,Spain,"122,079.457","4,901.952",0.000,0.000,0.000,"30,896.861","51,271.742","18,887.530",313.318,590.054,0.000,"15,218.000"
FR,France,"245,327.006","7,338.294",0.000,0.000,0.000,"37,542.599","71,213.124","28,467.804","1,736.658","-4,958.474",0.000,"103,987.000"
HR,Croatia,"8,591.116",418.431,0.000,0.000,0.000,"2,405.969","3,076.023","2,136.386",26.963,527.343,0.000,0.000
IT,Italy,"151,464.153","6,480.370",0.000,0.000,0.000,"60,949.061","50,060.708","29,512.128","1,182.331","3,279.556",0.000,0.000
CY,Cyprus,"2,320.165",17.199,0.000,0.000,0.000,0.000,"2,025.883",246.298,30.786,0.000,0.000,0.000
LV,Latvia,"4,492.928",39.281,0.000,1.009,0.000,"1,103.325","1,387.950","1,822.586",42.639,96.137,0.000,0.000
LT,Lithuania,"7,677.199",169.367,0.000,27.138,0.000,"1,864.400","2,887.530","1,588.381",35.086,803.405,301.892,0.000
LU,Luxembourg,"3,939.085",42.617,0.000,0.000,0.000,684.057,"2,348.749",320.083,38.094,505.486,0.000,0.000
HU,Hungary,"26,428.773","1,829.010",0.000,0.000,0.000,"8,464.316","7,903.105","2,829.232",215.081,"1,082.029",0.000,"4,106.000"
MT,Malta,738.320,0.000,0.000,0.000,0.000,306.204,326.600,50.803,0.000,54.712,0.000,0.000
NL,Netherlands,"71,960.327","6,419.456",0.000,0.000,0.000,"32,046.098","26,047.601","5,432.579",815.039,73.537,215.706,910.310
AT,Austria,"33,789.178","2,814.784",0.000,0.000,0.000,"7,676.590","11,918.066","10,428.925",677.440,269.010,4.363,0.000
PL,Poland,"102,195.990","43,840.905",0.000,0.000,0.000,"16,227.909","30,222.046","9,904.503","1,064.780",913.411,22.435,0.000
PT,Portugal,"22,432.494","1,248.145",0.000,0.000,0.000,"5,302.668","9,349.854","6,060.098",179.453,292.276,0.000,0.000
RO,Romania,"33,052.581","4,893.433",0.000,14.668,0.000,"9,264.815","9,737.316","6,012.639",153.184,130.526,0.000,"2,846.000"
SI,Slovenia,"6,694.180","1,066.221",0.000,0.000,0.000,734.110,"2,342.238","1,141.769",62.033,-27.391,0.000,"1,375.200"
