time,origin,dest,count 
1516,88,173,1 
1526,75,95,2 
1527,75,254,1 
1532,75,254,1 
1533,75,254,1 
1545,75,4,1 
1545,75,254,2 
1554,286,254,1 
1560,75,199,1 
1562,75,80,1 
1564,286,254,1 
1564,290,80,1 
1566,248,254,1 
1568,290,261,6 
1569,75,189,1 
1570,75,80,1 
1572,75,142,1 
1573,75,80,1 
1574,75,80,1 
1574,75,254,1 
1574,281,230,1 
1575,75,80,2 
1575,75,254,1 
1575,281,230,1 
1576,75,80,1 
1576,281,230,1 
1577,75,80,1 
1582,75,254,1 
1582,329,17,1 
1583,75,80,1 
1583,75,189,2 
1583,75,254,1 
1583,248,254,1 
1585,75,80,1 
1585,248,80,3 
1586,75,80,3 
1586,75,254,1 
1586,281,254,1 
1587,75,80,2 
1587,248,80,3 
1587,248,254,1 
1588,75,80,1 
1588,248,80,5 
1588,281,80,1 
1588,286,80,3 
1588,286,189,1 
1588,329,80,1 
1588,329,157,1 
1589,75,75,1 
1589,75,80,3 
1589,248,80,5 
1589,286,80,2 
1589,329,80,1 
1590,75,80,1 
1590,75,142,1 
1590,248,80,6 
1590,286,80,1 
1590,329,80,1 
1590,329,95,1 
1591,75,80,2 
1591,248,80,1 
1591,286,80,1 
1591,329,80,1 
1592,248,254,2 
1592,286,80,2 
1592,329,80,1 
1593,75,80,7 
1593,248,80,8 
1593,286,80,3 
1593,329,80,3 
1594,75,80,4 
1594,248,80,2 
1594,286,80,2 
1594,329,80,3 
1595,248,80,3 
1595,286,80,2 
1595,329,80,8 
1596,75,80,2 
1596,248,80,2 
1596,286,80,4 
1596,286,142,1 
1596,329,80,4 
1596,329,261,1 
1597,75,80,6 
1597,75,254,1 
1597,248,80,7 
1597,281,80,2 
1597,286,142,1 
1597,329,80,5 
1597,329,258,1 
1598,75,80,8 
1598,248,80,4 
1598,281,80,2 
1598,286,54,1 
1598,329,80,5 
1599,75,80,4 
1599,248,80,5 
1599,281,80,2 
1599,329,76,1 
1599,329,80,8 
1600,75,80,4 
1600,88,80,1 
1600,248,80,6 
