Nationality/ Country of Origin,Domestic Servitude,Labour Exploitation,Organ Harvesting,Sexual Exploitation,Unknown Exploitation,2015 Total,2014-2015 % Change
Albania,7,136,2,376,79,600,33.60%
Vietnam,26,231,0,60,161,478,121.30%
Nigeria,81,19,0,115,42,257,5.30%
Romania,6,118,0,48,20,192,27.20%
United Kingdom,0,45,0,129,17,191,45.80%
Poland,4,139,0,9,8,160,97.50%
Eritrea,57,36,2,12,30,137,158.50%
China,7,45,0,36,11,99,11.20%
Slovakia,0,67,0,10,11,88,-33.30%
Sudan,5,66,0,2,10,83,492.90%
India,14,35,0,15,7,71,91.90%
Ethiopia,28,21,0,6,5,60,114.30%
Pakistan,20,17,0,12,7,56,133.30%
Afghanistan,4,4,0,5,35,48,100.00%
Lithuania,1,23,0,16,6,46,-33.30%
Bulgaria,0,29,0,9,6,44,46.70%
Bangladesh,14,12,1,9,8,44,15.80%
Czech Republic,1,21,0,19,2,43,2.40%
Ghana,14,7,0,10,4,35,12.90%
Hungary,0,24,0,8,2,34,-38.20%
Philippines,23,2,0,1,2,28,47.40%
Uganda,9,4,0,12,1,26,4.00%
Iran,3,1,0,7,13,24,242.90%
Somalia,9,4,0,5,3,21,133.30%
Burma,2,17,0,1,0,20,185.70%
Democratic Republic of the Congo,5,2,0,8,5,20,17.60%
Sierra Leone,8,2,0,10,0,20,11.10%
Sri Lanka,5,5,0,4,4,18,12.50%
Cameroon,3,2,0,12,1,18,0.00%
Angola,2,0,0,12,3,17,240.00%
Zimbabwe,9,0,0,5,3,17,6.30%
Thailand,0,2,0,14,0,16,14.30%
Iraq,2,1,0,1,11,15,275.00%
Kenya,4,0,0,9,1,14,-36.40%
Latvia,0,7,0,5,1,13,8.30%
Malawi,4,0,0,7,1,12,9.10%
Egypt,1,3,0,1,4,9,125.00%
Guinea,3,2,0,3,1,9,50.00%
Portugal,1,4,0,3,1,9,-50.00%
Not known,2,1,0,1,4,8,300.00%
Jamaica,2,1,0,4,1,8,-20.00%
Morocco,2,0,0,4,2,8,-20.00%
South Africa,4,0,0,2,1,7,133.30%
Malaysia,4,2,0,0,0,6,200.00%
Turkey,0,1,0,1,4,6,50.00%
Gambia,2,0,0,4,0,6,-45.50%
Syria,0,2,0,0,4,6,-45.50%
Spain,1,0,0,2,2,5,150.00%
United States of America,0,0,0,0,5,5,150.00%
Ivory Coast,1,0,0,2,2,5,66.70%
Namibia,1,0,0,2,2,5,66.70%
Nepal,1,4,0,0,0,5,0.00%
Libya,1,3,0,0,0,4,N/A
Botswana,1,0,0,3,0,4,300.00%
Netherlands,1,1,0,2,0,4,300.00%
Zambia,0,0,0,2,2,4,33.30%
Indonesia,2,0,0,0,2,4,-66.70%
Swaziland,1,0,0,2,0,3,N/A
Timor - Leste,0,0,0,0,3,3,N/A
Algeria,0,2,0,1,0,3,200.00%
Cuba,0,0,0,2,0,2,N/A
Georgia,1,0,0,1,0,2,N/A
Grenada,0,0,0,2,0,2,N/A
Yemen,1,1,0,0,0,2,N/A
Benin,2,0,0,0,0,2,100.00%
Burundi,0,0,0,1,1,2,100.00%
Tanzania,0,0,0,1,1,2,100.00%
Bolivia,0,1,0,0,1,2,0.00%
North Korea,1,2,0,2,0,5,150.00%
Senegal,0,0,0,2,0,2,0.00%
Brazil,1,0,0,1,0,2,-33.30%
Kosovo,0,0,0,2,0,2,-33.30%
Mali,1,1,0,0,0,2,-33.30%
Ukraine,0,1,0,0,1,2,-50.00%
Belgium,1,0,0,0,0,1,N/A
Bosnia and Herzegovina,0,1,0,0,0,1,N/A
Burkina Faso,1,0,0,0,0,1,N/A
Cambodia,0,0,0,1,0,1,N/A
Chad,0,0,0,0,1,1,N/A
Egypt/Eritrean,1,0,0,0,0,1,N/A
Ethiopia/Eritrea,0,0,0,0,1,1,N/A
France,0,0,0,0,1,1,N/A
Guatemala,0,0,0,0,1,1,N/A
Guinea/Portugal,0,0,0,0,1,1,N/A
Israel,0,0,0,0,1,1,N/A
Kyrgyzstan,1,0,0,0,0,1,N/A
Lebanon,1,0,0,0,0,1,N/A
Maldives,0,1,0,0,0,1,N/A
Mauritania,0,0,0,0,1,1,N/A
Netherlands Antilles,0,1,0,0,0,1,N/A
New Zealand,0,0,0,1,0,1,N/A
Nicaragua,0,0,0,0,1,1,N/A
Palestine,0,0,0,1,0,1,N/A
Serbia/Kosovo,0,0,0,0,1,1,N/A
Seychelles,0,0,0,1,0,1,N/A
St Kitts & Nevis,1,0,0,0,0,1,N/A
Tajikistan,1,0,0,0,0,1,N/A
Tunisia,0,0,0,0,1,1,N/A
United Kingdom/Vietnam,0,1,0,0,0,1,N/A
Australia,0,0,0,0,1,1,0.00%
Congo,0,0,0,1,0,1,0.00%
Mongolia,0,0,0,1,0,1,0.00%
Serbia,0,0,0,0,1,1,0.00%
South Korea,0,1,0,0,0,1,0.00%
St Lucia,0,1,0,0,0,1,0.00%
Trinidad & Tobago,0,0,0,1,0,1,0.00%
Bhutan,0,0,0,1,0,1,-50.00%
Kuwait,0,1,0,0,0,1,-50.00%
Total,422,1183,5,1080,576,3266,
