Nationality/ Country of Origin,Domestic Servitude,Labour Exploitation,Organ Harvesting,Sexual Exploitation,Unknown Exploitation,2015 Total,2014-2015 % Change
Albania,7,17,0,348,22,394,18.70%
Vietnam,20,134,0,49,27,230,115.00%
Nigeria,68,16,0,112,18,214,12.60%
Romania,5,114,0,42,9,170,26.90%
Poland,4,139,0,8,7,158,102.60%
Eritrea,44,27,1,9,14,95,171.40%
China,7,36,0,33,6,82,9.30%
Slovakia,0,62,0,7,5,74,23.30%
Sudan,5,65,0,1,3,74,572.70%
India,11,35,0,15,6,67,91.40%
United Kingdom,0,34,0,24,6,64,14.30%
Pakistan,20,14,0,9,5,48,140.00%
Ethiopia,26,16,0,4,0,46,100.00%
Lithuania,1,22,0,15,4,42,-34.40%
Bulgaria,0,29,0,8,1,38,58.30%
Hungary,0,24,0,8,2,34,-27.70%
Czech Republic,1,20,0,7,1,29,-25.60%
Philippines,23,2,0,1,2,28,47.40%
Ghana,10,7,0,7,3,27,8.00%
Bangladesh,8,6,1,7,3,25,38.90%
Uganda,9,3,0,11,0,23,0.00%
Burma,2,16,0,1,0,19,216.70%
Sierra Leone,6,2,0,10,0,18,50.00%
Cameroon,3,2,0,12,0,17,0.00%
Thailand,0,2,0,14,0,16,23.10%
Kenya,4,0,0,9,1,14,-36.40%
Sri Lanka,5,4,0,4,1,14,16.70%
Zimbabwe,8,0,0,4,1,13,62.50%
Malawi,4,0,0,7,1,12,20.00%
Somalia,4,3,0,3,2,12,140.00%
Latvia,0,7,0,4,0,11,10.00%
Iran,2,0,0,6,2,10,100.00%
Democratic Republic of the Congo,2,1,0,5,1,9,200.00%
Angola,0,0,0,8,0,8,700.00%
Jamaica,2,1,0,4,1,8,33.30%
Afghanistan,1,3,0,3,0,7,-12.50%
Guinea,3,2,0,2,0,7,133.30%
South Africa,4,0,0,2,1,7,250.00%
Morocco,2,0,0,3,1,6,100.00%
Portugal,1,4,0,0,1,6,-57.10%
Gambia,2,0,0,3,0,5,-37.50%
Malaysia,4,1,0,0,0,5,400.00%
Nepal,1,4,0,0,0,5,0.00%
Botswana,1,0,0,3,0,4,N/A
Indonesia,2,0,0,0,2,4,-66.70%
Iraq,2,1,0,1,0,4,100.00%
Libya,1,3,0,0,0,4,N/A
Namibia,1,0,0,2,1,4,300.00%
Ivory Coast,0,0,0,2,1,3,50.00%
Not known,2,1,0,0,0,3,200.00%
Spain,1,0,0,2,0,3,200.00%
Algeria,0,2,0,0,0,2,100.00%
Benin,2,0,0,0,0,2,N/A
Bolivia,0,1,0,0,1,2,0.00%
Brazil,1,0,0,1,0,2,-33.30%
Burundi,0,0,0,1,1,2,N/A
Cuba,0,0,0,2,0,2,N/A
Egypt,1,1,0,0,0,2,0.00%
Georgia,1,0,0,1,0,2,N/A
Grenada,0,0,0,2,0,2,N/A
Kosovo,0,0,0,2,0,2,-33.30%
North Korea,1,2,0,2,0,5,150.00%
Senegal,0,0,0,2,0,2,0.00%
Tanzania,0,0,0,1,1,2,100.00%
Turkey,0,1,0,1,0,2,N/A
Ukraine,0,1,0,0,1,2,-50.00%
Zambia,0,0,0,2,0,2,0.00%
Australia,0,0,0,0,1,1,0.00%
Belgium,1,0,0,0,0,1,N/A
Bhutan,0,0,0,1,0,1,-50.00%
Bosnia and Herzegovina,0,1,0,0,0,1,N/A
Burkina Faso,1,0,0,0,0,1,N/A
Cambodia,0,0,0,1,0,1,N/A
Congo,0,0,0,1,0,1,N/A
Egypt/Eritrean,1,0,0,0,0,1,N/A
Ethiopia/Eritrea (claimed),0,0,0,0,1,1,N/A
France,0,0,0,0,1,1,N/A
Guatemala,0,0,0,0,1,1,N/A
Kuwait,0,1,0,0,0,1,0.00%
Kyrgyzstan,1,0,0,0,0,1,N/A
Lebanon,1,0,0,0,0,1,N/A
Maldives,0,1,0,0,0,1,N/A
Mali,0,1,0,0,0,1,0.00%
Mongolia,0,0,0,1,0,1,0.00%
Netherlands,0,1,0,0,0,1,N/A
Netherlands Antilles,0,1,0,0,0,1,N/A
Nicaragua,0,0,0,0,1,1,N/A
Palestine,0,0,0,1,0,1,N/A
Serbia,0,0,0,0,1,1,0.00%
Seychelles,0,0,0,1,0,1,N/A
South Korea,0,1,0,0,0,1,N/A
St Kitts & Nevis,1,0,0,0,0,1,N/A
St Lucia,0,1,0,0,0,1,0.00%
Swaziland,1,0,0,0,0,1,N/A
Trinidad & Tobago,0,0,0,1,0,1,0.00%
Yemen,1,0,0,0,0,1,N/A
Adult Total,353,859,2,863,171,2284,
