Nationality/ Country of Origin,Domestic Servitude,Labour Exploitation,Organ Harvesting,Sexual Exploitation,Unknown Exploitation,2015 Total,2014-2015 % Change
Vietnam,6,97,0,11,134,248,127.50%
Albania,0,119,2,28,57,206,76.10%
United Kingdom,0,11,0,105,11,127,69.30%
Nigeria,13,3,0,3,24,43,-20.40%
Eritrea,13,9,1,3,16,42,133.30%
Afghanistan,3,1,0,2,35,41,156.30%
Romania,1,4,0,6,11,22,29.40%
Bangladesh,6,6,0,2,5,19,-5.00%
China,0,9,0,3,5,17,21.40%
Czech Republic,0,1,0,12,1,14,366.70%
Ethiopia,2,5,0,2,5,14,180.00%
Iran,1,1,0,1,11,14,600.00%
Slovakia,0,5,0,3,6,14,-80.60%
Democratic Republic of the Congo,3,1,0,3,4,11,-21.40%
Iraq,0,0,0,0,11,11,450.00%
Angola,2,0,0,4,3,9,125.00%
Somalia,5,1,0,2,1,9,125.00%
Sudan,0,1,0,1,7,9,200.00%
Ghana,4,0,0,3,1,8,33.30%
Pakistan,0,3,0,3,2,8,100.00%
Egypt,0,2,0,1,4,7,250.00%
Bulgaria,0,0,0,1,5,6,0.00%
Syria,0,2,0,0,4,6,-14.30%
Not known,0,0,0,1,4,5,400.00%
United States of America,0,0,0,0,5,5,150.00%
Lithuania,0,1,0,1,2,4,-20.00%
Sri Lanka,0,1,0,0,3,4,0.00%
Turkey,0,0,0,0,4,4,0.00%
Zimbabwe,1,0,0,1,2,4,-50.00%
India,3,0,0,0,1,4,100.00%
Netherlands,1,0,0,2,0,3,200.00%
Portugal,0,0,0,3,0,3,-25.00%
Timor - Leste,0,0,0,0,3,3,N/A
Uganda,0,1,0,1,1,3,50.00%
Guinea,0,0,0,1,1,2,-33.30%
Ivory Coast,1,0,0,0,1,2,100.00%
Latvia,0,0,0,1,1,2,0.00%
Morocco,0,0,0,1,1,2,-71.40%
Poland,0,0,0,1,1,2,-33.30%
Sierra Leone,2,0,0,0,0,2,-66.70%
Spain,0,0,0,0,2,2,100.00%
Swaziland,0,0,0,2,0,2,N/A
Zambia,0,0,0,0,2,2,100.00%
Algeria,0,0,0,1,0,1,N/A
Burma,0,1,0,0,0,1,0.00%
Cameroon,0,0,0,0,1,1,0.00%
Chad,0,0,0,0,1,1,N/A
Gambia,0,0,0,1,0,1,-66.70%
Guinea / Portugal,0,0,0,0,1,1,N/A
Israel,0,0,0,0,1,1,N/A
Malaysia,0,1,0,0,0,1,0.00%
Mali,1,0,0,0,0,1,-50.00%
Mauritania,0,0,0,0,1,1,N/A
Namibia,0,0,0,0,1,1,-50.00%
New Zealand,0,0,0,1,0,1,N/A
Serbia/Kosovo,0,0,0,0,1,1,N/A
Tajikistan,1,0,0,0,0,1,N/A
Tunisia,0,0,0,0,1,1,N/A
United Kingdom/Vietnam,0,1,0,0,0,1,N/A
Yemen,0,1,0,0,0,1,N/A
Minor Total,69,288,3,217,405,982,
