Referring Agency,Adult,Minor,Total,Agency Type
GLA,7,0,7,Government Agency
Home Office,1172,346,1518,Government Agency
NCA,4,0,4,Government Agency
UKBF,19,91,110,Government Agency
Local Authority,26,280,306,Local Authority
Barnardos,3,32,35,NGO/Third Sector
BAWSO,15,1,16,NGO/Third Sector
CTAIL (NSPCC),0,5,5,NGO/Third Sector
Hope for Justice,3,0,3,NGO/Third Sector
Kalayaan,22,1,23,NGO/Third Sector
Medaille Trust,5,0,5,NGO/Third Sector
Migrant Help,21,5,26,NGO/Third Sector
New Pathways,13,6,19,NGO/Third Sector
Poppy,26,3,29,NGO/Third Sector
Refugee Council,1,14,15,NGO/Third Sector
Salvation Army,359,14,373,NGO/Third Sector
TARA,10,0,10,NGO/Third Sector
Unseen UK,3,0,3,NGO/Third Sector
Avon & Somerset,6,3,9,Police
Bedfordshire,7,1,8,Police
British Transport Police,2,3,5,Police
Cambridgeshire,23,6,29,Police
Cheshire,1,0,1,Police
Cleveland,8,3,11,Police
Derbyshire,10,4,14,Police
Devon & Cornwall,11,0,11,Police
Durham,4,2,6,Police
Dyfed-Powys,3,0,3,Police
Essex,12,4,16,Police
Greater Manchester,68,21,89,Police
Gwent,2,1,3,Police
Hampshire,6,2,8,Police
Hertfordshire,4,1,5,Police
Humberside,0,6,6,Police
Kent,13,6,19,Police
Lancashire,8,0,8,Police
Leicestershire,0,4,4,Police
Lincolnshire,6,0,6,Police
Merseyside,22,3,25,Police
Metropolitan,70,19,89,Police
Norfolk,7,3,10,Police
North Yorkshire,3,0,3,Police
Northamptonshire,3,2,5,Police
Northumbria,15,10,25,Police
Nottinghamshire,12,0,12,Police
Police Scotland,28,19,47,Police
PSNI,31,6,37,Police
South Wales,6,3,9,Police
South Yorkshire,7,1,8,Police
Staffordshire,2,2,4,Police
Suffolk,2,4,6,Police
Surrey,2,5,7,Police
Sussex,4,2,6,Police
Thames Valley,17,7,24,Police
Warwickshire,1,0,1,Police
West Mercia,2,0,2,Police
West Midlands,71,13,84,Police
West Yorkshire,62,18,80,Police
Wiltshire,14,0,14,Police
