Party,Original name of the party,Group,Seats
Vacant seats,?????? ?????,Vacant seats,27
Opposition Platform - For Life,?????????? ????????? '?? ?????' ,Opposition,44
Trust group,??????????? ????? '??????' ,Government support,17
Batkivshchyna,"""???????????""",Opposition,24
Voice,"""?????""",Opposition,20
For the Future group,??????????? ????? '?? ????????' ,Government support,22
Non-affiliated,????????????? ,Government support,5
Non-affiliated,????????????? ,Opposition,16
European Solidarity,??????????? ????????????,Opposition,27
Servant of the People,????? ??????,Government party,248
,,,
,,,
,,,
,,,
,,,
,,,
,,,
