"state","year","incidence"
"ALABAMA","1928",2.39
"ALABAMA","1929",2.2500000000000004
"ALABAMA","1930",2.5700000000000003
"ALABAMA","1931",2.0700000000000003
"ALABAMA","1932",1.3800000000000001
"ALABAMA","1933",1.12
"ALABAMA","1934",1.8900000000000003
"ALABAMA","1935",2.27
"ALABAMA","1936",15.359999999999998
"ALABAMA","1937",3.07
"ALABAMA","1938",3.36
"ALABAMA","1939",1.9800000000000009
"ALABAMA","1940",1.6200000000000008
"ALABAMA","1941",27.430000000000007
"ALABAMA","1942",4.61
"ALABAMA","1943",1.2700000000000005
"ALABAMA","1944",3.39
"ALABAMA","1945",5.000000000000002
"ALABAMA","1946",10.85
"ALABAMA","1947",2.18
"ALABAMA","1948",6.830000000000003
"ALABAMA","1949",8.55
"ALABAMA","1950",9.129999999999999
"ALABAMA","1951",22.15
"ALABAMA","1952",13.559999999999997
"ALABAMA","1953",14.929999999999998
"ALABAMA","1954",12.47
"ALABAMA","1955",5.5200000000000005
"ALABAMA","1956",3.4599999999999995
"ALABAMA","1957",1.85
"ALABAMA","1958",1.9200000000000002
"ALABAMA","1959",4.789999999999999
"ALABAMA","1960",0.6900000000000002
"ALABAMA","1961",0.33000000000000007
"ALABAMA","1962",0.66
"ALABAMA","1963",1.5900000000000003
"ALABAMA","1964",0.06
"ALABAMA","1966",0
"ALABAMA","1968",0.03
"ALASKA","1950",45.169999999999995
"ALASKA","1951",20.240000000000002
"ALASKA","1954",154.98000000000002
"ALASKA","1955",24.75
"ALASKA","1956",8.070000000000002
"ALASKA","1957",1.29
"ALASKA","1958",0.9
"ALASKA","1959",8.940000000000001
"ALASKA","1960",0.88
"ARIZONA","1928",2.6099999999999994
"ARIZONA","1929",2.0700000000000003
"ARIZONA","1930",7.360000000000004
"ARIZONA","1931",2.5300000000000002
"ARIZONA","1932",1.62
"ARIZONA","1933",3.72
"ARIZONA","1934",25.679999999999993
"ARIZONA","1935",4.830000000000001
"ARIZONA","1936",2.06
"ARIZONA","1937",4.4
"ARIZONA","1938",2.56
"ARIZONA","1939",30.4
"ARIZONA","1940",5.000000000000001
"ARIZONA","1941",2.6300000000000003
"ARIZONA","1942",5.230000000000001
"ARIZONA","1943",11.180000000000001
"ARIZONA","1944",7.280000000000001
"ARIZONA","1945",3.9799999999999995
"ARIZONA","1946",13.360000000000003
"ARIZONA","1947",7.020000000000002
"ARIZONA","1948",23.029999999999998
"ARIZONA","1949",22.960000000000004
"ARIZONA","1950",22.59
"ARIZONA","1951",37.14
"ARIZONA","1952",42.06999999999999
"ARIZONA","1953",43.02
"ARIZONA","1954",23.9
"ARIZONA","1955",12.95
"ARIZONA","1956",14.319999999999999
"ARIZONA","1957",5.209999999999999
"ARIZONA","1958",2.8
"ARIZONA","1959",4.96
"ARIZONA","1960",0.7
"ARIZONA","1961",0.6300000000000001
"ARIZONA","1962",0.42000000000000004
"ARIZONA","1963",0.2
"ARIZONA","1965",0.12
"ARIZONA","1968",0.06
"ARKANSAS","1928",0.52
"ARKANSAS","1929",0.2
"ARKANSAS","1930",4.25
"ARKANSAS","1931",0.8600000000000003
"ARKANSAS","1932",0.7300000000000001
"ARKANSAS","1933",0.67
"ARKANSAS","1934",0.7300000000000001
"ARKANSAS","1935",1.5200000000000002
"ARKANSAS","1936",2.979999999999999
"ARKANSAS","1937",18.530000000000005
"ARKANSAS","1938",7.129999999999999
"ARKANSAS","1939",2.5500000000000007
"ARKANSAS","1940",1.3900000000000003
"ARKANSAS","1941",2.6799999999999993
"ARKANSAS","1942",6.33
"ARKANSAS","1943",4.050000000000002
"ARKANSAS","1944",2.4499999999999997
"ARKANSAS","1945",3.1
"ARKANSAS","1946",16.940000000000005
"ARKANSAS","1947",6.000000000000002
"ARKANSAS","1948",7.75
"ARKANSAS","1949",53.830000000000005
"ARKANSAS","1950",17.490000000000006
"ARKANSAS","1951",23.320000000000004
"ARKANSAS","1952",22.46
"ARKANSAS","1953",18.110000000000003
"ARKANSAS","1954",21.4
"ARKANSAS","1955",10.129999999999999
"ARKANSAS","1956",13.34
"ARKANSAS","1957",4.94
"ARKANSAS","1958",2.420000000000001
"ARKANSAS","1959",10.98
"ARKANSAS","1960",2.32
"ARKANSAS","1961",1.4900000000000004
"ARKANSAS","1962",1.38
"ARKANSAS","1963",0.25
"ARKANSAS","1965",0.1
"ARKANSAS","1966",0.05
"ARKANSAS","1967",0.05
"ARKANSAS","1968",0.05
"CALIFORNIA","1928",5.04
"CALIFORNIA","1929",2.82
"CALIFORNIA","1930",30.710000000000008
"CALIFORNIA","1931",4.299999999999998
"CALIFORNIA","1932",2.85
"CALIFORNIA","1933",2.5500000000000003
"CALIFORNIA","1934",53.99
"CALIFORNIA","1935",12.6
"CALIFORNIA","1936",5.94
"CALIFORNIA","1937",9.810000000000002
"CALIFORNIA","1938",3.9099999999999997
"CALIFORNIA","1939",12.520000000000001
"CALIFORNIA","1940",8.109999999999998
"CALIFORNIA","1941",2.969999999999999
"CALIFORNIA","1942",3.63
"CALIFORNIA","1943",21.42
"CALIFORNIA","1944",7.140000000000001
"CALIFORNIA","1945",7.89
"CALIFORNIA","1946",16.669999999999995
"CALIFORNIA","1947",9.9
"CALIFORNIA","1948",54.41
"CALIFORNIA","1949",25.24
"CALIFORNIA","1950",19.58
"CALIFORNIA","1951",28.520000000000007
