Year,Month,Country,Total-Number of Cases,Number of Reports
2016,August,USA,11308,9
2016,August,Taiwan,1,1
2016,August,Italy,1,1
2016,August,Singapore,1,1
2016,September,USA,0,2
2016,September,Singapore,1,1
2016,September,Malaysia,12,1
2016,September,Thailand,353,1
2016,September,Japan,2,1
2016,October,Honduras,1,1
2016,October,Malaysia,7,1
2016,October,USA,31502,3
2016,October,Vietnam,12,2
2016,October,UK,0,1
2016,October,Philippines,19,1
2016,November,Palau,1,1
2016,November,Vietnam,47,2
2016,November,Bolivia,12,1
2016,November,Thailand,680,1
2016,December,USA,37884,4
2016,December,Malaysia,8,1
2017,January,Africa,2,2
2017,January,Australia,1,1
2017,January,Vietnam,212,1
2017,January,Honduras,10,1
2017,January,USA,3,1
2017,February,Mexico,23,1
2017,March,Brazil,1,1
2017,March,Argentina,3,2
2017,March,USA,90,2
2017,March,Russia,18,1
2017,March,Singapore,6,4
2017,April,Singapore,12,4
2017,April,USA,10,1
2017,May,Singapore,2,2
2017,May,India,3,2
2017,June,Singapore,2,1
2017,June,USA,140,2
2017,July,Thailand,11,1
2017,July,USA,1,1
2017,July,Singapore,1,1
2017,August,USA,3,4
2017,August,Italy,1,1
2017,September,Italy,1,1
2017,November,USA,2,2
2018,February,USA,0,1
2018,July,Taiwan,1,1
2018,August,Brazil,0,1
2018,September,India,1,2
2018,October,India,135,8
2018,October,USA,158,3
2018,November,India,252,4
2018,November,Mexico,723,2
2018,December,Mexico,250,1
2018,December,India,280,1
2019,February,French Polynesia,0,1
2019,February,Taiwan,1,1
2019,March,USA,14,1
