FID,AREA,PERIMETER,NSUADMIN4L,NSUADMIN40,COUNTY,PAYAM,REGION,PCODE,Shape__Area,Shape__Length
1,4.654,10.31,4,0,Raja,Raja,Bahr el Ghazal,SU080701,58349804334.6804,1155313.48408445
2,0.46,2.823,15,0,Rubkoana,Rubkoana,Upper Nile,SU071801,5772493451.9895,315869.532015126
3,0.032,1.68,18,0,Aweil East,Wunlang,Bahr el Ghazal,SU080106,404568017.94043,189247.228285935
4,0.031,1.762,19,0,Aweil East,Mangar Tong,Bahr el Ghazal,SU080104,385139803.766846,198420.826587046
5,0.03,1.599,20,0,Aweil East,Baac,Bahr el Ghazal,SU080101,372278718.8396,180261.767021207
6,0.046,1.599,22,0,Aweil East,Madhol,Bahr el Ghazal,SU080102,573918555.45166,180157.0089149
7,0.12,1.801,23,0,Aweil East,Malualbai,Bahr el Ghazal,SU080103,1511474339.80762,202450.95939585
8,0.047,1.597,24,0,Aweil East,Yargot,Bahr el Ghazal,SU080107,592627816.486572,179970.353669153
9,0.055,1.666,26,0,Aweil East,Mangok,Bahr el Ghazal,SU080105,694629532.529053,187570.038415172
10,0.109,1.804,27,0,Latjor,Mabaan,Upper Nile,SU070804,1365694661.87598,201406.370093121
11,0.162,2.021,28,0,Latjor,Baliet,Upper Nile,SU070801,2039535472.36694,226195.199222674
12,0.468,3.762,29,0,Latjor,Luakpiny,Upper Nile,SU070803,5872240605.60938,421769.877397682
13,0.37,2.929,31,0,Latjor,Longuchok,Upper Nile,SU070802,4643727684.31909,328235.896188003
14,0.439,3.252,34,0,Latjor,Ulang,Upper Nile,SU070806,5500134215.87256,364662.839765335
15,0.066,1.322,37,0,Twic,Wunrok,Bahr el Ghazal,SU081006,825892774.806885,148500.663122623
16,0.053,1.274,38,0,Twic,Turalei,Bahr el Ghazal,SU081005,664812705.161865,143140.242307576
17,0.04,0.917,39,0,Twic,Ajakkuac,Bahr el Ghazal,SU081001,507761318.678223,102613.618039049
