Country,Best-Selling Vehicle,Type
Algeria,Dacia Sandero,Subcompact
American Samoa,Toyota Tacoma,Truck
Angola,Toyota Land Cruiser J70,SUV
Argentina,Toyota Hilux,Truck
Australia,Toyota Hilux,Truck
Austria,Skoda Octavia,Sedan
Azerbaijan,Khazar SD/LD,Sedan
Bahrain,Toyota Land Cruiser,SUV
Belarus,Lada Vesta,Sedan
Belgium,VW Golf,Hatchback
Bosnia and Herzegovina,Skoda Octavia,Sedan
Botswana,Toyota Hilux,Truck
Brazil,Chevrolet Onix,Subcompact
Canada,Ford F-Series,Truck
Chile,Mitsubishi L-200,Truck
China,VW Lavida,Sedan
Colombia,Renault Sandero,Subcompact
Cote d’Ivoire (Ivory Coast),Toyota Hilux,Truck
Croatia,Skoda Octavia,Sedan
Cyprus,Toyota Yaris,Subcompact
Czech Republic,Skoda Octavia,Sedan
Denmark,Nissan Qashqai,SUV
Ecuador,Chevrolet Spark,Subcompact
Egypt,Chevrolet T-Series,Truck
Estonia,Toyota Rav4,SUV
Fiji,Toyota Hilux,Truck
Finland,Skoda Octavia,Sedan
France,Peugeot 208 I,Subcompact
Georgia,Renault/Dacia Duster,SUV
Germany,VW Golf,Hatchback
Greece,Toyota Yaris,Subcompact
Hungary,Suzuki Vitara,SUV
Iceland,Toyota Rav4,SUV
India,Maruti Alto,Hatchback
Indonesia,Toyota Avanza,Van
Iran,Saipa Pride,Sedan
Iraq,Kia Frontier,Truck
Ireland,Toyota Corolla,Sedan
Israel,Toyota Corolla,Sedan
Italy,Fiat Panda,Subcompact
Japan,Honda N-BOX,Subcompact
Jordan,Hyundai Tucson,SUV
Kazakhstan,Toyota Camry,Sedan
Kenya,Toyota Hilux,Truck
Kosovo,Dacia Sandero,Subcompact
Kuwait,Toyota Land Cruiser,SUV
Latvia,Toyota Corolla,Sedan
Lebanon,Toyota Land Cruiser,SUV
Lesotho,Toyota Hilux,Truck
Liechtenstein,VW Golf,Hatchback
Lithuania,Fiat 500,Subcompact
Luxembourg,VW Golf,Hatchback
Macedonia,Kia Sportage,SUV
Malawi,Toyota Hilux,Truck
Malaysia,Perodua Myvi,Hatchback
Mexico,Nissan Versa,Sedan
Moldova,Dacia Logan,Sedan
Monaco,Smart Fortwo,Subcompact
Morocco,Dacia Dokker,Van
Namibia,Toyota Hilux,Truck
Netherlands,Tesla Model 3,Sedan
New Zealand,Ford Ranger,Truck
Norway,Tesla Model 3,Sedan
Oman,Toyota Land Cruiser,SUV
Pakistan,Toyota Corolla,Sedan
Panama,Toyota Hilux,Truck
Papua New Guinea,Toyota Land Cruiser J70,SUV
Paraguay,Chevrolet Onix,Subcompact
Peru,Toyota Hilux,Truck
Philippines,Toyota Vios,Subcompact
Poland,Skoda Octavia,Sedan
Portugal,Renault Clio,Hatchback
Qatar,Toyota Land Cruiser,SUV
Romania,Dacia Logan,Sedan
Russia,Lada Granta,Subcompact
Samoa,Toyota Hiace,Van
Saudi Arabia,Hyundai Accent,Subcompact
Senegal,Mitsubishi L200,Truck
Serbia,Skoda Octavia,Sedan
Singapore,Honda Vezel/HR-V,SUV
Slovakia,Skoda Fabia,Subcompact
Slovenia,Renault Clio,Hatchback
Solomon Islands,Toyota Hilux,Truck
South Africa,Toyota Hilux,Truck
South Korea,Hyundai Grandeur,Sedan
Spain,SEAT Leon,Hatchback
Sri Lanka,Suzuki Alto,Hatchback
Swaziland (Eswatini),Toyota Hilux,Truck
Sweden,Volvo S/V60,Sedan/Wagon
Switzerland,Skoda Octavia,Sedan
Syria,Hyundai Tucson,SUV
Taiwan,Toyota Corolla,Sedan
Thailand,Toyota Hilux,Truck
Tonga,Toyota Hilux,Truck
Tunisia,Renault Clio,Hatchback
Turkey,Fiat Egea,Sedan
Ukraine,Kia Sportage,SUV
United Arab Emirates,Toyota Land Cruiser,SUV
United Kingdom,Ford Fiesta,Subcompact
United States,Ford F-150,Truck
Uruguay,Renault Kwid,Hatchback
Venezuela,Toyota Fortuner,SUV
Vietnam,Toyota Vios,Subcompact
Yemen,Toyota Land Cruiser,SUV
