Country_Territory,Continent,Drone_Legal_Status_as_of_Oct_2020
Afghanistan,Asia,Unrestricted
Albania,Europe,No drone-related legislation
Algeria,Africa,Outright ban
Andorra,Europe,Visual line of sight required
Angola,Africa,No drone-related legislation
Antigua and Barbuda,North America,Experimental visual line of sight
Argentina,South America,Unrestricted
Armenia,Europe,No drone-related legislation
Aruba,North America,Visual line of sight required
Australia,Oceania,Experimental visual line of sight
Austria,Europe,Unrestricted
Azerbaijan,Europe,Visual line of sight required
"Bahamas, The",North America,Unrestricted
Bahrain,Asia,No drone-related legislation
Bangladesh,Asia,Unrestricted
Barbados,North America,Outright ban
Belarus,Europe,No drone-related legislation
Belgium,Europe,Visual line of sight required
Belize,North America,Effective ban
Benin,Africa,No drone-related legislation
Bermuda,North America,Visual line of sight required
Bhutan,Asia,Effective ban
Bolivia,South America,No drone-related legislation
Bosnia and Herzegovina,Europe,No drone-related legislation
Botswana,Africa,Visual line of sight required
Brazil,South America,Visual line of sight required
Brunei Darussalam,Asia,Outright ban
Bulgaria,Europe,Effective ban
Burkina Faso,Africa,No drone-related legislation
Burundi,Africa,No drone-related legislation
Cabo Verde,Africa,Visual line of sight required
Cambodia,Asia,No drone-related legislation
Cameroon,Africa,Visual line of sight required
Canada,North America,Experimental visual line of sight
Cayman Islands,North America,Experimental visual line of sight
Central African Republic,Africa,No drone-related legislation
Chad,Africa,Unrestricted
Chile,South America,Visual line of sight required
China,Asia,Experimental visual line of sight
Colombia,South America,Visual line of sight required
Comoros,Africa,No drone-related legislation
"Congo, Dem. Rep.",Africa,No drone-related legislation
"Congo, Rep.",Africa,No drone-related legislation
Costa Rica,North America,Visual line of sight required
Cote d'Ivoire,Africa,Outright ban
Croatia,Europe,Visual line of sight required
Cuba,North America,Outright ban
Curacao,North America,Visual line of sight required
Cyprus,Europe,Visual line of sight required
Czech Republic,Europe,Experimental visual line of sight
Denmark,Europe,Experimental visual line of sight
Djibouti,Africa,No drone-related legislation
Dominica,North America,No drone-related legislation
