2019 ranking,Country,Code,Status,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000 people)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000 people)",Access to clean fuels and technology for cooking (% of pop.),"Homicide rate (deaths/100,000 people)",Perceived criminality (1=low; 5=high),Political killings and torture (0=low freedom; 1=high freedom),"Traffic deaths (deaths/100,000 people)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (distance from parity),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Access to online governance (0=low; 1=high),Media censorship (0=frequent; 4=rare),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000 people)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000 people)",Greenhouse gas emissions (CO2 equivalents/GDP),Biome protection,Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no rights; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (1=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
,World,WWW,,64.47,74.40,67.50,51.52,82.86,76.95,75.99,61.82,79.51,71.74,59.89,58.86,61.44,60.55,41.51,42.59,11.1,102.519,28.7,22.690,133.02429,89.5250,63.2519,73.3136,13.4288531,88.7126,4.550100275,32.20458992,59.33,5.31824,4,0.558,18.05839941,83.4544,94.3346,70.6745,0.99201,1.645,102.8475212,48.1503,0.7730,1.847,20.1547,399.167,68.521,1.707,42.1783,483.641,10.40044408,20,0.560,2.416,0.600,3.808,46.848,13,72.8,40,31.84629837,7.3,1.906,1.805,1.890,2.03914534,7.4,71,13
143,Afghanistan,AFG,Ranked,38.60,51.72,38.91,25.17,58.74,49.48,51.82,46.85,37.10,43.04,29.96,45.55,41.84,28.26,26.35,4.24,30.3,299.069,67.9,49.007,154.959,67.0646,21.6727,43.4176,17.0437,97.7,,134.994,32.44,6.34591,5,0.549,34.1618,31.7411,,49.5155,0.57339,0.67,67.3506,11.4477,0.3202,2.65,15.2592,965.241,46.014,1.161,45.7377,554.939,0.104392,13,0.573,1.868,0.167,2.583,89.379,35,46.4,16,3.2347,7.8,1.172,0.996,1.834,0.49961,1.9,0,0
54,Albania,ALB,Ranked,71.57,85.03,79.03,50.65,91.62,92.56,83.83,72.13,90.43,77.32,71.90,76.49,82.85,43.58,46.41,29.77,5.5,9.302,8.8,21.841,15.8144,91.0392,86.2692,97.7184,0,100,4.60736,18.2808,77.42,2.69893,4,0.945,8.92325,97.247,99.3233,87.4517,0.94045,2.559,123.736,71.847,0.7584,1.789,22.0736,283.846,80.258,2.493,20.8374,304.319,16.0583,28,0.705,3.841,0.876,4.355,54.854,7,7.1,36,9.7465,4.3,2.34,1.343,2.506,3.04054,9.8,0,0
79,Algeria,DZA,Ranked,67.06,82.75,67.74,50.68,90.52,88.25,87.41,64.81,86.60,55.64,71.56,57.18,55.94,68.26,43.14,35.36,4.7,65.135,24,13.592,22.5509,93.5559,76.7768,87.5866,2.27696,100,4.19741,0.191767,92.62,1.35937,4,0.586,18.0439,,99.4429,,1.03799,2.945,110.958,47.6911,0.2022,1.659,22.7445,276.478,72.332,2.672,41.9762,406.875,7.37916,10,0.639,1.27,0.666,4.193,26.762,3,74.7,35,20.5784,7.4,1.853,2.208,2.226,2.38605,7.6,6,15
137,Angola,AGO,Ranked,42.58,49.00,45.05,33.70,59.03,39.88,47.49,49.60,41.98,37.62,43.01,57.60,56.86,34.86,33.31,9.75,23.9,200.69,81.1,42.597,418.903,55.8429,40.552,49.877,54.8595,41.8862,1.7145,62.1991,48.05,4.84935,5,0.542,29.44,66.0301,80.9996,11.3897,0.63442,0.748,44.735,14.3391,0.4326,2.112,16.883,444.004,43.174,0.911,29.7593,544.023,5.80383,11,0.621,2.778,0.508,3.371,67.089,25,33.3,19,12.627,7.5,2.445,0.726,1.389,0.50681,,0,0
42,Argentina,ARG,Ranked,76.86,84.43,76.11,70.05,93.61,95.21,83.39,65.50,92.49,80.90,68.60,62.47,92.13,68.47,63.65,55.93,3.8,50.677,10.4,7.794,67.3925,99.0784,96.645,94.2585,7.68874,100,3.00721,2.2602,98.4,5.94256,4,0.867,14.5175,99.125,99.4394,89.5142,1.04409,2.719,139.815,75.8098,0.6236,3.321,21.3868,333.422,74.655,2.63,27.3381,410.952,7.38813,34,0.929,3.838,0.886,4.806,21.502,13,83.3,40,66.486,4.4,2.204,2.683,2.821,4.5216,10.1,21,20
59,Armenia,ARM,Ranked,71.14,87.97,73.52,51.95,93.47,98.17,88.89,71.34,90.67,74.02,66.37,63.01,75.71,55.59,45.47,31.03,4.3,23.894,12.6,12.805,19.5087,99.9134,98.9239,93.6423,0,100,4.78018,11.904,96.9,2.97813,4,0.89,7.40688,99.7444,92.3976,87.7412,1.05151,3.174,119.044,69.7181,0.5674,2.375,19.8741,420.341,75.851,3.087,50.0747,480.068,16.9991,20,0.768,3.131,0.707,4.751,40.21,5,39.7,35,2.7396,5.5,1.379,2.019,3.56,2.61212,11.7,0,0
12,Australia,AUS,Ranked,88.02,95.88,86.40,81.79,98.00,97.93,94.72,92.88,92.73,92.86,85.80,74.20,96.64,86.86,69.02,74.64,2.5,4.709,3.5,4.626,11.42,99.9699,91.1843,99.9911,,100,5.6858,0.083363,100,0.941156,1,0.926,6.66424,99,99.9888,92.7005,0.88729,3.278,112.689,86.5447,0.9831,3.213,25.1455,190.814,95.177,3.146,10.1281,511.561,14.2219,40,0.932,3.846,0.969,4.867,10.729,1,84.5,77,77.8745,3.3,2.418,2.524,3.052,5.40758,12.9,63,45
20,Austria,AUT,Ranked,86.40,96.38,87.41,75.42,98.57,99.99,98.26,88.71,93.64,87.54,85.79,82.68,91.48,86.51,65.44,58.22,2.5,4.273,3.6,2.807,6.72223,100,,99.9729,0,100,6.57616,0.266583,100,0.65522,2,0.929,4.97796,99,,88.2013,0.95557,3.295,170.848,87.9356,0.8258,2.836,24.2788,208.889,92.156,3.803,15.5193,205.241,17,37,0.894,3.371,0.926,4.895,7.666,3,85.3,76,70.0812,4.5,2.62,2.492,2.754,3.95491,11.8,17,30
108,Bangladesh,BGD,Ranked,54.11,66.41,60.03,35.88,75.23,66.33,60.47,63.62,68.78,64.05,51.19,56.08,57.41,40.87,29.00,16.25,15.2,164.053,32.4,39.089,99.2039,97.016,14.9026,48.2332,0,88,3.65105,61.9854,17.72,2.50309,3,0.184,11.6905,72.893,96.8707,61.5519,1.17017,1.084,91.6653,18.02,0.8034,2.365,20.2896,453.665,59.761,0.499,41.4854,281.016,3.29012,17,0.413,2.775,0.358,4.438,55.492,45,74.7,26,28.0455,8,1.515,0.271,2.008,0.86703,5.2,2,0
40,Barbados,BRB,Ranked,77.89,89.35,76.78,67.55,92.91,97.99,96.06,70.45,93.93,83.69,74.41,55.08,94.54,81.20,62.22,32.23,3.7,79.783,12.4,7.463,53.0555,98.4944,98.762,97.2794,,100,6.04478,0.04268,99.44,10.9072,,0.879,9.37789,99.6,90.643,96.1733,1.04133,3.694,115.346,81.7608,0.6236,3.628,22.3288,314.31,74.626,3.599,34.9154,318.514,1.03415,38,0.916,3.835,0.94,4.798,15.775,0,74.7,68,,3.5,2.858,2.13,3.035,3.27127,10.6,0,0
48,Belarus,BLR,Ranked,73.90,90.16,73.49,58.06,97.70,96.36,93.73,72.86,97.11,75.04,67.32,54.49,55.92,74.41,54.02,47.90,2.5,11.798,3.7,4.59,16.1923,96.484,92.9025,97.791,0,100,,0.692619,98.18,3.58466,3,0.743,9.63101,99.6171,99.2296,95.8478,0.98468,3.517,120.561,74.4364,0.882,0.223,19.4722,486.442,83.564,3.319,49.2121,613.406,10.5456,5,0.354,3.017,0.603,4.187,3.461,8,78.7,44,10.0646,6.5,1.996,3.174,3.211,3.8679,12.2,3,15
