Country,Population,Region
 U.S.,"331,002,651",North America
 Canada,"37,742,154",North America
 Brazil,"212,559,417",South America
 Colombia,"50,882,891",South America
 Argentina,"45,195,774",South America
 Peru,"32,971,854",South America
 Venezuela,"28,435,940",South America
 Chile,"19,116,201",South America
 Ecuador,"17,643,054",South America
 Bolivia,"11,673,021",South America
 Paraguay,"7,132,538",South America
 Uruguay,"3,473,730",South America
 Guyana,"786,552",South America
 Suriname,"586,632",South America
 French Guyana,"298,682",South America
 Falkland Islands,"3,480",South America
 Australia,"25,499,884",Oceania
 New Zealand,"4,822,233",Oceania
 Germany,"83,783,942",Europe
 France,"65,273,511",Europe
 Netherlands,"17,134,872",Europe
 Belgium,"11,589,623",Europe
 Austria,"9,006,398",Europe
 Switzerland,"8,654,622",Europe
 Luxembourg,"625,978",Europe
 Monaco,"39,242",Europe
 Liechtenstein,"38,128",Europe
 Italy,"60,461,826",Europe
 Spain,"46,754,778",Europe
 Greece,"10,423,054",Europe
 Portugal,"10,196,709",Europe
 Serbia,"8,737,371",Europe
 Croatia,"4,105,267",Europe
 Bosnia and Herzegovina,"3,280,819",Europe
 Albania,"2,877,797",Europe
 North Macedonia,"2,083,374",Europe
 Slovenia,"2,078,938",Europe
 Montenegro,"628,066",Europe
 Malta,"441,543",Europe
 Andorra,"77,265",Europe
 San Marino,"33,931",Europe
 Gibraltar,"33,691",Europe
 Vatican City,801,Europe
 United Kingdom,"67,886,011",Europe
 Sweden,"10,099,265",Europe
 Denmark,"5,792,202",Europe
 Finland,"5,540,720",Europe
 Norway,"5,421,241",Europe
 Ireland,"4,937,786",Europe
 Lithuania,"2,722,289",Europe
 Latvia,"1,886,198",Europe
 Estonia,"1,326,535",Europe
 Iceland,"341,243",Europe
Channel Islands,"173,863",Europe
 Isle of Man,"85,033",Europe
 Faroe Islands,"48,863",Europe
 Ukraine,"43,733,762",Europe
 Poland,"37,846,611",Europe
 Romania,"19,237,691",Europe
 Czechia,"10,708,981",Europe
 Hungary,"9,660,351",Europe
 Belarus,"9,449,323",Europe
 Bulgaria,"6,948,445",Europe
 Slovakia,"5,459,642",Europe
 Moldova,"4,033,963",Europe
Total,"1,431,528,252",
