AREA,PERIMETER,GLSGEO_,GLSGEO_ID,POLY-NR,CAUSE,RATE,TYP1,DEG1,EXT1,CAUSE1ST1,CAUSE2ND1,SEV1,TYPSEV1,TYP2,DEG2,EXT2,CAUSE1ST2,CAUSE2ND2,SEV2,TYPSEV2,SQKM,DEGAREA1,DEGAREA2,Code
-46435.840000,977.975400,1,0,,,,,,,,,,,,,,,,,,,,,
1828.918000,690.189600,2,2085,628,,0,SN,0,0,,,,S,,0,0,,,0,S,"10270500,00000","0,00000","0,00000",SN~
2.995060,11.310970,3,0,,,,,,,,,,,,,,,,,,,,,
3.177017,20.228360,4,1,4000,,0,,0,0,,,4000,4000,,0,0,,,0,4000,"24030,98000","0,00000","0,00000",~
146.810800,97.347210,5,2,6,,0,G,0,0,,,,G,,0,0,,,0,G,"679915,80000","0,00000","0,00000",G~
18.067560,85.480640,6,3,12,,0,SN,0,0,,,,S,,0,0,,,0,S,"80136,98000","0,00000","0,00000",SN~
31944.440000,5233.161000,7,2086,4000,,0,,0,0,,,4000,4000,,0,0,,,0,4000,"324597600,00000","0,00000","0,00000",~
4.735463,20.768390,8,4,618,,0,SN,0,0,,,,S,,0,0,,,0,S,"18693,73000","0,00000","0,00000",SN~
55.372260,81.796820,9,2087,4000,,0,,0,0,,,4000,4000,,0,0,,,0,4000,"223849,80000","0,00000","0,00000",~
4.162743,19.766550,10,5,1102,,0,SN,0,0,,,,S,,0,0,,,0,S,"16430,00000","0,00000","0,00000",SN~
10.068400,45.153050,11,6,4000,,0,,0,0,,,4000,4000,,0,0,,,0,4000,"44982,75000","0,00000","0,00000",~
1.199147,9.576662,12,7,4000,,0,,0,0,,,4000,4000,,0,0,,,0,4000,"4717,13500","0,00000","0,00000",~
0.066392,1.855939,13,8,4000,,0,,0,0,,,4000,4000,,0,0,,,0,4000,"263,76330","0,00000","0,00000",~
1.523558,18.716720,14,9,4000,,0,,0,0,,,4000,4000,,0,0,,,0,4000,"6099,04700","0,00000","0,00000",~
2.283656,10.482600,15,10,1,,0,SN,0,0,,,,S,,0,0,,,0,S,"8874,55000","0,00000","0,00000",SN~
42.253730,66.062270,16,11,2,,0,SN,0,0,,,,S,,0,0,,,0,S,"174897,50000","0,00000","0,00000",SN~
1.295680,8.853477,17,12,3,,0,SN,0,0,,,,S,,0,0,,,0,S,"5016,47500","0,00000","0,00000",SN~
94.459290,200.154400,18,13,4,,0,SN,0,0,,,,S,,0,0,,,0,S,"437335,30000","0,00000","0,00000",SN~
26.129060,122.946700,19,14,5,,0,SN,0,0,,,,S,,0,0,,,0,S,"131906,80000","0,00000","0,00000",SN~
1347.027000,833.765900,20,15,7,,0,SN,0,0,,,,S,,0,0,,,0,S,"8315612,00000","0,00000","0,00000",SN~
0.088616,2.338959,21,16,633,,0,SN,0,0,,,,S,,0,0,,,0,S,"345,96260","0,00000","0,00000",SN~
1.331692,6.572929,22,17,627,,0,SN,0,0,,,,S,,0,0,,,0,S,"5288,26200","0,00000","0,00000",SN~
0.712806,4.517948,23,2088,627,,0,SN,0,0,,,,S,,0,0,,,0,S,"2846,69800","0,00000","0,00000",SN~
0.078109,2.382030,24,18,1057,,0,SN,0,0,,,,S,,0,0,,,0,S,"312,78400","0,00000","0,00000",SN~
69.196110,113.602400,25,19,1077,,0,SN,0,0,,,,S,,0,0,,,0,S,"357472,70000","0,00000","0,00000",SN~
0.906295,6.220430,26,20,973,,0,SN,0,0,,,,S,,0,0,,,0,S,"3695,98900","0,00000","0,00000",SN~
0.078051,1.486483,27,21,23,,0,SN,0,0,,,,S,,0,0,,,0,S,"314,10110","0,00000","0,00000",SN~
0.564934,5.858831,28,22,1059,,0,SN,0,0,,,,S,,0,0,,,0,S,"2311,53200","0,00000","0,00000",SN~
0.456514,4.337640,29,23,1058,,0,SN,0,0,,,,S,,0,0,,,0,S,"1878,24800","0,00000","0,00000",SN~
0.043616,1.110209,30,24,767,,0,SN,0,0,,,,S,,0,0,,,0,S,"176,88120","0,00000","0,00000",SN~
0.142442,3.675734,31,25,1053,,0,SN,0,0,,,,S,,0,0,,,0,S,"582,12970","0,00000","0,00000",SN~
0.060355,1.100738,32,26,1056,,0,SN,0,0,,,,S,,0,0,,,0,S,"246,82150","0,00000","0,00000",SN~
0.101560,1.633297,33,27,1055,,0,SN,0,0,,,,S,,0,0,,,0,S,"419,45300","0,00000","0,00000",SN~
46.063900,55.924360,34,28,1075,ai,1,Cp,2,1,i,,1,C1,Pc,1,1,a,,1,P1,"227433,50000","5685,83800","5685,83800",Cp2.1.i/#Pc1.1.a/~1
0.203044,2.715897,35,29,1060,,0,SN,0,0,,,,S,,0,0,,,0,S,"844,46220","0,00000","0,00000",SN~
0.693936,4.869964,36,30,1101,,0,SN,0,0,,,,S,,0,0,,,0,S,"2921,89600","0,00000","0,00000",SN~
1.216530,6.047148,37,31,9,,0,G,0,0,,,,G,,0,0,,,0,G,"5137,31900","0,00000","0,00000",G~
0.044983,1.386966,38,32,1054,,0,SN,0,0,,,,S,,0,0,,,0,S,"186,84920","0,00000","0,00000",SN~
2.031277,9.220348,39,33,10,,0,SN,0,0,,,,S,,0,0,,,0,S,"8662,60100","0,00000","0,00000",SN~
46.076050,107.144300,40,34,1061,,0,SN,0,0,,,,S,,0,0,,,0,S,"249572,40000","0,00000","0,00000",SN~
0.044086,1.020308,41,35,1052,,0,SN,0,0,,,,S,,0,0,,,0,S,"184,76110","0,00000","0,00000",SN~
0.128336,2.012929,42,36,1051,,0,SN,0,0,,,,S,,0,0,,,0,S,"542,80100","0,00000","0,00000",SN~
