fips	unemployment_rate
01001	4.9
01003	5.2
01005	8.0
01007	6.1
01009	5.1
01011	7.6
01013	6.4
01015	6.2
01017	5.0
01019	4.9
01021	5.2
01023	8.6
01025	10.9
01027	5.7
01029	5.6
01031	5.5
01033	6.5
01035	8.0
01037	6.4
01039	6.5
01041	5.7
01043	4.7
01045	5.4
01047	8.6
01049	5.8
01051	4.7
01053	6.2
01055	5.6
01057	6.4
01059	5.6
01061	5.4
01063	10.1
01065	7.2
01067	6.5
01069	5.5
01071	5.9
01073	5.5
01075	5.3
01077	5.9
01079	6.3
01081	4.7
01083	5.0
01085	10.0
01087	7.3
01089	4.9
01091	7.3
01093	6.3
01095	5.1
01097	6.7
01099	8.7
01101	5.5
01103	5.2
01105	9.8
01107	6.2
01109	6.2
01111	5.1
01113	5.2
01115	5.0
01117	4.1
01119	7.3
01121	6.8
01123	5.2
01125	5.2
01127	6.8
01129	8.6
01131	14.3
01133	6.9
02013	4.3
02016	4.4
02020	5.2
02050	12.1
02060	12.6
02068	19.3
02070	9.6
02090	5.7
02100	10.6
02105	14.6
02110	4.6
02122	8.2
02130	6.5
02150	5.0
02158	16.6
02164	12.5
02170	8.0
02180	11.9
02185	6.6
02188	15.6
02195	8.8
02198	11.1
02220	4.3
02230	17.4
02240	9.8
02261	9.3
02275	8.0
02282	9.7
02290	16.3
04001	10.2
04003	5.5
04005	5.5
04007	6.6
04009	5.6
04011	6.0
04012	5.5
04013	4.1
04015	5.8
04017	7.2
04019	4.3
04021	4.9
04023	9.1
04025	4.3
04027	16.7
05001	3.4
05003	5.7
05005	3.9
05007	2.6
05009	3.2
05011	4.7
05013	3.8
05015	3.0
05017	6.0
05019	3.7
05021	4.7
05023	5.0
05025	4.0
05027	5.1
05029	4.9
05031	2.8
05033	3.4
05035	4.2
05037	4.2
05039	4.2
05041	4.7
05043	4.8
05045	3.3
05047	3.5
05049	3.7
05051	4.0
05053	3.2
05055	4.0
05057	3.3
05059	3.4
05061	3.1
05063	4.3
05065	5.0
05067	5.4
05069	4.8
05071	4.0
05073	5.4
05075	3.6
05077	4.4
05079	4.4
05081	4.3
05083	3.8
05085	3.1
05087	2.8
05089	3.7
05091	3.7
05093	5.9
05095	4.7
05097	4.6
05099	3.3
05101	3.5
05103	4.5
05105	4.2
05107	5.1
05109	4.1
05111	3.7
05113	4.3
05115	3.9
05117	3.5
05119	3.2
05121	4.2
05123	4.7
05125	2.9
05127	3.2
05129	4.3
05131	3.3
05133	4.6
05135	4.9
05137	4.8
05139	4.7
05141	5.5
05143	2.4
05145	4.3
05147	4.8
05149	3.9
06001	4.0
06003	7.6
06005	5.5
06007	5.9
06009	5.4
06011	15.5
06013	4.1
06015	7.2
06017	4.8
06019	9.3
06021	7.2
06023	4.5
06025	20.3
06027	4.8
06029	9.2
06031	9.3
06033	6.6
06035	6.2
06037	4.8
06039	9.0
06041	3.0
06043	6.4
06045	5.1
06047	9.5
06049	7.9
06051	5.8
06053	6.6
06055	4.2
06057	4.5
06059	3.7
06061	4.2
06063	8.7
06065	5.7
06067	5.0
06069	5.9
06071	5.3
06073	4.3
06075	3.1
06077	7.8
06079	3.8
06081	2.8
06083	4.7
06085	3.5
06087	6.1
06089	6.4
06091	6.5
06093	7.8
06095	5.1
06097	3.7
06099	7.9
06101	9.3
06103	6.4
06105	6.4
06107	10.8
06109	5.7
06111	5.0
06113	5.5
06115	7.9
08001	3.0
08003	3.3
08005	2.6
08007	2.9
