country,state,county,lat,lng,type,measure,beds,population,year,source,source_url
TW,,,23.5,121,ICU,1000HAB,0.285,23589000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
SA,,,25.0,45.0,ICU,1000HAB,0.228,33100000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
KZ,,,48.0,68.0,ICU,1000HAB,0.213,18040000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
OM,,,21.0,57.0,ICU,1000HAB,0.146,4666000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
BN,,,4.5,114.67,ICU,1000HAB,0.131,424473,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
SG,,,1.3521,103.8198,ICU,1000HAB,0.114,5612000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
KR,,,37.0,127.5,ICU,1000HAB,0.106,51470000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
TH,,,15.0,100.0,ICU,1000HAB,0.104,69210000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
MN,,,46.0,105.0,ICU,1000HAB,0.088,3114000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
JP,,,36.0,138.0,ICU,1000HAB,0.073,126800000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
HK,,,22.25,114.17,ICU,1000HAB,0.071,7392000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
IR,,,32.0,53.0,ICU,1000HAB,0.046,80670000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
CN,,,35.0,105.0,ICU,1000HAB,0.036,1386000000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
MY,,,2.5,112.5,ICU,1000HAB,0.034,31110000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
NP,,,28.0,84.0,ICU,1000HAB,0.028,27630000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
ID,,,-5.0,120.0,ICU,1000HAB,0.027,264600000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
IN,,,20.0,77.0,ICU,1000HAB,0.023,1339000000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
LK,,,7.0,81.0,ICU,1000HAB,0.023,21440000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
PH,,,13.0,122.0,ICU,1000HAB,0.022,105200000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
LA,,,18.0,105.0,ICU,1000HAB,0.021,6953000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
PK,,,30.0,70.0,ICU,1000HAB,0.015,207900000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
MM,,,22.0,98.0,ICU,1000HAB,0.011,53380000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
BD,,,24.0,90.0,ICU,1000HAB,0.007,159700000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008



















