country,state,county,lat,lng,type,measure,beds,population,year,source,source_url
AT,,,47.33,13.33,ACUTE,1000HAB,5.447,8797566,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
BE,,,50.83,4.0,ACUTE,1000HAB,5.0045,11375158,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
BG,,,43.0,25.0,ACUTE,1000HAB,6.1682,7075947,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
CH,,,47.0,8.0,ACUTE,1000HAB,3.5563,8451840,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
CY,,,35.0,33.0,ACUTE,1000HAB,3.3996,1179680,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
CZ,,,49.75,15.5,ACUTE,1000HAB,4.1089,10594438,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
DE,,,51.0,9.0,ACUTE,1000HAB,6.015,82657002,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
DK,,,56.0,10.0,ACUTE,1000HAB,2.5362,5764980,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
EE,,,59.0,26.0,ACUTE,1000HAB,3.4455,1317384,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
ES,,,40.0,-4.0,ACUTE,1000HAB,2.4261,46593236,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
FI,,,64.0,26.0,ACUTE,1000HAB,2.7954,5508214,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
FR,,,46.0,2.0,ACUTE,1000HAB,3.0901,66865144,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
GB,,,54.0,-2.0,ACUTE,1000HAB,2.114,66058859,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
GR,,,39.0,22.0,ACUTE,1000HAB,3.6028,10754679,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
HR,,,45.17,15.5,ACUTE,1000HAB,3.505,4124531,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
HU,,,47.0,20.0,ACUTE,1000HAB,4.2709,9787966,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
IE,,,53.0,-8.0,ACUTE,1000HAB,2.766,4807388,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
IS,,,65.0,-18.0,ACUTE,1000HAB,2.5102,343400,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
IT,,,42.83,12.83,ACUTE,1000HAB,2.6247,60536709,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
LI,,,47.17,9.53,ACUTE,1000HAB,2.3971,37800,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
LT,,,56.0,24.0,ACUTE,1000HAB,5.472,2828403,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
LU,,,49.75,6.17,ACUTE,1000HAB,3.7747,596336,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
LV,,,57.0,25.0,ACUTE,1000HAB,3.2988,1942248,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
MK,,,41.83,22.0,ACUTE,1000HAB,2.8619,2081996,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
MT,,,35.83,14.58,ACUTE,1000HAB,3.1752,467999,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
NL,,,52.5,5.75,ACUTE,1000HAB,2.9214,17131296,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
NO,,,62.0,10.0,ACUTE,1000HAB,3.1998,5276968,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
PL,,,52.0,20.0,ACUTE,1000HAB,4.8514,37974826,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
PT,,,39.5,-8.0,ACUTE,1000HAB,3.2472,10300300,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
