country,state,county,lat,lng,type,measure,beds,population,year,source,source_url
AU,,,-27.0,133.0,PSYCHIATRIC,1000HAB,0.42,24190907,2016,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
AU,,,-27.0,133.0,TOTAL,1000HAB,3.84,24190907,2016,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
AT,,,47.33,13.33,ACUTE,1000HAB,5.45,8797566,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
AT,,,47.33,13.33,PSYCHIATRIC,1000HAB,0.61,8797566,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
AT,,,47.33,13.33,TOTAL,1000HAB,7.37,8797566,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
BE,,,50.83,4.0,ACUTE,1000HAB,4.98,11433256,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
BE,,,50.83,4.0,PSYCHIATRIC,1000HAB,1.36,11433256,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
BE,,,50.83,4.0,TOTAL,1000HAB,5.64,11433256,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
BR,,,-10.0,-55.0,TOTAL,1000HAB,2.3,199300000,2012,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CA,,,60.0,-95.0,ACUTE,1000HAB,1.95,37057765,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CA,,,60.0,-95.0,PSYCHIATRIC,1000HAB,0.34,37057765,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CA,,,60.0,-95.0,TOTAL,1000HAB,2.5,37057765,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CH,,,47.0,8.0,ACUTE,1000HAB,3.56,8451840,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CH,,,47.0,8.0,PSYCHIATRIC,1000HAB,0.93,8451840,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CH,,,47.0,8.0,TOTAL,1000HAB,4.53,8451840,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CL,,,-30.0,-71.0,ACUTE,1000HAB,1.99,18470439,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CL,,,-30.0,-71.0,PSYCHIATRIC,1000HAB,0.1,18470439,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CL,,,-30.0,-71.0,TOTAL,1000HAB,2.11,18470439,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CN,,,35.0,105.0,TOTAL,1000HAB,4.34,1386000000,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CO,,,4.0,-72.0,TOTAL,1000HAB,1.71,49650000,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CR,,,10.0,-84.0,TOTAL,1000HAB,1.13,4949954,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CZ,,,49.75,15.5,ACUTE,1000HAB,4.11,10594438,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CZ,,,49.75,15.5,PSYCHIATRIC,1000HAB,0.94,10594438,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CZ,,,49.75,15.5,TOTAL,1000HAB,6.63,10594438,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
DE,,,51.0,9.0,ACUTE,1000HAB,6.02,82657002,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
DE,,,51.0,9.0,PSYCHIATRIC,1000HAB,1.28,82657002,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
DE,,,51.0,9.0,TOTAL,1000HAB,8.0,82657002,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
DK,,,56.0,10.0,ACUTE,1000HAB,2.42,5793636,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
DK,,,56.0,10.0,PSYCHIATRIC,1000HAB,0.47,5793636,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
DK,,,56.0,10.0,TOTAL,1000HAB,2.5,5793636,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
ES,,,40.0,-4.0,ACUTE,1000HAB,2.43,46593236,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
ES,,,40.0,-4.0,PSYCHIATRIC,1000HAB,0.36,46593236,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
ES,,,40.0,-4.0,TOTAL,1000HAB,2.97,46593236,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
EE,,,59.0,26.0,ACUTE,1000HAB,3.45,1317384,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
EE,,,59.0,26.0,PSYCHIATRIC,1000HAB,0.53,1317384,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
EE,,,59.0,26.0,TOTAL,1000HAB,4.69,1317384,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
FI,,,64.0,26.0,ACUTE,1000HAB,2.8,5508214,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
FI,,,64.0,26.0,PSYCHIATRIC,1000HAB,0.39,5508214,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
FI,,,64.0,26.0,TOTAL,1000HAB,3.28,5508214,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
FR,,,46.0,2.0,ACUTE,1000HAB,3.09,66865144,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
FR,,,46.0,2.0,PSYCHIATRIC,1000HAB,0.84,66865144,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
FR,,,46.0,2.0,TOTAL,1000HAB,5.98,66865144,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
GB,,,54.0,-2.0,ACUTE,1000HAB,2.11,66058859,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
GB,,,54.0,-2.0,PSYCHIATRIC,1000HAB,0.38,66058859,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
GB,,,54.0,-2.0,TOTAL,1000HAB,2.54,66058859,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
GR,,,39.0,22.0,ACUTE,1000HAB,3.6,10754679,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
GR,,,39.0,22.0,PSYCHIATRIC,1000HAB,0.74,10754679,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
GR,,,39.0,22.0,TOTAL,1000HAB,4.21,10754679,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
HU,,,47.0,20.0,ACUTE,1000HAB,4.27,9787966,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
HU,,,47.0,20.0,PSYCHIATRIC,1000HAB,0.87,9787966,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
HU,,,47.0,20.0,TOTAL,1000HAB,7.02,9787966,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
ID,,,-5.0,120.0,TOTAL,1000HAB,1.04,264645886,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IN,,,20.0,77.0,TOTAL,1000HAB,0.53,1339000000,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IE,,,53.0,-8.0,ACUTE,1000HAB,2.77,4807388,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IE,,,53.0,-8.0,PSYCHIATRIC,1000HAB,0.34,4807388,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IE,,,53.0,-8.0,TOTAL,1000HAB,2.96,4807388,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IS,,,65.0,-18.0,ACUTE,1000HAB,2.37,352721,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IS,,,65.0,-18.0,PSYCHIATRIC,1000HAB,0.37,352721,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IS,,,65.0,-18.0,TOTAL,1000HAB,2.91,352721,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IL,,,31.5,34.75,ACUTE,1000HAB,2.19,8882800,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IL,,,31.5,34.75,PSYCHIATRIC,1000HAB,0.4,8882800,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IL,,,31.5,34.75,TOTAL,1000HAB,2.99,8882800,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IT,,,42.83,12.83,ACUTE,1000HAB,2.62,60536709,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IT,,,42.83,12.83,PSYCHIATRIC,1000HAB,0.09,60536709,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IT,,,42.83,12.83,TOTAL,1000HAB,3.18,60536709,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
JP,,,36.0,138.0,ACUTE,1000HAB,7.79,126785797,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
JP,,,36.0,138.0,PSYCHIATRIC,1000HAB,2.62,126785797,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
JP,,,36.0,138.0,TOTAL,1000HAB,13.05,126785797,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
KR,,,37.0,127.5,ACUTE,1000HAB,7.14,51361911,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
KR,,,37.0,127.5,PSYCHIATRIC,1000HAB,1.31,51361911,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
KR,,,37.0,127.5,TOTAL,1000HAB,12.27,51361911,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
LT,,,56.0,24.0,ACUTE,1000HAB,5.47,2828403,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
LT,,,56.0,24.0,PSYCHIATRIC,1000HAB,0.99,2828403,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
LT,,,56.0,24.0,TOTAL,1000HAB,6.56,2828403,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
LU,,,49.75,6.17,ACUTE,1000HAB,3.7,607950,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
LU,,,49.75,6.17,PSYCHIATRIC,1000HAB,0.74,607950,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
LU,,,49.75,6.17,TOTAL,1000HAB,4.51,607950,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
LV,,,57.0,25.0,ACUTE,1000HAB,3.3,1942248,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
LV,,,57.0,25.0,PSYCHIATRIC,1000HAB,1.25,1942248,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
LV,,,57.0,25.0,TOTAL,1000HAB,5.57,1942248,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
MX,,,23.0,-102.0,ACUTE,1000HAB,1.38,124777324,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
MX,,,23.0,-102.0,PSYCHIATRIC,1000HAB,0.03,124777324,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
MX,,,23.0,-102.0,TOTAL,1000HAB,1.38,124777324,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
NL,,,52.5,5.75,ACUTE,1000HAB,2.92,17131296,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
NL,,,52.5,5.75,PSYCHIATRIC,1000HAB,0.91,17131296,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
NL,,,52.5,5.75,TOTAL,1000HAB,3.32,17131296,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
NO,,,62.0,10.0,ACUTE,1000HAB,3.2,5276968,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
NO,,,62.0,10.0,PSYCHIATRIC,1000HAB,1.07,5276968,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
NO,,,62.0,10.0,TOTAL,1000HAB,3.6,5276968,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
