"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",3.2,
"CAN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",7.8,
"FIN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",11.2,
"FRA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",6.6,
"DEU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",19.6,
"HUN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",8.7,
"ITA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",5.3,
"JPN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",8.9,
"KOR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",18.4,
"MEX","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",5,
"NLD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",6.4,
"NZL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",7.7,
"NOR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",9.9,
"POL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",7.9,
"ESP","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",9.6,
"SWE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",10.2,
"CHE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",15.2,
"TUR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",13.3,
"GBR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",10.2,
"USA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",11,
"ALB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",29.8,
"DZA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",48.2,
"ARG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",11.6,
"ARM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",10.1,
"AZE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",28,
"BGD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",28.3,
"BLR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",4.1,
"BIH","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",4.8,
"BRA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",8.5,
"BGR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",18.2,
"KHM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",50.4,
"CHL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",10.3,
"CHN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",32.7,
"COL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",11.1,
"EGY","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",35.7,
"EST","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",16.9,
"ETH","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",63,
"GEO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",8.6,
"GHA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",28.3,
"HTI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",58.9,
"IND","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",22.1,
"IDN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",34.5,
"IRN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",21,
"KAZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",14.2,
"MKD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",14.5,
"MYS","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",41.5,
"MDA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",11.2,
"MOZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",22.9,
"NGA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",34.7,
"PAK","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",42.2,
"PER","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",32.2,
"PHL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",12.9,
"ROU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",7.5,
"RUS","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",23.3,
