Longitude,Latitude,Name,m
86.925278,27.988056,Mount Everest / Sagarmatha / Chomolungma / Zhumulangma (8848 m),8848
76.513333,35.881389,K2 / Qogir / Godwin Austen (8611 m),8611
88.1475,27.703333,Kangchenjunga (8586 m),8586
86.933056,27.961667,Lhotse (8516 m),8516
87.088889,27.889722,Makalu (8485 m),8485
86.660833,28.094167,Cho Oyu (8188 m),8188
83.493056,28.696667,Dhaulagiri I (8167 m),8167
84.559722,28.55,Manaslu (8163 m),8163
74.589167,35.237222,Nanga Parbat (8126 m),8126
83.820278,28.595556,Annapurna I (8091 m),8091
76.696389,35.724444,Gasherbrum I / Hidden Peak / K5 (8080 m),8080
76.568333,35.810556,Broad Peak / K3 (8051 m),8051
76.653333,35.757778,Gasherbrum II / K4 (8035 m),8035
85.778611,28.353333,Shishapangma (8027 m),8027
86.745,28.098056,Gyachung Kang (7952 m),7952
76.641667,35.759167,Gasherbrum III (7946 m),7946
84.121944,28.534722,Annapurna II (7937 m),7937
76.616111,35.760556,Gasherbrum IV (7932 m),7932
84.639722,28.436667,Himalchuli (7893 m),7893
75.187778,36.325833,Distaghil Sar (7884 m),7884
84.566667,28.503333,Ngadi Chuli (7871 m),7871
86.886944,27.9675,Nuptse (7864 m),7864
75.207778,36.205278,Khunyang Chhish (7823 m),7823
76.305833,35.641111,Masherbrum / K1 (7821 m),7821
79.970833,30.375833,Nanda Devi (7816 m),7816
87.107778,27.930556,Chomo Lonzo (7804 m),7804
74.5225,36.510278,Batura Sar (7795 m),7795
74.489444,36.1425,Rakaposhi (7788 m),7788
95.055278,29.631111,Namcha Barwa (7782 m),7782
75.416944,36.205556,Kanjut Sar (7760 m),7760
79.591667,30.92,Kamet (7756 m),7756
83.388333,28.762778,Dhaulagiri II (7751 m),7751
76.848056,35.399167,Saltoro Kangri / K10 (7742 m),7742
88.044444,27.682222,Jannu (7711 m),7711
71.841667,36.255278,Tirich Mir (7708 m),7708
85.809722,28.355,Molamenqing (7703 m),7703
81.296667,30.438611,Gurla Mandhata (7694 m),7694
77.7525,34.866667,Saser Kangri I / K22 (7672 m),7672
76.574722,35.613056,Chogolisa (7665 m),7665
83.315278,28.735833,Dhaulagiri IV (7661 m),7661
75.313333,38.593333,Kongur Tagh (7649 m),7649
83.361389,28.733889,Dhaulagiri V (7618 m),7618
74.680833,36.440556,Shispare (7611 m),7611
75.085,36.2875,Trivor (7577 m),7577
90.455278,28.047222,Gangkhar Puensum (7570 m),7570
101.879722,29.595278,Gongga Shan / Minya Konka (7556 m),7556
83.99,28.585,Annapurna III (7555 m),7555
76.5675,35.926389,Skyang Kangri (7545 m),7545
86.914167,28.024722,Changtse (7543 m),7543
90.616389,28.226944,Kula Kangri (7538 m),7538
75.195833,38.615833,Kongur Tiube (7530 m),7530
77.5775,35.141944,Mamostong Kangri (7516 m),7516
77.806667,34.804722,Saser Kangri II E (7513 m),7513
75.116111,38.275833,Muztagh Ata (7546 m),7546
72.015833,38.943056,Ismoil Somoni Peak (7495 m),7495
77.785,34.845556,Saser Kangri III (7495 m),7495
71.828611,36.432222,Noshaq (7492 m),7492
75.250278,36.211389,Pumari Chhish (7492 m),7492
74.587778,36.487778,Passu Sar (7476 m),7476
75.374722,36.251111,Yukshin Gardan Sar (7469 m),7469
77.078333,35.58,Teram Kangri I (7462 m),7462
88.135833,27.881667,Jongsong Peak (7462 m),7462
74.875278,36.003333,Malubiting (7458 m),7458
83.963611,28.605,Gangapurna (7455 m),7455
80.129722,42.034722,Jengish Chokusu / Tömür / Pk Pobeda (7439 m),7439
79.994444,30.366667,Sunanda Devi (7434 m),7434
77.022222,35.295833,K12 (7428 m),7428
85.127222,28.391389,Yangra / Ganesh I (7422 m),7422
76.761667,35.663333,Sia Kangri (7422 m),7422
75.036389,36.317778,Momhil Sar (7414 m),7414
88.116667,27.633889,Kabru N (7412 m),7412
76.428611,35.850833,Skil Brum (7410 m),7410
74.8975,35.84,Haramosh Peak (7409 m),7409
71.898333,36.375556,Istor-o-Nal (7403 m),7403
76.800556,35.517778,Ghent Kangri (7401 m),7401
74.716667,36.390833,Ultar (7388 m),7388
77.368889,35.355,Rimo I (7385 m),7385
83.2175,28.734722,Churen Himal (7385 m),7385
77.048056,35.599722,Teram Kangri III (7382 m),7382
76.781389,35.466111,Sherpi Kangri  (7380 m),7380
86.350833,28.304167,Labuche Kang (7367 m),7367
88.195278,27.787778,Kirat Chuli (7362 m),7362
79.6025,30.9325,Abi Gamin (7355 m),7355
88.158611,27.740833,Gimmigela / The Twins (7350 m),7350
86.614167,28.073333,Nangpai Gosum (7350 m),7350
72.115,36.5475,Saraghrar (7349 m),7349
88.130833,27.655,Talung (7349 m),7349
89.267778,27.826667,Jomolhari (7326 m),7326
86.979722,27.775,Chamlang (7321 m),7321
76.429167,35.915278,Chongtar (7315 m),7315
76.673333,35.639167,Baltoro Kangri (7312 m),7312
86.685,28.147222,Siguang Ri (7309 m),7309
76.205833,36.106667,The Crown / Huang Guan (7295 m),7295
94.968611,29.814444,Gyala Peri (7294 m),7294
85.72,28.389444,Porong Ri (7292 m),7292
75.753333,35.9475,Baintha Brakk / The Ogre (7285 m),7285
75.367222,36.226389,Yutmaru Sar (7283 m),7283
76.551667,35.418333,Baltistan Peak / K6 (7282 m),7282
85.545556,28.550833,Kangpenqing / Gang Benchhen (7281 m),7281
76.361111,35.827778,Muztagh Tower (7276 m),7276
79.615278,30.880556,Mana Peak (7272 m),7272
83.274167,28.708611,Dhaulagiri VI (7268 m),7268
74.661667,36.120278,Diran (7266 m),7266
86.383889,28.301389,Labuche Kang III / East (7250 m),7250
83.146111,28.747778,Putha Hiunchuli (7246 m),7246
77.148611,35.538611,Apsarasas Kangri (7245 m),7245
79.57,30.949167,Mukut Parbat (7242 m),7242
77.361667,35.375278,Rimo III (7233 m),7233
85.516944,28.256111,Langtang Lirung (7227 m),7227
90.646944,28.2575,Karjiang (7221 m),7221
83.806111,28.518333,Annapurna Dakshin (7219 m),7219
86.9775,28.063611,Khartaphu (7213 m),7213
89.9575,28.186667,Tongshanjiabu (7207 m),7207
75.149167,36.363056,Malangutti Sar (7207 m),7207
