@Trim Country,B2P Fiscal Year,Back,Bridge Name,Bridge Type,Country,Level 1 Government,Level 2 Government,Project Code,Project Type,Stage,Year,Individuals Directly Served,Latitude,Longitude,Number of Records,Span (m)
Uganda,1/1/2018,Back,Kama,Suspended Bridge,UGA,Eastern Region,Mbale,UG101,B2P Built,Complete,1/1/2018,"5,280",1.11633,34.25246,1,90
Swaziland,1/1/2017,Back,Mbluzi-Myendle,Suspended Bridge,Swaziland,,,GO108,B2P Supported,Complete,1/1/2017,"4,000",-26.29412,31.27124,1,73
Panama,1/1/2017,Back,Llano Bonito,Suspended Bridge,Panama,Ngäbe-Buglé,,PA122,B2P Supported,Complete,1/1/2017,"1,500",8.446314,-81.365675,1,79
Nicaragua,1/1/2018,Back,Puente San Vicente N°1,Suspension Bridge,Nicaragua,Jinotega,Santa María de Pantasma,1008677,B2P Built,Complete,1/1/2018,"4,000",13.435012,-85.7838,1,67.8
Nicaragua,1/1/2018,Back,La Guitarrilla,Suspension Bridge,Nicaragua,Matagalpa,Río Blanco,1008691,B2P Built,Complete,1/1/2018,"4,000",13.122785,-85.236833,1,77.5
Panama,1/1/2018,Back,Alto Saldaña,Suspended Bridge,Panama,Ngäbe-Buglé,Müna District,1008543,B2P Supported,Complete,1/1/2018,,8.339315,-81.674108,1,72
Panama,1/1/2018,Back,Banacito,Suspension Bridge,Panama,Coclé,Penonomé District,1008489,B2P Built,Complete,1/1/2018,,8.809012,-80.338959,1,106
Panama,1/1/2018,Back,El Paredón,Suspension Bridge,Panama,Ngäbe-Buglé,Ñürüm District,1008531,B2P Built,Complete,1/1/2018,"1,400",8.448444,-81.198556,1,35
Bolivia,1/1/2019,Back,Espíritu Santo,Suspended Bridge,BOL,Cochabamba,Chapare,1009257,B2P Built,Complete,1/1/2019,"1,400",-17.01330278,-65.54801389,1,132
Nicaragua,1/1/2018,Back,Los Cerrones #4,Suspension Bridge,Nicaragua,Jinotega,Jinotega,1009328,B2P Built,Complete,1/1/2018,"5,000",13.30401,-85.78777,1,52
Rwanda,1/1/2019,Back,Ruharazi,Suspended Bridge,RWA,Southern Province,Nyaruguru,1009311,B2P Built,Complete,1/1/2019,"4,959",-2.77676167,29.62627167,1,45
Bolivia,1/1/2018,Back,Machacamarca,Suspended Bridge,BOL,Cochabamba,Tapacarí,1009318,B2P Built,Complete,1/1/2018,"2,400",-17.54093889,-66.80262778,1,53
Rwanda,1/1/2020,Back,Rukurazo,Suspension Bridge,RWA,Southern Province,Muhanga,1009445,B2P Built,Under Construction,1/1/2020,"1,210",-2.114778,29.700594,1,49
Bolivia,1/1/2017,Back,Pabellon,Suspended Bridge,BOL,Cochabamba,Narciso Campero,BO130,B2P Built,Complete,1/1/2017,210,-18.296267,-65.25315,1,35
Bolivia,1/1/2018,Back,Misión Mayu,Suspended Bridge,BOL,Cochabamba,Chapare,1007320,B2P Built,Complete,1/1/2018,700,-17.03405,-65.98568333,1,90
Bolivia,1/1/2018,Back,Capaina,Suspended Bridge,BOL,La Paz,Abel Iturralde,1007321,B2P Built,Complete,1/1/2018,175,-14.40317,-67.564314,1,40
Nicaragua,1/1/2018,Back,El Naranjo,Suspended Bridge,Nicaragua,Región Autónoma de la Costa Caribe Norte,Waslala,1002669,B2P Built,Complete,1/1/2018,"5,235",13.58125,-85.19765,1,90
Uganda,1/1/2019,Back,Kibembe,Suspension Bridge,UGA,Eastern Region,Sironko,1008734,B2P Built,Complete,1/1/2019,"1,791",1.2043,34.28912,1,75
Uganda,1/1/2019,Back,Tongole,Suspension Bridge,UGA,Eastern Region,Manafwa,1008762,B2P Built,Complete,1/1/2019,,1.937883,34.2691,1,74.8
Uganda,1/1/2018,Back,Namakhokolo,Suspended Bridge,UGA,Eastern Region,Bududa,1008776,B2P Built,Complete,1/1/2018,,0.978583,34.280483,1,90
Uganda,1/1/2018,Back,Namawukulu,Suspended Bridge,UGA,Eastern Region,Bududa,1008780,B2P Built,Complete,1/1/2018,,1.004485,34.4016731,1,70
Rwanda,1/1/2018,Back,Kucyaruseke,Suspended Bridge,RWA,Southern Province,Nyaruguru,RW127,B2P Built,Complete,1/1/2018,,-2.711764,29.557267,1,79
Panama,1/1/2018,Back,El Macho,Suspension Bridge,Panama,Veraguas,Santa Fe District,1007928,B2P Built,Complete,1/1/2018,253,8.003004,-81.438333,1,30
Panama,1/1/2018,Back,Los Cruces - Palmarito,Suspension Bridge,Panama,Veraguas,San Francisco District,1007945,B2P Built,Complete,1/1/2018,,8.292049,-81.102752,1,88
Haiti,1/1/2017,Back,Chambellan,Suspension Bridge,Haiti,Grand'Anse,Jérémie,HT109,B2P Built,Complete,1/1/2017,"30,000",18.550083,-74.299444,1,83.5
Bolivia,1/1/2018,Back,Tarvita,Suspended Bridge,BOL,Chuquisaca,Azurduy,1009063,B2P Built,Complete,1/1/2018,600,-19.92513611,-64.48539167,1,40.5
Haiti,1/1/2017,Back,Chameau,Suspension Bridge,Haiti,Grand'Anse,Jérémie,HT110,B2P Built,Complete,1/1/2017,"45,000",18.547792,-74.2586,1,107
Rwanda,1/1/2020,Back,Rugeti,Suspension Bridge,RWA,Southern Province,Nyamagabe,1007466,B2P Built,Under Construction,1/1/2020,"4,363",-2.473144,29.424983,1,68
Rwanda,1/1/2019,Back,Karambi,Suspension Bridge,RWA,Southern Province,Huye,1007374,B2P Built,Complete,1/1/2019,"12,500",-2.513333,29.612778,1,50
