id,name,geometry/type,geometry/coordinates/0,geometry/coordinates/1,total,data/0/name,data/0/value,data/1/name,data/1/value,data/2/name,data/2/value,data/3/name,data/3/value
HU2,Dunántúl,Point,4909735.778439152,2671069.0658224495,1439.57,Circulatory,732.59,Cancer,351.66,Respiratory,67.5,Other,288
HU3,Alföld és Észak,Point,5137312.876623745,2757710.555454433,1500.58,Circulatory,802.26,Cancer,347.58,Respiratory,85.59,Other,265
HR0,Hrvatska,Point,4844148.500364636,2316737.933478891,1334.01,Circulatory,629.93,Cancer,333.48,Respiratory,64.71,Other,306
HU1,Közép-Magyarország,Point,5021896.844119321,2745513.173289673,1302.67,Circulatory,656.16,Cancer,333.16,Respiratory,82.23,Other,231
PL6,Makroregion Pólnocny,Point,4862933.16413523,3428619.1089795707,1227.32,Circulatory,512.97,Cancer,321.81,Respiratory,85.01,Other,308
SK0,Slovensko,Point,5016373.152454225,2888207.718149245,1315.24,Circulatory,617.4,Cancer,313.83,Respiratory,78.13,Other,306
PT2,Região Autónoma dos Açores (PT),Point,1308144.1924964422,2351689.6013678075,1455.9,Circulatory,497.96,Cancer,313.16,Respiratory,200.41,Other,444
UKM,Scotland,Point,3463937.777569431,3800294.3986347415,1137.73,Circulatory,305.72,Cancer,311.43,Respiratory,148.95,Other,372
UKC,North East (UK),Point,3564010.450643234,3609675.9018437276,1103.28,Circulatory,267.54,Cancer,310.85,Respiratory,160.11,Other,365
PL4,Makroregion Pólnocno-Zachodni,Point,4743998.814755342,3309016.2475441755,1238.03,Circulatory,525.71,Cancer,308.52,Respiratory,77.39,Other,326
SI0,Slovenija,Point,4693423.869640536,2569249.988607765,1005.53,Circulatory,428.01,Cancer,307.48,Respiratory,67.53,Other,203
PL2,Makroregion Poludniowy,Point,5012814.382993773,3041486.9776170813,1211.23,Circulatory,593.76,Cancer,299.05,Respiratory,52.01,Other,266
NL1,Noord-Nederland,Point,4073218.035262565,3332532.809400402,1014.19,Circulatory,283.35,Cancer,297.4,Respiratory,76.95,Other,356
PL7,Makroregion Centralny,Point,5012020.125351908,3177284.2255915753,1293.12,Circulatory,595.03,Cancer,296.52,Respiratory,75.63,Other,326
LV0,Latvija,Point,5315759.977811137,3845447.9275269415,1476.67,Circulatory,848.55,Cancer,294.61,Respiratory,41.54,Other,292
PL5,Makroregion Poludniowo-Zachodni,Point,4804286.99055047,3116968.0114234956,1213.63,Circulatory,553.35,Cancer,293.79,Respiratory,86.05,Other,280
DK0,Danmark,Point,4278530.232667649,3658328.46301567,1013.63,Circulatory,246.98,Cancer,293.36,Respiratory,116.8,Other,356
UKD,North West (UK),Point,3474780.470480184,3566391.625672558,1075.14,Circulatory,264,Cancer,291.92,Respiratory,161.82,Other,357
PL9,Makroregion Województwo Mazowieckie,Point,5073157.250213301,3308369.597663222,1171.99,Circulatory,501.63,Cancer,291.01,Respiratory,93.88,Other,285
UKN,Northern Ireland (UK),Point,3258006.2401747284,3625912.272094429,1013.77,Circulatory,240.65,Cancer,290.86,Respiratory,135.93,Other,346
EE0,Eesti,Point,5233710.371257443,4054387.469592787,1206.88,Circulatory,643.31,Cancer,287.6,Respiratory,43.17,Other,233
RO2,Macroregiunea doi,Point,5640751.594374423,2712851.352091085,1504.2,Circulatory,879.36,Cancer,287.57,Respiratory,88.91,Other,248
FRE,Hauts-de-France,Point,3803124.679197909,3009749.8856786806,990.81,Circulatory,233.16,Cancer,284.61,Respiratory,76.35,Other,397
NL4,Zuid-Nederland,Point,4002579.3072522064,3159495.4267130597,988.31,Circulatory,270.86,Cancer,284.58,Respiratory,83.12,Other,350
UKE,Yorkshire and The Humber,Point,3583463.86808338,3488768.662629962,1039.11,Circulatory,272.07,Cancer,283.26,Respiratory,145.74,Other,338
RO1,Macroregiunea unu,Point,5390373.139592196,2723769.7178672273,1458.87,Circulatory,882.39,Cancer,282.99,Respiratory,83.65,Other,210
NL2,Oost-Nederland,Point,4048221.4481199095,3250353.6340778726,978.79,Circulatory,268.48,Cancer,282.19,Respiratory,86.36,Other,342
NL3,West-Nederland,Point,3960736.2043570597,3243129.4622875485,959.82,Circulatory,250.99,Cancer,281.9,Respiratory,77.27,Other,350
LT0,Lietuva,Point,5198375.546597099,3666276.4082289534,1452.21,Circulatory,844.91,Cancer,280.48,Respiratory,45.08,Other,282
UKL,Wales,Point,3393201.4661295963,3331204.4786632787,1047.15,Circulatory,275.09,Cancer,280.14,Respiratory,161.32,Other,331
CZ0,Cesko,Point,4704707.43405767,2972318.386399083,1203.85,Circulatory,568.97,Cancer,276.89,Respiratory,80.4,Other,278
RO3,Macroregiunea trei,Point,5574087.156556716,2521602.7264690436,1454.87,Circulatory,892.83,Cancer,276.45,Respiratory,73.68,Other,212
IE0,Éire/Ireland,Point,3125926.7851318168,3491377.3588754633,977.48,Circulatory,307.08,Cancer,275.96,Respiratory,133.58,Other,261
DEA,Nordrhein-Westfalen,Point,4150862.682003529,3154429.66964329,1047.43,Circulatory,345.6,Cancer,275.85,Respiratory,85.47,Other,341
UKG,West Midlands (UK),Point,3492802.577395604,3333792.8484851904,997.33,Circulatory,253.22,Cancer,274.53,Respiratory,134.82,Other,335
UKF,East Midlands (UK),Point,3596013.0777022373,3366711.5310119144,988.1,Circulatory,253.26,Cancer,272.87,Respiratory,136.04,Other,326
DEF,Schleswig-Holstein,Point,4309295.279234062,3441518.6304835244,1046.4,Circulatory,391.39,Cancer,271.61,Respiratory,71.15,Other,312
DE8,Mecklenburg-Vorpommern,Point,4483903.055823759,3403481.301156039,1076.85,Circulatory,437.04,Cancer,270.92,Respiratory,64.15,Other,305
DEE,Sachsen-Anhalt,Point,4437684.345847209,3212584.3789140885,1109.54,Circulatory,486.41,Cancer,270.83,Respiratory,54.15,Other,298
DEC,Saarland,Point,4100117.9457955305,2924490.0951075368,1083.87,Circulatory,378.17,Cancer,269.8,Respiratory,56.46,Other,379
IS0,Ísland,Point,2984932.434762216,4909798.574055957,944.58,Circulatory,315.89,Cancer,269.79,Respiratory,78.46,Other,280
DE6,Hamburg,Point,4321663.05745376,3381277.5091772377,982.39,Circulatory,306.51,Cancer,268.12,Respiratory,56.7,Other,351
PL8,Makroregion Wschodni,Point,5210428.356081868,3129002.866607056,1173.45,Circulatory,573.87,Cancer,267.37,Respiratory,57.43,Other,275
BE3,Région wallonne,Point,3953866.406560006,3051589.2560100737,1088.11,Circulatory,296.45,Cancer,267.08,Respiratory,116.53,Other,408
DE3,Berlin,Point,4551948.575952761,3271091.549671203,996.47,Circulatory,334.04,Cancer,266.54,Respiratory,86,Other,310
EL3,Attiki,Point,5534441.91564435,1773812.5101294946,967.19,Circulatory,348.06,Cancer,264.48,Respiratory,122.42,Other,232
DE5,Bremen,Point,4239808.837471099,3333803.434841744,1044.67,Circulatory,386.55,Cancer,263.74,Respiratory,94.29,Other,300
UKH,East of England,Point,3676015.4621061897,3281507.5419058986,918.96,Circulatory,228.81,Cancer,263.09,Respiratory,125.59,Other,301
DE4,Brandenburg,Point,4464254.05317905,3332686.339474473,1043.56,Circulatory,425.89,Cancer,261.89,Respiratory,70.29,Other,285
FRD,Normandie,Point,3590479.562385495,2910965.258047968,883.01,Circulatory,212.83,Cancer,261.71,Respiratory,55.21,Other,353
