Counties,Stable_population_TOTAL,Romanian,Hungarian,Roma,German,Ukrainian,Turkish,Tatar,Russian_Lipovan,Other_ethnic_groups,Ethnic_group_not_specified,
ROMANIA,19042936,16869816,1237746,619007,36884,51703,28226,20464,23864,96040,59186,
ALBA,327224,294335,15870,15492,780,21,26,-,19,282,399,
ARAD,409072,343163,37067,16546,2956,1295,51,3,29,6983,979,
ARGES,591353,573678,288,15300,61,20,89,3,23,1132,759,
BACAU,583588,561034,4373,15254,114,29,58,5,36,1331,1354,
BIHOR,549752,367221,138441,33697,710,105,47,*,29,6862,2638,
BISTRITA-NASAUD,277861,249925,14773,12165,494,61,25,-,18,146,254,
BOTOSANI,398938,393084,53,4237,28,684,21,3,437,156,235,
BRASOV,505442,442078,39275,17929,3313,66,81,12,88,1069,1531,
BRAILA,304925,293763,75,7961,31,26,178,6,1938,422,525,
BUZAU,432054,411041,171,20219,132,14,55,*,12,120,288,
CARAS-SEVERIN,274277,244748,3276,7533,3070,2600,19,3,15,12470,543,
CALARASI,285050,260819,156,22974,14,8,522,5,17,365,170,
CLUJ,659370,523424,103457,22468,659,173,90,9,53,2339,6698,
CONSTANTA,630679,567799,742,8401,139,88,21014,19720,3538,8165,1073,
COVASNA,206261,45560,151787,8238,109,15,12,-,8,272,260,
DAMBOVITA,501996,472402,180,26281,43,16,63,*,18,2844,148,
DOLJ,618335,587549,218,28911,92,21,53,4,8,740,739,
GALATI,507402,488382,252,17258,74,37,83,3,183,735,395,
GIURGIU,265494,249841,178,14848,17,4,46,*,11,107,441,
GORJ,334238,326873,161,6815,24,24,10,*,10,121,198,
HARGHITA,304969,40431,258615,5422,72,17,11,3,3,214,181,
HUNEDOARA,396253,369782,16219,7567,991,139,35,7,31,736,746,
IALOMITA,258669,241880,265,15612,14,16,74,*,364,283,159,
IASI,723553,706328,161,11286,89,53,76,6,2839,1616,1099,
ILFOV,364241,343730,303,15372,105,48,517,42,73,2575,1476,
MARAMURES,461290,380018,34781,12638,1243,31234,30,*,17,432,895,
MEHEDINTI,254570,241501,153,10956,156,13,38,-,*,1561,190,
MURES,531380,279488,200989,46637,1471,88,51,4,73,576,2003,
NEAMT,452900,444994,189,6703,91,35,44,6,231,259,348,
OLT,415530,405393,246,9601,11,5,31,-,7,105,131,
PRAHOVA,735903,716047,448,17798,150,16,166,6,54,453,765,
SATU MARE,329079,189991,113541,17513,4986,1397,7,-,7,405,1232,
SALAJ,217895,150143,50659,15137,70,29,*,*,5,1270,579,
SIBIU,375992,340836,10893,17901,4117,28,30,3,60,671,1453,
SUCEAVA,614451,590741,178,11858,699,5698,32,-,1717,2762,766,
TELEORMAN,360178,348299,140,10550,15,3,36,*,3,598,533,
TIMIS,649777,555752,35294,14534,8497,5953,133,24,105,17967,11518,
TULCEA,201462,179582,97,3768,49,1317,1891,179,10908,3512,159,
VASLUI,375148,368317,49,5933,11,5,12,3,82,95,641,
VALCEA,355320,348344,198,6384,63,13,38,*,8,145,125,
VRANCEA,323080,309999,72,11916,14,10,41,*,6,166,855,
BUCHAREST Municipality,1677985,1621501,3463,21394,1110,279,2388,388,779,12978,13705,
