"animals","unit","geo","time","values"
"A2400","THS_HD","AT","2017-01-01",0
"A2400","THS_HD","AT1","2017-01-01",0
"A2400","THS_HD","AT11","2017-01-01",0
"A2400","THS_HD","AT12","2017-01-01",0
"A2400","THS_HD","AT13","2017-01-01",0
"A2400","THS_HD","AT2","2017-01-01",0
"A2400","THS_HD","AT21","2017-01-01",0
"A2400","THS_HD","AT22","2017-01-01",0
"A2400","THS_HD","AT3","2017-01-01",0
"A2400","THS_HD","AT31","2017-01-01",0
"A2400","THS_HD","AT32","2017-01-01",0
"A2400","THS_HD","AT33","2017-01-01",0
"A2400","THS_HD","AT34","2017-01-01",0
"A2400","THS_HD","BA","2017-01-01",0
"A2400","THS_HD","BE","2017-01-01",0
"A2400","THS_HD","BE1","2017-01-01",0
"A2400","THS_HD","BE10","2017-01-01",0
"A2400","THS_HD","BE2","2017-01-01",0
"A2400","THS_HD","BE21","2017-01-01",0
"A2400","THS_HD","BE22","2017-01-01",0
"A2400","THS_HD","BE23","2017-01-01",0
"A2400","THS_HD","BE24","2017-01-01",0
"A2400","THS_HD","BE25","2017-01-01",0
"A2400","THS_HD","BE3","2017-01-01",0
"A2400","THS_HD","BE31","2017-01-01",0
"A2400","THS_HD","BE32","2017-01-01",0
"A2400","THS_HD","BE33","2017-01-01",0
"A2400","THS_HD","BE34","2017-01-01",0
"A2400","THS_HD","BE35","2017-01-01",0
"A2400","THS_HD","BG","2017-01-01",12.81
"A2400","THS_HD","BG3","2017-01-01",9.06
"A2400","THS_HD","BG31","2017-01-01",3.65
"A2400","THS_HD","BG32","2017-01-01",1.16
"A2400","THS_HD","BG33","2017-01-01",1.11
"A2400","THS_HD","BG34","2017-01-01",3.14
"A2400","THS_HD","BG4","2017-01-01",3.75
"A2400","THS_HD","BG41","2017-01-01",1.1
"A2400","THS_HD","BG42","2017-01-01",2.65
"A2400","THS_HD","CH","2017-01-01",2.06
"A2400","THS_HD","CH01","2017-01-01",0.05
"A2400","THS_HD","CH02","2017-01-01",0.56
"A2400","THS_HD","CH03","2017-01-01",0.24
"A2400","THS_HD","CH04","2017-01-01",0.22
"A2400","THS_HD","CH05","2017-01-01",0.75
"A2400","THS_HD","CH06","2017-01-01",0.24
"A2400","THS_HD","CY","2017-01-01",0
"A2400","THS_HD","CY0","2017-01-01",0
"A2400","THS_HD","CY00","2017-01-01",0
"A2400","THS_HD","CZ","2017-01-01",0
"A2400","THS_HD","CZ0","2017-01-01",0
"A2400","THS_HD","CZ01","2017-01-01",0
"A2400","THS_HD","CZ02","2017-01-01",0
"A2400","THS_HD","CZ03","2017-01-01",0
"A2400","THS_HD","CZ04","2017-01-01",0
"A2400","THS_HD","CZ05","2017-01-01",0
"A2400","THS_HD","CZ06","2017-01-01",0
"A2400","THS_HD","CZ07","2017-01-01",0
"A2400","THS_HD","CZ08","2017-01-01",0
"A2400","THS_HD","DE","2017-01-01",8.67
"A2400","THS_HD","DE1","2017-01-01",1.21
"A2400","THS_HD","DE2","2017-01-01",0.6
"A2400","THS_HD","DE3","2017-01-01",NA
"A2400","THS_HD","DE4","2017-01-01",1.44
"A2400","THS_HD","DE5","2017-01-01",NA
"A2400","THS_HD","DE6","2017-01-01",NA
"A2400","THS_HD","DE7","2017-01-01",0.53
"A2400","THS_HD","DE8","2017-01-01",0.9
"A2400","THS_HD","DE9","2017-01-01",1.04
"A2400","THS_HD","DEA","2017-01-01",0.5
"A2400","THS_HD","DEB","2017-01-01",0.24
"A2400","THS_HD","DEC","2017-01-01",0.12
"A2400","THS_HD","DED","2017-01-01",0.86
"A2400","THS_HD","DEE","2017-01-01",0.37
"A2400","THS_HD","DEF","2017-01-01",0.46
"A2400","THS_HD","DEG","2017-01-01",0.29
"A2400","THS_HD","DK","2017-01-01",0
"A2400","THS_HD","DK0","2017-01-01",0
"A2400","THS_HD","DK01","2017-01-01",0
"A2400","THS_HD","DK02","2017-01-01",0
"A2400","THS_HD","DK03","2017-01-01",0
