"EVENT_ID_CNTY","EVENT_DATE","YEAR","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","ACTOR2","ASSOC_ACTOR_2","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","SOURCE_SCALE","NOTES","FATALITIES"
"XKX16","03-March-2018",2018,"Protests","Excessive force against protesters","Police Forces of Kosovo (2017-2020)","","Protesters (Kosovo)","Students (Kosovo)","Europe","Kosovo","Mitrovica","Mitrovica","","Mitrovica",42.887,20.867,"UNMIK","National","On March 3, 2018 in Mitrovica, police used tear gas against the students who protested the recent appointment of President Hashim Thaci's wife Lumnije to the post of deputy dean at a university in Mitrovica.",0
"XKX218","03-May-2019",2019,"Protests","Excessive force against protesters","Protesters (Kosovo)","","Police Forces of Kosovo (2017-2020)","","Europe","Kosovo","Ferizaj","Shterpca","","Shterpca",42.241,21.026,"KoSSev; Cafe del Montenegro","National-Regional","On May 3, in Shterpca, Kosovo, members of the special police forces used bats and tear gas against approximately 50 protesters who attempted to block the road with their bodies to express the dissatisfaction over the construction of the hydropower plant at this location. Approximately 20 people were hurt. [size=50]",0
"AFG2194","24-April-2017",2017,"Protests","Excessive force against protesters","Protesters (Afghanistan)","","Militia (Pro-Government)","","Caucasus and Central Asia","Afghanistan","Paktika","Sar Rawza","","Sar Hawza",33.118,69.016,"Local Source; Voice of Jihad","Other-International","On 24 April 2017, 2 civilians were killed when police forces opened fire on protesters in Sar Hawzah district of Paktika province,as they protested killing of civilians by Arbaki fighters around the same day, in the same district. Taliban sources claimed that Arbaki fighters opened fire on protesting civilians and injured 15. [size=no report]",2
"AFG9047","06-March-2018",2018,"Protests","Excessive force against protesters","Protesters (Afghanistan)","","Police Forces of Afghanistan (2014-2021)","","Caucasus and Central Asia","Afghanistan","Ghazni","Ghazni","","Ghazni",33.551,68.422,"Pajhwok Afghan News","National","On March 6th, police injured 4 demonstrators and set fire to a tent as a large number of people continued to block the Kabul-Kandahar road and hold demonstrations in the Haider Abad area of Ghazni city following the killing of civilians in the Sherabad area of Qarabagh district by unidentified armed men in Army uniforms on March 2nd. The injured were taken to hospital.",0
"AFG10103","21-May-2018",2018,"Protests","Excessive force against protesters","Protesters (Afghanistan)","","Military Forces of Afghanistan (2014-2021)","","Caucasus and Central Asia","Afghanistan","Takhar","Khwaja Bahawuddin","","Khwaja Bahawuddin",37.345,69.534,"Pajhwok Afghan News","National","On 21 May 2018, 4 protesters were wounded when Afghan army soldiers fired at them with live rounds while they were demonstrating and blocking the road in the Shour Toghi area of Khwaja Baha Wuddin district, Takhar, to demand compensation for flood damage. [size=no report]",0
"AFG27291","26-November-2018",2018,"Protests","Excessive force against protesters","Protesters (Afghanistan)","","Police Forces of Afghanistan (2014-2021)","","Caucasus and Central Asia","Afghanistan","Kabul","Kabul","","Kabul",34.517,69.183,"New York Times","International","On November 26 2018, 9 protesters were killed and more than 50 were wounded by police forces while they were protesting the arrest of a Hazara militia commander in Kabul province.",9
"AFG21002","23-June-2019",2019,"Protests","Excessive force against protesters","Protesters (Afghanistan)","","Private Security Forces (Afghanistan)","","Caucasus and Central Asia","Afghanistan","Herat","Gulran","","Gulran",35.106,61.687,"New York Times","International","On 23 June 2019, 1 civilian was killed and 2 were wounded when security guards of Gulran district governor opened fire on civilians who protested the attack on 2 school students by the governor's guards in Herat. [size=no report]",1
"AFG23431","15-August-2019",2019,"Protests","Excessive force against protesters","Protesters (Afghanistan)","","Military Forces of Afghanistan (2014-2021)","","Caucasus and Central Asia","Afghanistan","Kapisa","Tagab","","Tagab",34.855,69.649,"Voice of Jihad","Other","Around 15 August 2019 (as reported), people took to the streets with the dead bodies of 3 civilians who had been killed in mortar shelling by Afghan forces in Tagab district, Kapisa. Security forces opened fire on the protesters, killing 3 and wounding 2. They also detained and reportedly tortured 9 protesters (coded in a different event). [size=no report]",0
"AFG28248","17-November-2019",2019,"Protests","Excessive force against protesters","Protesters (Afghanistan)","","Police Forces of Afghanistan (2014-2021)","","Caucasus and Central Asia","Afghanistan","Kunduz","Kunduz","","Kunduz",36.729,68.857,"Afghan Islamic Press News Agency; Afghanistan Times","National","On 17 November 2019, Afghan police forces dispersed a group of protesters demonstrating against the IEC, the Afghan electoral commission, in the city of Kunduz with water cannons and live fire. 1 protester was killed and five more were wounded by the security forces. [size=no report]",1
"AFG42049","19-December-2019",2019,"Protests","Excessive force against protesters","Protesters (Afghanistan)","","Police Forces of Afghanistan (2014-2021)","","Caucasus and Central Asia","Afghanistan","Daykundi","Gizab","","Gizab",33.381,66.264,"Pajhwok Afghan News","National","On 19 December 2019, 3 protesters were killed by policemen during a rally against the orders that they had to leave their homes, in Gizab district center, Urozgan. [size=no report]",3
"AFG43605","25-January-2020",2020,"Protests","Excessive force against protesters","Protesters (Afghanistan)","","Military Forces of Afghanistan (2014-2021)","","Caucasus and Central Asia","Afghanistan","Kandahar","Shah Wali Kot","","Shah Wali Kot",32.085,66,"New York Times","International","On 25 January 2020, relatives of a man, who was killed by Afghan soldiers when he went to a base carrying his child's body killed in a military operation, protested outside the base, in Shah Wali Kot district, Kandahar. Soldiers opened fire on them wounding one man. [size=no report]",0
"AFG46816","03-August-2020",2020,"Protests","Excessive force against protesters","Protesters (Afghanistan)","","Taliban","","Caucasus and Central Asia","Afghanistan","Takhar","Khwaja Ghar","","Khwaja Ghar",37.066,69.421,"Afghanistan Times; Afghan Islamic Press News Agency; Pajhwok Afghan News","National","On 3 August 2020, several civilians went out to protest and demand that the Taliban publicly punish 3 prisoners involved in raping two local girls two weeks ago, at a Taliban jail in Darul Ulum area of Khwaja Ghar district, Takhar. However, the Taliban opened fire killing 3-4 people and injuring 3 more. [size=several]",3
"AFG58979","09-September-2020",2020,"Protests","Excessive force against protesters","Protesters (Afghanistan)","Hazara Ethnic Group (Afghanistan)","Police Forces of Afghanistan (2014-2021)","","Caucasus and Central Asia","Afghanistan","Ghazni","Ghazni","","Ghazni",33.551,68.422,"Undisclosed Source","Local partner-Other","On 9 September 2020, 17 demonstrators were injured when police opened fire at them in Sanaye park area of Ghazni city. No information on the reason of the demonstration, the demonstrators were Hazaras. [size=no report]",0
