"ï..EVENT_ID_CNTY","EVENT_DATE","YEAR","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","ACTOR2","ASSOC_ACTOR_2","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","SOURCE_SCALE","NOTES","FATALITIES"
"CHN5657","01-January-2018",2018,"Violence against civilians","Attack","Police Forces of China (2012-)","","Civilians (China)","Women (China)","East Asia","China","Shandong","Jinan","Lixia","Lixia",36.666,117.076,"Radio Free Asia; Aboluowang","Other-Regional","Around 1 January 2018 (beginning of month), a female petitioner from Heze, Shandong was suspected of pharmacological torture during her sentence at Jinan Female Prison (Jinan, Shandong) when the prison informed her family around 17 Jan that she would be transferred for hospital treatment due to the deterioration of her health. It was reported that she developed respiratory and cardiovascular diseases after serving her sentence in prison, but her illness became more severe since her daughter last visited around 17 December 2017.",0
"CHN6246","01-January-2018",2018,"Violence against civilians","Abduction/forced disappearance","Police Forces of China (2012-)","","Civilians (China)","Kazakh Ethnic Group (China)","East Asia","China","Xinjiang","Ili","Yining","Yining City",43.946,81.691,"China Aid","Other","On 1 January 2018, a Kazakh poet and author was taken away by the local authorities at his home in Yining City (Ili, Xinjiang). His whereabouts and circumstances remained unknown at the time of reporting on 6 March 2018. Previously, he was sent to the ''deradicalisation training centre'' twice by the local authorities in 2017 for writing a book on the Kazakh independence movement before the Russian October Revolution.",0
"CHN10126","01-January-2018",2018,"Violence against civilians","Abduction/forced disappearance","Police Forces of China (2012-)","","Civilians (China)","Kazakh Ethnic Group (China); Women (China)","East Asia","China","Xinjiang","Tacheng","Emin","Emin",46.525,83.628,"Xinjiang Victims Database","Other","Around 1 January 2018 (as reported), a Kazakh woman was taken away by police in Emin county (Tacheng, Xinjiang) and sent to a re-education camp for having dual citizenship. She had returned to China on 25 December 2017 for medical treatment but was questioned by local police soon after her arrival. She was reportedly released 38 days later. She was taken to a re-education camp a second time on 25 February but was briefly released on 9 March 2018 for medial treatment. On 26 June 2018, she was moved to yet another camp. She was finally released on 21 November 2018 and reportedly returned to Kazakhstan in early 2019.",0
"CHN10150","04-January-2018",2018,"Violence against civilians","Abduction/forced disappearance","Police Forces of China (2012-)","","Civilians (China)","Uyghur Ethnic Group (China); Women (China)","East Asia","China","Xinjiang","Urumqi","Tianshan","Tianshan",43.794,87.632,"Xinjiang Victims Database","Other","On 4 January 2018, a Uyghur teacher was arrested after returning to China (coded to her home address in Tianshan, Urumqi, Xinjiang) and detained incommunicado for assembling a crowd to disturb social order. She had returned from a 6 month stay in the US. In August 2019, she was released briefly and allowed to see her family, who reported that she was receiving 'education' and would 'finish school' very soon, presumably referring to a re-education camp. On 15 September 2019, the family received news that she had been released but was still under house arrest, and they were able to speak to her by phone with police supervision. The family remained in contact with her until 25 December 2019.",0
"CHN8153","05-January-2018",2018,"Violence against civilians","Attack","Unidentified Armed Group (China)","Labour Group (China)","Civilians (China)","Government of China (2012-)","East Asia","China","Jiangxi","Nanchang","Jinxian","Nantai",28.489,116.412,"NTDTV","International","On 5 January 2018, the Party Committee Secretary of Nantai village of Jinxian county (Nanchang, Jiangxi) was stabbed and killed in his office by a sanitation worker who had been laid off by the town government. The sanitation worker used a fruit knife, and was arrested afterwards. His motive was not revealed by enforcement authorities.",1
"CHN5756","06-January-2018",2018,"Violence against civilians","Abduction/forced disappearance","Police Forces of China (2012-)","","Civilians (China)","Women (China); Uyghur Ethnic Group (China); Students (China)","East Asia","China","Xinjiang","Ili","Yining","Yining City",43.946,81.691,"Amnesty International","Other","Around 6 January 2018 (between 3-10 January), a Uyghur female student disappeared after returning to Yili (Ili, Xinjiang) in the midst of studying abroad for her master's degree. An ongoing government campaign targeted Uyghur families with members living abroad, and police authorities had previously threatened to send her father to prison if she did not return home after university graduation.",0
"CHN5690","06-January-2018",2018,"Violence against civilians","Abduction/forced disappearance","Police Forces of China (2012-)","","Civilians (China)","Falun Gong Group (China); Teachers (China); Women (China)","East Asia","China","Hubei","Wuhan","Jiangan","Jiang'an",30.6,114.309,"Epoch Times; NTDTV","International","On 6 January 2018, a female Falun Gong practitioner-cum-kindergarten teacher was transferred to the Qiaokou District Legal Education Center on the last day of her detention period at No.1 Detention Centre in Wuhan (Hubei). She was first taken away and detained on 26 December 2017 while preaching about Falun Gong on Shuiguohu Street. It was allegedly possible that she would be subject to re-education efforts and solitary confinement at this Legal Education Center (Legal Education Centres are also referred to by some, including Falun Gong practitioners, as ''brainwashing centres'' and are regarded as ''black Jails'' by some victims). It was alleged that 12 Faun Gong practitioners had been tortured to death at this center.",0
"CHN8147","06-January-2018",2018,"Violence against civilians","Attack","Unidentified Triad Group (China)","Government of China (2012-)","Civilians (China)","","East Asia","China","Beijing","Xicheng","Xicheng","Beijing - Xicheng",39.912,116.359,"NTDTV","International","On 6 January 2018, a disability activist and two petitioners from Binzhou, Shandong were taken away by interceptors from the government while they were calling for the legislation of harmful vaccines outside the Beijing Municipal Health Commission in Xicheng district (Beijing). Two of the petitioners were beaten up in a car by triad members hired by the interceptors.",0
"CHN7931","08-January-2018",2018,"Violence against civilians","Attack","Private Security Forces (China)","","Civilians (China)","","East Asia","China","Hubei","Wuhan","Jianghan","Jianghan",30.601,114.271,"CRLW","Other","Around 8 January 2018, a group of ''stability maintenance thugs'' rushed into a resident's home, and locked the family. They threaten the family to agree with demolishing the home for a real estate project. And recently they started to beat the husband and force him to sign the paper. No fatalities were reported.",0
"CHN7954","09-January-2018",2018,"Violence against civilians","Attack","Unidentified Armed Group (China)","","Civilians (China)","","East Asia","China","Hong Kong","","","Hong Kong",22.322,114.177,"DPA","International","On 9 January 2018, a Hong Kong pro-democracy activist and legislative by-election hopeful, who is also one of the Umbrella Movement leaders facing trial, was attacked by two unknown men in Hong Kong. According to Hong Kong police, the attack was politically motivated, since the activist received a threatening letter in the same day.",0
