"ï..EVENT_ID_CNTY","EVENT_DATE","YEAR","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","ACTOR2","ASSOC_ACTOR_2","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","SOURCE_SCALE","NOTES","FATALITIES"
"XKX1","05-January-2018",2018,"Riots","Violent demonstration","Rioters (Kosovo)","","Civilians (Kosovo)","Refugees/IDPs (Kosovo); Serbian Ethnic Group (Kosovo)","Europe","Kosovo","Gjakova","Gjakova","","Gjakova",42.38,20.431,"Local Source; Vecernje Novosti","Subnational-Regional","On January 5, 2018, a group of Kosovo Albanians demonstrating against the slow persecution of war crimes reportedly threw rocks at a group of displaced Serbs who came to Gjakova to visit the Orthodox temple for Orthodox Christmas.",0
"XKX41","28-May-2018",2018,"Riots","Violent demonstration","Rioters (Kosovo)","Albanian Ethnic Group (Kosovo)","Civilians (Kosovo)","Serbian Ethnic Group (Kosovo)","Europe","Kosovo","Peja","Kline","","Pjeterq i Eperm",42.609,20.486,"KoSSev","National","On May 28, 2018 in Pjeterq i Eperm in Kosovo citizens of Albanian ethnicity held a demonstration over the residents who died in the Kosovo War in 1998 and 1999. Demonstrators blocked the access to a Serbian church and attacked some of the Serbians in there. Several people were arrested.",0
"XKX40","28-May-2018",2018,"Riots","Mob violence","Rioters (Kosovo)","","Civilians (Kosovo)","Serbian Ethnic Group (Kosovo); Health Workers (Kosovo)","Europe","Kosovo","Pristina","Gracanica","","Suhodoll",42.547,21.106,"B92.net","Regional","On May 28, 2018 a local healthcare facility in Suhodoll, Kosovo, was pelted with stones in an alleged attempt by Albanians to prevent Serbs to access to healthcare, according to the facility's director and Serbian media.",0
"XKX43","29-May-2018",2018,"Riots","Violent demonstration","Rioters (Kosovo)","","Police Forces of Kosovo (2017-2020)","Serbian Ethnic Group (Kosovo)","Europe","Kosovo","Peja","Kline","","Pjeterq i Eperm",42.609,20.486,"Koha Ditore; Local Source","Subnational-National","On May 29, 2018 residents of Pjeterq village, Klina, Kosovo, clashed with the police after they blocked the road during demonstrations over the visit of displaced Serbs, and injured three Serbs as well.",0
"XKX85","09-September-2018",2018,"Riots","Violent demonstration","Rioters (Kosovo)","Former KLA: Kosovo Liberation Army","","","Europe","Kosovo","Mitrovica","Mitrovica","","Mitrovica",42.887,20.867,"BBC News; AFP","Regional-International","On September 9, 2018 Kosovo Albanians used vehicles, burning tires, and tree trunks to block the road between Mitrovica and Banje, Kosovo, trying to prevent the arrival of Serbian president Aleksandar Vucic. The demonstration included former members of Kosovo Liberation Army (KLA) and succeeded in preventing Vucic from visiting Serbian-majority Banje.",0
"XKX91","17-September-2018",2018,"Riots","Violent demonstration","Rioters (Kosovo)","Students (Kosovo)","Civilians (Kosovo)","Teachers (Kosovo)","Europe","Kosovo","Ferizaj","Ferizaj","","Ferizaj",42.371,21.155,"Koha Ditore","National","On September 17, 2018 in Ferizaj, Kosovo, high school students demonstrated demanding to have an excursion to Albania. The students threw stones and eggs at the building of the municipal administration.",0
"XKX118","23-October-2018",2018,"Riots","Mob violence","Rioters (Kosovo)","","Civilians (Kosovo)","Albanian Ethnic Group (Kosovo)","Europe","Kosovo","Mitrovica","North Mitrovica","","North Mitrovica",42.895,20.865,"Gazeta Express","National","On October 23, 2018, unknown perpetrators threw stones at a taxi vehicle driven by an Albanian driver in North Mitrovica, area of Kosovo populated largely by Serbian population. The attack is suspended to were ethnically motivated.",0
"XKX185","23-February-2019",2019,"Riots","Mob violence","Rioters (Kosovo)","","Civilians (Kosovo)","Serbian Ethnic Group (Kosovo)","Europe","Kosovo","Gjilan","Vitise","","Vitise",42.322,21.36,"Blic Online","Regional","As reported on February 23, 2019 in Albaninan-majority Vitise, Kosovo unidentified attackers stoned a house of a Serbian family, which has been seen in the Serbian media as intimidation of Serbs with the intent of forcing them to flee Kosovo.",0
"XKX210","25-April-2019",2019,"Riots","Violent demonstration","Rioters (Kosovo)","","Rioters (Kosovo)","Labour Group (Kosovo)","Europe","Kosovo","Mitrovica","Mitrovica","","Mitrovica",42.887,20.867,"Kallxo","National","On April 25, residents of Kostovo village near Mitrovica in Kosovo clashed with the director of the company managing the nearby landfill, expressing dissatisfaction with the smell coming from it [size=no report].",0
"XKX222","19-May-2019",2019,"Riots","Mob violence","Rioters (Kosovo)","LDK: Democratic League of Kosovo","Rioters (Kosovo)","LDK: Democratic League of Kosovo","Europe","Kosovo","Mitrovica","Mitrovica","","Mitrovica",42.887,20.867,"Nezavisne Novine","Regional","On May 19, in Kosovo city of Mitrovica, members of the LDK: Democratic League of Kosovo political party got into a brawl among themselves. A policeman was hurt in the incident.",0
