"ï..EVENT_ID_CNTY","EVENT_DATE","YEAR","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","ACTOR2","ASSOC_ACTOR_2","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","SOURCE_SCALE","NOTES","FATALITIES"
"XKX4","08-January-2018",2018,"Strategic developments","Looting/property destruction","Unidentified Armed Group (Kosovo)","","Civilians (Kosovo)","Serbian Ethnic Group (Kosovo)","Europe","Kosovo","Peja","Kline","","Rudice",42.681,20.489,"Local Source; Vecernje Novosti","Subnational-Regional","A store of hay property of a Serbian returnee to Kosovo was set on fire on January 8 2018, in Rudice near Klina, Kosovo. Serbian media reported that this is one in the series of attacks targetting citizens of Serbian ethnicity in the days before and after Orthodox Christmas, traditionally celebrated by the Serbs.",0
"XKX5","09-January-2018",2018,"Strategic developments","Looting/property destruction","Unidentified Armed Group (Kosovo)","","Civilians (Kosovo)","Serbian Ethnic Group (Kosovo)","Europe","Kosovo","Peja","Istog","","Llukac i Thate",42.735,20.509,"Vecernje Novosti; Local Source","Subnational-Regional","A store of hay property of a Serbian returnee to Kosovo was set on fire on January 9 2018, in Suvi Lukavac, Kosovo. Serbian media reported that this is one in the series of attacks targetting citizens of Serbian ethnicity in the days before and after Orthodox Christmas, traditionally celebrated by the Serbs",0
"XKX6","13-January-2018",2018,"Strategic developments","Looting/property destruction","Unidentified Armed Group (Kosovo)","","Civilians (Kosovo)","Serbian Ethnic Group (Kosovo)","Europe","Kosovo","Peja","Istog","","Osojan",42.718,20.566,"Kurir; Local Source","Subnational-Regional","Property of a Serb returnee was set on fire on January 13, 2018 in Osojane area, Kosovo. Serbian media reported that this is one in the series of attacks targetting citizens of Serbian ethnicity in the days before and after Orthodox Christmas, traditionally celebrated by the Serbs.",0
"XKX7","14-January-2018",2018,"Strategic developments","Looting/property destruction","Unidentified Armed Group (Kosovo)","","Civilians (Kosovo)","Serbian Ethnic Group (Kosovo)","Europe","Kosovo","Peja","Istog","","Istog",42.782,20.491,"Kurir; Local Source","Subnational-Regional","Property of a Serb returnee was attacked on January 14, 2018 in Istok area, Kosovo. Serbian media reported that this is one in the series of attacks targetting citizens of Serbian ethnicity in the days before and after Orthodox Christmas, traditionally celebrated by the Serbs.",0
"XKX10","01-February-2018",2018,"Strategic developments","Looting/property destruction","Unidentified Armed Group (Kosovo)","","Civilians (Serbia)","SDP: Social Democratic Party of Serbia","Europe","Kosovo","Mitrovica","North Mitrovica","","North Mitrovica",42.895,20.865,"B92.net","Regional","On February 1, 2018, in North Mitrovica, Kosovo, unknown perpetrators stoned the house of the late Serbian politician Oliver Ivanovic, assassinated on January 16, 2018.",0
"XKX36","23-April-2018",2018,"Strategic developments","Other","Unidentified Armed Group (Kosovo)","","Civilians (Kosovo)","Serbian Ethnic Group (Kosovo)","Europe","Kosovo","Gjakova","Gjakova","","Gjakova",42.38,20.431,"Local Source","Subnational","As reported on April 23, in Kosovo city of Gjakove, remains of three persons were found in the mass grave believed to contain the remains of another 20 people. The remains are believed to be of Serbs abducted in 1998 and 1999.",0
"XKX39","16-May-2018",2018,"Strategic developments","Disrupted weapons use","NATO: North Atlantic Treaty Organization","","Unidentified Armed Group (Kosovo)","","Europe","Kosovo","Peja","Peja","","Peja",42.659,20.288,"Dnevni Avaz","Regional","On May 16, 2018 the Kosovo Force (KFOR) soldiers deactivated an explosive device planted in the backyard of the Pec hospital in Kosovo.",0
"XKX42","29-May-2018",2018,"Strategic developments","Other","Unidentified Armed Group (Kosovo)","","Civilians (Kosovo)","Serbian Ethnic Group (Kosovo)","Europe","Kosovo","Gjakova","Gjakova","","Gjakova",42.38,20.431,"Kurir; Local Source","Subnational-Regional","As reported on May 29, 2018, remains of 5 persons, believed to be Serbs were found in a mass grave in Gjakova, Kosovo.",0
"XKX44","29-May-2018",2018,"Strategic developments","Looting/property destruction","Unidentified Armed Group (Kosovo)","","Civilians (Kosovo)","Serbian Ethnic Group (Kosovo)","Europe","Kosovo","Gjakova","Rahovec","","Rahovec",42.402,20.651,"Local Source; Kurir","Subnational-Regional","As reported on May 29, 2018, in Rahovec, Kosovo, headstones in Serbian graveyard were demolished.",0
"XKX45","29-May-2018",2018,"Strategic developments","Looting/property destruction","Unidentified Armed Group (Kosovo)","","Civilians (Kosovo)","Serbian Ethnic Group (Kosovo); Health Workers (Kosovo)","Europe","Kosovo","Pristina","Gracanica","","Suhodoll",42.547,21.106,"B92.net","Regional","On May 29, 2018 in Suvi Dol, Kosovo, the local clinic was stoned for the second time in two days, which was seen by the clinic director, and in Serbian media as an attack by Albanians in order to prevent Serbs to access their health rights.",0
